File accession,Experiment accession,Assay,Experiment target,File assembly,Biosample term name,File download URL
ENCFF399SGM,ENCSR000EWC,Histone ChIP-seq,H3K4me1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF399SGM/@@download/ENCFF399SGM.bigWig
ENCFF253TOF,ENCSR668LDD,Histone ChIP-seq,H3K4me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF253TOF/@@download/ENCFF253TOF.bigWig
ENCFF979PWH,ENCSR000AKO,TF ChIP-seq,CTCF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF979PWH/@@download/ENCFF979PWH.bigWig
ENCFF339MLW,ENCSR000AQA,TF ChIP-seq,KDM5B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF339MLW/@@download/ENCFF339MLW.bigWig
ENCFF506RWL,ENCSR000AQD,TF ChIP-seq,CHD1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF506RWL/@@download/ENCFF506RWL.bigWig
ENCFF587SWK,ENCSR000AQE,TF ChIP-seq,EZH2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF587SWK/@@download/ENCFF587SWK.bigWig
ENCFF549WXX,ENCSR000AQF,TF ChIP-seq,HDAC1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF549WXX/@@download/ENCFF549WXX.bigWig
ENCFF065PDS,ENCSR000AQG,TF ChIP-seq,HDAC2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF065PDS/@@download/ENCFF065PDS.bigWig
ENCFF092HFK,ENCSR000AQH,TF ChIP-seq,PHF8-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF092HFK/@@download/ENCFF092HFK.bigWig
ENCFF569SQS,ENCSR000AQI,TF ChIP-seq,RBBP5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF569SQS/@@download/ENCFF569SQS.bigWig
ENCFF419SOE,ENCSR000AQJ,TF ChIP-seq,SAP30-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF419SOE/@@download/ENCFF419SOE.bigWig
ENCFF601YEO,ENCSR000ATJ,TF ChIP-seq,HDAC6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF601YEO/@@download/ENCFF601YEO.bigWig
ENCFF359TYM,ENCSR000ATL,TF ChIP-seq,CHD4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF359TYM/@@download/ENCFF359TYM.bigWig
ENCFF366FDV,ENCSR000ATM,TF ChIP-seq,REST-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF366FDV/@@download/ENCFF366FDV.bigWig
ENCFF959NNA,ENCSR000ATT,TF ChIP-seq,CREBBP-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF959NNA/@@download/ENCFF959NNA.bigWig
ENCFF925XCF,ENCSR000ATU,TF ChIP-seq,CBX2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF925XCF/@@download/ENCFF925XCF.bigWig
ENCFF888LWP,ENCSR000ATV,TF ChIP-seq,CBX3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF888LWP/@@download/ENCFF888LWP.bigWig
ENCFF802ZED,ENCSR000ATW,TF ChIP-seq,CBX8-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF802ZED/@@download/ENCFF802ZED.bigWig
ENCFF512QLB,ENCSR000ATX,TF ChIP-seq,KDM1A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF512QLB/@@download/ENCFF512QLB.bigWig
ENCFF979UVA,ENCSR000ATY,TF ChIP-seq,NCOR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF979UVA/@@download/ENCFF979UVA.bigWig
ENCFF389NDK,ENCSR000ATZ,TF ChIP-seq,KAT2B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF389NDK/@@download/ENCFF389NDK.bigWig
ENCFF973QCP,ENCSR000AUA,TF ChIP-seq,RNF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF973QCP/@@download/ENCFF973QCP.bigWig
ENCFF422BKQ,ENCSR000AUB,TF ChIP-seq,SIRT6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF422BKQ/@@download/ENCFF422BKQ.bigWig
ENCFF689SMA,ENCSR000AUC,TF ChIP-seq,SUZ12-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF689SMA/@@download/ENCFF689SMA.bigWig
ENCFF709ITO,ENCSR000AUT,TF ChIP-seq,SETDB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF709ITO/@@download/ENCFF709ITO.bigWig
ENCFF025VUO,ENCSR000AVD,TF ChIP-seq,CHD7-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF025VUO/@@download/ENCFF025VUO.bigWig
ENCFF775EAW,ENCSR000AVE,TF ChIP-seq,WHSC1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF775EAW/@@download/ENCFF775EAW.bigWig
ENCFF216QNX,ENCSR000BGW,TF ChIP-seq,SPI1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF216QNX/@@download/ENCFF216QNX.bigWig
ENCFF401KKQ,ENCSR000BGX,TF ChIP-seq,SIX5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF401KKQ/@@download/ENCFF401KKQ.bigWig
ENCFF851UBU,ENCSR000BKF,TF ChIP-seq,ZBTB33-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF851UBU/@@download/ENCFF851UBU.bigWig
ENCFF132TYI,ENCSR000BKH,TF ChIP-seq,BCLAF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF132TYI/@@download/ENCFF132TYI.bigWig
ENCFF371RWI,ENCSR000BKM,TF ChIP-seq,GATA2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF371RWI/@@download/ENCFF371RWI.bigWig
ENCFF524IWI,ENCSR000BKO,TF ChIP-seq,SP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF524IWI/@@download/ENCFF524IWI.bigWig
ENCFF063WBM,ENCSR000BKQ,TF ChIP-seq,ETS1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF063WBM/@@download/ENCFF063WBM.bigWig
ENCFF907FLD,ENCSR000BKR,TF ChIP-seq,POLR2AphosphoS5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF907FLD/@@download/ENCFF907FLD.bigWig
ENCFF767FFS,ENCSR000BKS,TF ChIP-seq,TAF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF767FFS/@@download/ENCFF767FFS.bigWig
ENCFF095DZT,ENCSR000BKT,TF ChIP-seq,USF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF095DZT/@@download/ENCFF095DZT.bigWig
ENCFF157ZKE,ENCSR000BKU,TF ChIP-seq,YY1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF157ZKE/@@download/ENCFF157ZKE.bigWig
ENCFF652NKM,ENCSR000BKV,TF ChIP-seq,RAD21-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF652NKM/@@download/ENCFF652NKM.bigWig
ENCFF279TIE,ENCSR000BLI,TF ChIP-seq,E2F6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF279TIE/@@download/ENCFF279TIE.bigWig
ENCFF216TRT,ENCSR000BLK,TF ChIP-seq,SRF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF216TRT/@@download/ENCFF216TRT.bigWig
ENCFF441PRL,ENCSR000BLO,TF ChIP-seq,GABPA-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF441PRL/@@download/ENCFF441PRL.bigWig
ENCFF750XUV,ENCSR000BLP,TF ChIP-seq,MAX-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF750XUV/@@download/ENCFF750XUV.bigWig
ENCFF176UCO,ENCSR000BLR,TF ChIP-seq,SIN3A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF176UCO/@@download/ENCFF176UCO.bigWig
ENCFF320FFB,ENCSR000BMD,TF ChIP-seq,ELF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF320FFB/@@download/ENCFF320FFB.bigWig
ENCFF033JHZ,ENCSR000BME,TF ChIP-seq,ZBTB7A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF033JHZ/@@download/ENCFF033JHZ.bigWig
ENCFF069JZH,ENCSR000BMG,TF ChIP-seq,HDAC2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF069JZH/@@download/ENCFF069JZH.bigWig
ENCFF914XSS,ENCSR000BMH,TF ChIP-seq,YY1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF914XSS/@@download/ENCFF914XSS.bigWig
ENCFF496FVA,ENCSR000BMR,TF ChIP-seq,POLR2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF496FVA/@@download/ENCFF496FVA.bigWig
ENCFF135MPD,ENCSR000BMV,TF ChIP-seq,FOSL1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF135MPD/@@download/ENCFF135MPD.bigWig
ENCFF678DNB,ENCSR000BMW,TF ChIP-seq,REST-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF678DNB/@@download/ENCFF678DNB.bigWig
ENCFF628OZF,ENCSR000BNE,TF ChIP-seq,EGR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF628OZF/@@download/ENCFF628OZF.bigWig
ENCFF037JSC,ENCSR000BNK,TF ChIP-seq,CTCFL-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF037JSC/@@download/ENCFF037JSC.bigWig
ENCFF612GEX,ENCSR000BNL,TF ChIP-seq,SP2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF612GEX/@@download/ENCFF612GEX.bigWig
ENCFF457YNJ,ENCSR000BNM,TF ChIP-seq,TAF7-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF457YNJ/@@download/ENCFF457YNJ.bigWig
ENCFF316VWM,ENCSR000BNN,TF ChIP-seq,THAP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF316VWM/@@download/ENCFF316VWM.bigWig
ENCFF235PHN,ENCSR000BNU,TF ChIP-seq,ATF3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF235PHN/@@download/ENCFF235PHN.bigWig
ENCFF069EOR,ENCSR000BNV,TF ChIP-seq,MEF2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF069EOR/@@download/ENCFF069EOR.bigWig
ENCFF173LQN,ENCSR000BNW,TF ChIP-seq,SIX5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF173LQN/@@download/ENCFF173LQN.bigWig
ENCFF736UDR,ENCSR000BPJ,TF ChIP-seq,CTCF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF736UDR/@@download/ENCFF736UDR.bigWig
ENCFF124PYB,ENCSR000BQY,TF ChIP-seq,PML-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF124PYB/@@download/ENCFF124PYB.bigWig
ENCFF442LBB,ENCSR000BRK,TF ChIP-seq,TEAD4-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF442LBB/@@download/ENCFF442LBB.bigWig
ENCFF018MOC,ENCSR000BRQ,TF ChIP-seq,CEBPB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF018MOC/@@download/ENCFF018MOC.bigWig
ENCFF171KLX,ENCSR000BRR,TF ChIP-seq,STAT5A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF171KLX/@@download/ENCFF171KLX.bigWig
ENCFF332WQF,ENCSR000BRS,TF ChIP-seq,NR2F2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF332WQF/@@download/ENCFF332WQF.bigWig
ENCFF051QOQ,ENCSR000BRT,TF ChIP-seq,CBX3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF051QOQ/@@download/ENCFF051QOQ.bigWig
ENCFF520JFI,ENCSR000BRW,TF ChIP-seq,TRIM28-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF520JFI/@@download/ENCFF520JFI.bigWig
ENCFF517YHP,ENCSR000BSO,TF ChIP-seq,CREB1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF517YHP/@@download/ENCFF517YHP.bigWig
ENCFF974WWN,ENCSR000DJW,TF ChIP-seq,NR4A1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF974WWN/@@download/ENCFF974WWN.bigWig
ENCFF931KUD,ENCSR000DJX,TF ChIP-seq,JUND-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF931KUD/@@download/ENCFF931KUD.bigWig
ENCFF837YHG,ENCSR000DJY,TF ChIP-seq,JUNB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF837YHG/@@download/ENCFF837YHG.bigWig
ENCFF167WLX,ENCSR000DJZ,TF ChIP-seq,HDAC8-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF167WLX/@@download/ENCFF167WLX.bigWig
ENCFF602MQL,ENCSR000DKA,TF ChIP-seq,GATA2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF602MQL/@@download/ENCFF602MQL.bigWig
ENCFF348QLX,ENCSR000DLY,TF ChIP-seq,POLR2A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF348QLX/@@download/ENCFF348QLX.bigWig
ENCFF341GGH,ENCSR000DLZ,TF ChIP-seq,MYC-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF341GGH/@@download/ENCFF341GGH.bigWig
ENCFF110AJS,ENCSR000DMA,TF ChIP-seq,CTCF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF110AJS/@@download/ENCFF110AJS.bigWig
ENCFF271JYU,ENCSR000DNZ,TF ChIP-seq,ATF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF271JYU/@@download/ENCFF271JYU.bigWig
ENCFF358NKR,ENCSR000DOA,TF ChIP-seq,CCNT2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF358NKR/@@download/ENCFF358NKR.bigWig
ENCFF614MZM,ENCSR000DOB,TF ChIP-seq,HMGN3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF614MZM/@@download/ENCFF614MZM.bigWig
ENCFF666JHC,ENCSR000DOC,TF ChIP-seq,BRF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF666JHC/@@download/ENCFF666JHC.bigWig
ENCFF604DDU,ENCSR000DOD,TF ChIP-seq,GTF3C2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF604DDU/@@download/ENCFF604DDU.bigWig
ENCFF856EMT,ENCSR000DOE,TF ChIP-seq,GTF2B-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF856EMT/@@download/ENCFF856EMT.bigWig
ENCFF261SIY,ENCSR000DOF,TF ChIP-seq,NELFE-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF261SIY/@@download/ENCFF261SIY.bigWig
ENCFF840BJJ,ENCSR000DOG,TF ChIP-seq,ATF3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF840BJJ/@@download/ENCFF840BJJ.bigWig
ENCFF315WSH,ENCSR000DOH,TF ChIP-seq,SIRT6-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF315WSH/@@download/ENCFF315WSH.bigWig
ENCFF355ULG,ENCSR000DOI,TF ChIP-seq,POLR3A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF355ULG/@@download/ENCFF355ULG.bigWig
ENCFF028ZFL,ENCSR000DOJ,TF ChIP-seq,BRF1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF028ZFL/@@download/ENCFF028ZFL.bigWig
ENCFF121YFD,ENCSR000DOK,TF ChIP-seq,BDP1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF121YFD/@@download/ENCFF121YFD.bigWig
ENCFF534ITO,ENCSR000DWE,TF ChIP-seq,CTCF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF534ITO/@@download/ENCFF534ITO.bigWig
ENCFF060ZSK,ENCSR000EFN,TF ChIP-seq,HCFC1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF060ZSK/@@download/ENCFF060ZSK.bigWig
ENCFF888MTH,ENCSR000EFO,TF ChIP-seq,CUX1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF888MTH/@@download/ENCFF888MTH.bigWig
ENCFF661OFX,ENCSR000EFP,TF ChIP-seq,ZNF384-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF661OFX/@@download/ENCFF661OFX.bigWig
ENCFF042TOP,ENCSR000EFQ,TF ChIP-seq,ZMIZ1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF042TOP/@@download/ENCFF042TOP.bigWig
ENCFF122ZHT,ENCSR000EFR,TF ChIP-seq,ZC3H11A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF122ZHT/@@download/ENCFF122ZHT.bigWig
ENCFF528PWS,ENCSR000EFS,TF ChIP-seq,JUN-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF528PWS/@@download/ENCFF528PWS.bigWig
ENCFF334KVR,ENCSR000EFT,TF ChIP-seq,GATA1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF334KVR/@@download/ENCFF334KVR.bigWig
ENCFF700LIO,ENCSR000EFU,TF ChIP-seq,ELK1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF700LIO/@@download/ENCFF700LIO.bigWig
ENCFF755MWA,ENCSR000EFV,TF ChIP-seq,MAX-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF755MWA/@@download/ENCFF755MWA.bigWig
ENCFF939UDC,ENCSR000EFW,TF ChIP-seq,UBTF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF939UDC/@@download/ENCFF939UDC.bigWig
ENCFF286HAP,ENCSR000EFX,TF ChIP-seq,MAZ-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF286HAP/@@download/ENCFF286HAP.bigWig
ENCFF415DOV,ENCSR000EFY,TF ChIP-seq,ARID3A-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF415DOV/@@download/ENCFF415DOV.bigWig
ENCFF863MOX,ENCSR000EFZ,TF ChIP-seq,UBTF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF863MOX/@@download/ENCFF863MOX.bigWig
ENCFF689LKD,ENCSR000EGA,TF ChIP-seq,TBL1XR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF689LKD/@@download/ENCFF689LKD.bigWig
ENCFF422CNL,ENCSR000EGB,TF ChIP-seq,TBL1XR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF422CNL/@@download/ENCFF422CNL.bigWig
ENCFF211CGZ,ENCSR000EGC,TF ChIP-seq,RCOR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF211CGZ/@@download/ENCFF211CGZ.bigWig
ENCFF886PIZ,ENCSR000EGD,TF ChIP-seq,BACH1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF886PIZ/@@download/ENCFF886PIZ.bigWig
ENCFF636VVR,ENCSR000EGE,TF ChIP-seq,EP300-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF636VVR/@@download/ENCFF636VVR.bigWig
ENCFF434PYZ,ENCSR000EGF,TF ChIP-seq,POLR2AphosphoS2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF434PYZ/@@download/ENCFF434PYZ.bigWig
ENCFF857APX,ENCSR000EGG,TF ChIP-seq,RCOR1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF857APX/@@download/ENCFF857APX.bigWig
ENCFF750ZMW,ENCSR000EGI,TF ChIP-seq,MAFF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF750ZMW/@@download/ENCFF750ZMW.bigWig
ENCFF801QJW,ENCSR000EGJ,TF ChIP-seq,MYC-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF801QJW/@@download/ENCFF801QJW.bigWig
ENCFF682MFJ,ENCSR000EGM,TF ChIP-seq,CTCF-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF682MFJ/@@download/ENCFF682MFJ.bigWig
ENCFF985WIP,ENCSR000EGN,TF ChIP-seq,JUND-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF985WIP/@@download/ENCFF985WIP.bigWig
ENCFF817FLM,ENCSR000EGO,TF ChIP-seq,RFX5-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF817FLM/@@download/ENCFF817FLM.bigWig
ENCFF869XMW,ENCSR000EGP,TF ChIP-seq,ZNF143-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF869XMW/@@download/ENCFF869XMW.bigWig
ENCFF608VTZ,ENCSR000EGQ,TF ChIP-seq,NFYB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF608VTZ/@@download/ENCFF608VTZ.bigWig
ENCFF427FTJ,ENCSR000EGR,TF ChIP-seq,NFYA-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF427FTJ/@@download/ENCFF427FTJ.bigWig
ENCFF057JQO,ENCSR000EGV,TF ChIP-seq,BHLHE40-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF057JQO/@@download/ENCFF057JQO.bigWig
ENCFF469OWD,ENCSR000EGW,TF ChIP-seq,SMC3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF469OWD/@@download/ENCFF469OWD.bigWig
ENCFF530IEE,ENCSR000EGX,TF ChIP-seq,MAFK-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF530IEE/@@download/ENCFF530IEE.bigWig
ENCFF198BYC,ENCSR000EGY,TF ChIP-seq,EP300-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF198BYC/@@download/ENCFF198BYC.bigWig
ENCFF564ETH,ENCSR000EGZ,TF ChIP-seq,MXI1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF564ETH/@@download/ENCFF564ETH.bigWig
ENCFF727KHF,ENCSR000EHA,TF ChIP-seq,TBP-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF727KHF/@@download/ENCFF727KHF.bigWig
ENCFF439GTA,ENCSR000EHB,TF ChIP-seq,TAL1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF439GTA/@@download/ENCFF439GTA.bigWig
ENCFF352YOO,ENCSR000EHC,TF ChIP-seq,GTF2F1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF352YOO/@@download/ENCFF352YOO.bigWig
ENCFF032HVZ,ENCSR000EHD,TF ChIP-seq,CHD2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF032HVZ/@@download/ENCFF032HVZ.bigWig
ENCFF454KRI,ENCSR000EHE,TF ChIP-seq,CEBPB-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF454KRI/@@download/ENCFF454KRI.bigWig
ENCFF711PAO,ENCSR000EHF,TF ChIP-seq,POLR2AphosphoS2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF711PAO/@@download/ENCFF711PAO.bigWig
ENCFF080NEA,ENCSR000EHG,TF ChIP-seq,USF2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF080NEA/@@download/ENCFF080NEA.bigWig
