Chromosome,Start,gene_name,gene_id,Strand
chr1,6785479,CAMTA1,ENSG00000171735.21,+
chr1,6785490,CAMTA1,ENSG00000171735.21,+
chr1,6785496,CAMTA1,ENSG00000171735.21,+
chr1,6785502,CAMTA1,ENSG00000171735.21,+
chr1,6785517,CAMTA1,ENSG00000171735.21,+
chr1,6785530,CAMTA1,ENSG00000171735.21,+
chr1,7669758,CAMTA1,ENSG00000171735.21,+
chr1,7669904,CAMTA1,ENSG00000171735.21,+
chr1,7704715,CAMTA1,ENSG00000171735.21,+
chr1,7704767,CAMTA1,ENSG00000171735.21,+
chr1,7704837,CAMTA1,ENSG00000171735.21,+
chr1,7704886,CAMTA1,ENSG00000171735.21,+
chr1,7771295,VAMP3,ENSG00000049245.13,+
chr1,7772706,VAMP3,ENSG00000049245.13,+
chr1,7784290,PER3,ENSG00000049246.15,+
chr1,7784319,PER3,ENSG00000049246.15,+
chr1,7784428,PER3,ENSG00000049246.15,+
chr1,7784702,PER3,ENSG00000049246.15,+
chr1,7961691,PARK7,ENSG00000116288.13,+
chr1,7961700,PARK7,ENSG00000116288.13,+
chr1,7961710,PARK7,ENSG00000116288.13,+
chr1,7961893,PARK7,ENSG00000116288.13,+
chr1,7961968,PARK7,ENSG00000116288.13,+
chr1,8318113,SLC45A1,ENSG00000162426.16,+
chr1,8324329,SLC45A1,ENSG00000162426.16,+
chr1,8945867,CA6,ENSG00000131686.15,+
chr1,8945881,CA6,ENSG00000131686.15,+
chr1,8945886,CA6,ENSG00000131686.15,+
chr1,9234773,H6PD,ENSG00000049239.13,+
chr1,9239843,H6PD,ENSG00000049239.13,+
chr1,9292893,SPSB1,ENSG00000171621.14,+
chr1,9351430,SPSB1,ENSG00000171621.14,+
chr1,9355706,SPSB1,ENSG00000171621.14,+
chr1,9539464,SLC25A33,ENSG00000171612.7,+
chr1,9588910,TMEM201,ENSG00000188807.13,+
chr1,9588921,TMEM201,ENSG00000188807.13,+
chr1,9651730,PIK3CD,ENSG00000171608.18,+
chr1,9651743,PIK3CD,ENSG00000171608.18,+
chr1,9651747,PIK3CD,ENSG00000171608.18,+
chr1,9651768,PIK3CD,ENSG00000171608.18,+
chr1,9689546,PIK3CD,ENSG00000171608.18,+
chr1,9689552,PIK3CD,ENSG00000171608.18,+
chr1,9689569,PIK3CD,ENSG00000171608.18,+
chr1,9710197,PIK3CD,ENSG00000171608.18,+
chr1,9710334,PIK3CD,ENSG00000171608.18,+
chr1,9943427,NMNAT1,ENSG00000173614.14,+
chr1,9943474,NMNAT1,ENSG00000173614.14,+
chr1,9997227,RBP7,ENSG00000162444.12,+
chr1,10032831,UBE4B,ENSG00000130939.20,+
chr1,10032957,UBE4B,ENSG00000130939.20,+
chr1,10033273,UBE4B,ENSG00000130939.20,+
chr1,10210569,KIF1B,ENSG00000054523.20,+
chr1,10210796,KIF1B,ENSG00000054523.20,+
chr1,10210804,KIF1B,ENSG00000054523.20,+
chr1,10211615,KIF1B,ENSG00000054523.20,+
chr1,10230763,KIF1B,ENSG00000054523.20,+
chr1,10232249,KIF1B,ENSG00000054523.20,+
chr1,10232328,KIF1B,ENSG00000054523.20,+
chr1,10399063,PGD,ENSG00000142657.21,+
chr1,10430101,CENPS-CORT,ENSG00000251503.8,+
chr1,10430383,CENPS-CORT,ENSG00000251503.8,+
chr1,10430434,CENPS-CORT,ENSG00000251503.8,+
chr1,10430803,CENPS-CORT,ENSG00000251503.8,+
chr1,10431257,CENPS-CORT,ENSG00000251503.8,+
chr1,10430432,CENPS,ENSG00000175279.22,+
chr1,10431122,CENPS,ENSG00000175279.22,+
chr1,10450030,CORT,ENSG00000241563.4,+
chr1,10474949,PEX14,ENSG00000142655.13,+
chr1,11012423,TARDBP,ENSG00000120948.19,+
chr1,11012621,TARDBP,ENSG00000120948.19,+
chr1,11012653,TARDBP,ENSG00000120948.19,+
chr1,11013715,TARDBP,ENSG00000120948.19,+
chr1,11013727,TARDBP,ENSG00000120948.19,+
chr1,11189354,ANGPTL7,ENSG00000171819.5,+
chr1,11273197,UBIAD1,ENSG00000120942.14,+
chr1,11273527,UBIAD1,ENSG00000120942.14,+
chr1,11479154,DISP3,ENSG00000204624.8,+
chr1,11533675,DISP3,ENSG00000204624.8,+
chr1,11654374,FBXO44,ENSG00000132879.14,+
chr1,11654856,FBXO44,ENSG00000132879.14,+
chr1,11654876,FBXO44,ENSG00000132879.14,+
chr1,11654880,FBXO44,ENSG00000132879.14,+
chr1,11654909,FBXO44,ENSG00000132879.14,+
chr1,11664199,FBXO6,ENSG00000116663.11,+
chr1,11691709,DRAXIN,ENSG00000162490.7,+
chr1,11736083,AGTRAP,ENSG00000177674.16,+
chr1,11736123,AGTRAP,ENSG00000177674.16,+
chr1,11736135,AGTRAP,ENSG00000177674.16,+
chr1,11736146,AGTRAP,ENSG00000177674.16,+
chr1,11736152,AGTRAP,ENSG00000177674.16,+
chr1,11736172,AGTRAP,ENSG00000177674.16,+
chr1,11736174,AGTRAP,ENSG00000177674.16,+
chr1,11761786,C1orf167,ENSG00000215910.8,+
chr1,11762192,C1orf167,ENSG00000215910.8,+
chr1,11806095,CLCN6,ENSG00000011021.23,+
chr1,11806190,CLCN6,ENSG00000011021.23,+
chr1,11806259,CLCN6,ENSG00000011021.23,+
chr1,11934716,PLOD1,ENSG00000083444.17,+
chr1,11980180,MFN2,ENSG00000116688.18,+
chr1,11980188,MFN2,ENSG00000116688.18,+
chr1,11980190,MFN2,ENSG00000116688.18,+
chr1,11980208,MFN2,ENSG00000116688.18,+
chr1,11980215,MFN2,ENSG00000116688.18,+
chr1,11980275,MFN2,ENSG00000116688.18,+
chr1,11980280,MFN2,ENSG00000116688.18,+
chr1,11980298,MFN2,ENSG00000116688.18,+
chr1,11980443,MFN2,ENSG00000116688.18,+
chr1,12019497,MIIP,ENSG00000116691.11,+
chr1,12063302,TNFRSF8,ENSG00000120949.15,+
chr1,12063376,TNFRSF8,ENSG00000120949.15,+
chr1,12125898,TNFRSF8,ENSG00000120949.15,+
chr1,12166990,TNFRSF1B,ENSG00000028137.19,+
chr1,12167002,TNFRSF1B,ENSG00000028137.19,+
chr1,12230029,VPS13D,ENSG00000048707.15,+
chr1,12230066,VPS13D,ENSG00000048707.15,+
chr1,12464939,VPS13D,ENSG00000048707.15,+
chr1,12644084,AADACL4,ENSG00000204518.3,+
chr1,12716109,AADACL3,ENSG00000188984.12,+
chr1,12746199,CFAP107,ENSG00000157330.10,+
chr1,12746424,CFAP107,ENSG00000157330.10,+
chr1,12773737,PRAMEF12,ENSG00000116726.5,+
chr1,12791396,PRAMEF1,ENSG00000116721.9,+
chr1,12857085,PRAMEF2,ENSG00000120952.4,+
chr1,12916609,PRAMEF7,ENSG00000204510.6,+
chr1,12917624,PRAMEF7,ENSG00000204510.6,+
chr1,13060768,HNRNPCL3,ENSG00000277058.3,+
chr1,13061157,HNRNPCL3,ENSG00000277058.3,+
chr1,13068676,PRAMEF25,ENSG00000229571.7,+
chr1,13070773,PRAMEF25,ENSG00000229571.7,+
chr1,13171847,PRAMEF9,ENSG00000204505.5,+
chr1,13254197,PRAMEF5,ENSG00000270601.5,+
chr1,13303538,PRAMEF33,ENSG00000237700.2,+
chr1,13315580,PRAMEF15,ENSG00000204501.7,+
chr1,13389631,PRAMEF17,ENSG00000204479.4,+
chr1,13410449,PRAMEF20,ENSG00000204478.11,+
chr1,13583464,PDPN,ENSG00000162493.17,+
chr1,13583761,PDPN,ENSG00000162493.17,+
chr1,13583831,PDPN,ENSG00000162493.17,+
chr1,13583832,PDPN,ENSG00000162493.17,+
chr1,13584092,PDPN,ENSG00000162493.17,+
chr1,13584266,PDPN,ENSG00000162493.17,+
chr1,13584269,PDPN,ENSG00000162493.17,+
chr1,13585460,PDPN,ENSG00000162493.17,+
chr1,13585471,PDPN,ENSG00000162493.17,+
chr1,13700187,PRDM2,ENSG00000116731.23,+
chr1,13700239,PRDM2,ENSG00000116731.23,+
chr1,13704854,PRDM2,ENSG00000116731.23,+
chr1,13749402,PRDM2,ENSG00000116731.23,+
chr1,13749414,PRDM2,ENSG00000116731.23,+
chr1,13749434,PRDM2,ENSG00000116731.23,+
chr1,13749435,PRDM2,ENSG00000116731.23,+
chr1,13892791,KAZN,ENSG00000189337.17,+
chr1,14598684,KAZN,ENSG00000189337.17,+
chr1,14598716,KAZN,ENSG00000189337.17,+
chr1,14924129,KAZN,ENSG00000189337.17,+
chr1,14929799,KAZN,ENSG00000189337.17,+
chr1,14945918,KAZN,ENSG00000189337.17,+
chr1,15152531,TMEM51,ENSG00000171729.14,+
chr1,15152565,TMEM51,ENSG00000171729.14,+
chr1,15153732,TMEM51,ENSG00000171729.14,+
chr1,15153746,TMEM51,ENSG00000171729.14,+
chr1,15153767,TMEM51,ENSG00000171729.14,+
chr1,15236520,FHAD1,ENSG00000142621.21,+
chr1,15247222,FHAD1,ENSG00000142621.21,+
chr1,15247271,FHAD1,ENSG00000142621.21,+
chr1,15251784,FHAD1,ENSG00000142621.21,+
chr1,15305761,FHAD1,ENSG00000142621.21,+
chr1,15305779,FHAD1,ENSG00000142621.21,+
chr1,15409887,EFHD2,ENSG00000142634.13,+
chr1,15438441,CTRC,ENSG00000162438.12,+
chr1,15438442,CTRC,ENSG00000162438.12,+
chr1,15456731,CELA2A,ENSG00000142615.8,+
chr1,15476103,CELA2B,ENSG00000215704.10,+
chr1,15526812,DNAJC16,ENSG00000116138.13,+
chr1,15526847,DNAJC16,ENSG00000116138.13,+
chr1,15617457,DDI2,ENSG00000197312.13,+
chr1,15659712,RSC1A1,ENSG00000215695.2,+
chr1,15684319,PLEKHM2,ENSG00000116786.13,+
chr1,15684389,PLEKHM2,ENSG00000116786.13,+
chr1,15684555,PLEKHM2,ENSG00000116786.13,+
chr1,15736257,SLC25A34,ENSG00000162461.8,+
chr1,15742498,TMEM82,ENSG00000162460.7,+
chr1,15756658,FBLIM1,ENSG00000162458.13,+
chr1,15758794,FBLIM1,ENSG00000162458.13,+
chr1,15764498,FBLIM1,ENSG00000162458.13,+
chr1,15764952,FBLIM1,ENSG00000162458.13,+
chr1,15847706,SPEN,ENSG00000065526.13,+
chr1,16004235,SRARP,ENSG00000183888.4,+
chr1,16021870,CLCNKA,ENSG00000186510.12,+
chr1,16022013,CLCNKA,ENSG00000186510.12,+
chr1,16022035,CLCNKA,ENSG00000186510.12,+
chr1,16040251,CLCNKB,ENSG00000184908.20,+
chr1,16040275,CLCNKB,ENSG00000184908.20,+
chr1,16040338,CLCNKB,ENSG00000184908.20,+
chr1,16040984,CLCNKB,ENSG00000184908.20,+
chr1,16043781,CLCNKB,ENSG00000184908.20,+
chr1,16048788,CLCNKB,ENSG00000184908.20,+
chr1,16367087,SZRD1,ENSG00000055070.17,+
chr1,16367224,SZRD1,ENSG00000055070.17,+
chr1,16367241,SZRD1,ENSG00000055070.17,+
chr1,16367264,SZRD1,ENSG00000055070.17,+
chr1,16440720,NECAP2,ENSG00000157191.20,+
chr1,16440723,NECAP2,ENSG00000157191.20,+
chr1,16440735,NECAP2,ENSG00000157191.20,+
chr1,16921930,CROCC,ENSG00000058453.17,+
chr1,17205127,PADI1,ENSG00000142623.11,+
chr1,17249097,PADI3,ENSG00000142619.4,+
chr1,17308194,PADI4,ENSG00000159339.13,+
chr1,17308196,PADI4,ENSG00000159339.13,+
chr1,17372195,PADI6,ENSG00000276747.1,+
chr1,17539697,ARHGEF10L,ENSG00000074964.17,+
chr1,17580552,ARHGEF10L,ENSG00000074964.17,+
chr1,17618315,ARHGEF10L,ENSG00000074964.17,+
chr1,17755332,ACTL8,ENSG00000117148.8,+
chr1,17822981,ACTL8,ENSG00000117148.8,+
chr1,18107797,IGSF21,ENSG00000117154.12,+
chr1,18480929,KLHDC7A,ENSG00000179023.9,+
chr1,18630845,PAX7,ENSG00000009709.12,+
chr1,18631005,PAX7,ENSG00000009709.12,+
chr1,18631523,PAX7,ENSG00000009709.12,+
chr1,19251804,MRTO4,ENSG00000053372.5,+
chr1,19312325,SLC66A1,ENSG00000040487.13,+
chr1,19312340,SLC66A1,ENSG00000040487.13,+
chr1,19484402,MICOS10,ENSG00000173436.15,+
chr1,19596976,MICOS10,ENSG00000173436.15,+
chr1,19596978,MICOS10,ENSG00000173436.15,+
chr1,19643231,NBL1,ENSG00000158747.15,+
chr1,19643408,NBL1,ENSG00000158747.15,+
chr1,19643713,NBL1,ENSG00000158747.15,+
chr1,19644310,NBL1,ENSG00000158747.15,+
chr1,19645371,NBL1,ENSG00000158747.15,+
chr1,19645765,NBL1,ENSG00000158747.15,+
chr1,19647609,NBL1,ENSG00000158747.15,+
chr1,19597066,MICOS10-NBL1,ENSG00000270136.6,+
chr1,19664874,HTR6,ENSG00000158748.4,+
chr1,19882394,OTUD3,ENSG00000169914.6,+
chr1,20070193,PLA2G5,ENSG00000127472.11,+
chr1,20139322,PLA2G2F,ENSG00000158786.5,+
chr1,20186095,UBXN10,ENSG00000162543.6,+
chr1,20290874,VWA5B1,ENSG00000158816.16,+
chr1,20290918,VWA5B1,ENSG00000158816.16,+
chr1,20552572,FAM43B,ENSG00000183114.8,+
chr1,20589096,CDA,ENSG00000158825.6,+
chr1,20633457,PINK1,ENSG00000158828.8,+
chr1,21440127,NBPF3,ENSG00000142794.19,+
chr1,21440136,NBPF3,ENSG00000142794.19,+
chr1,21440163,NBPF3,ENSG00000142794.19,+
chr1,21468549,NBPF3,ENSG00000142794.19,+
chr1,21509422,ALPL,ENSG00000162551.14,+
chr1,21509425,ALPL,ENSG00000162551.14,+
chr1,21509427,ALPL,ENSG00000162551.14,+
chr1,21551278,ALPL,ENSG00000162551.14,+
chr1,21547403,ENSG00000289715,ENSG00000289715.1,+
chr1,21812264,LDLRAD2,ENSG00000187942.12,+
chr1,21812362,LDLRAD2,ENSG00000187942.12,+
chr1,21977021,CELA3B,ENSG00000219073.8,+
chr1,22001656,CELA3A,ENSG00000142789.20,+
chr1,22025141,ENSG00000289694,ENSG00000289694.1,+
chr1,22025510,ENSG00000289694,ENSG00000289694.1,+
chr1,22052626,CDC42,ENSG00000070831.18,+
chr1,22052650,CDC42,ENSG00000070831.18,+
chr1,22052660,CDC42,ENSG00000070831.18,+
chr1,22052670,CDC42,ENSG00000070831.18,+
chr1,22052678,CDC42,ENSG00000070831.18,+
chr1,22052708,CDC42,ENSG00000070831.18,+
chr1,22052759,CDC42,ENSG00000070831.18,+
chr1,22052864,CDC42,ENSG00000070831.18,+
chr1,22053022,CDC42,ENSG00000070831.18,+
chr1,22053485,CDC42,ENSG00000070831.18,+
chr1,22055029,CDC42,ENSG00000070831.18,+
chr1,22062124,CDC42,ENSG00000070831.18,+
chr1,22065320,CDC42,ENSG00000070831.18,+
chr1,22072454,CDC42,ENSG00000070831.18,+
chr1,22076333,CDC42,ENSG00000070831.18,+
chr1,22451850,ZBTB40,ENSG00000184677.18,+
chr1,22563488,EPHA8,ENSG00000070886.12,+
chr1,22563563,EPHA8,ENSG00000070886.12,+
chr1,22635076,C1QA,ENSG00000173372.18,+
chr1,22636449,C1QA,ENSG00000173372.18,+
chr1,22636462,C1QA,ENSG00000173372.18,+
chr1,22636625,C1QA,ENSG00000173372.18,+
chr1,22636627,C1QA,ENSG00000173372.18,+
chr1,22636687,C1QA,ENSG00000173372.18,+
chr1,22636761,C1QA,ENSG00000173372.18,+
chr1,22636505,ENSG00000289692,ENSG00000289692.1,+
chr1,22643013,C1QC,ENSG00000159189.13,+
chr1,22643625,C1QC,ENSG00000159189.13,+
chr1,22643631,C1QC,ENSG00000159189.13,+
chr1,22643632,C1QC,ENSG00000159189.13,+
chr1,22643652,C1QC,ENSG00000159189.13,+
chr1,22653189,C1QB,ENSG00000173369.18,+
chr1,22653202,C1QB,ENSG00000173369.18,+
chr1,22653235,C1QB,ENSG00000173369.18,+
chr1,22659398,C1QB,ENSG00000173369.18,+
chr1,22710838,EPHB2,ENSG00000133216.17,+
chr1,22710964,EPHB2,ENSG00000133216.17,+
chr1,22710969,EPHB2,ENSG00000133216.17,+
chr1,22775177,EPHB2,ENSG00000133216.17,+
chr1,23019442,KDM1A,ENSG00000004487.18,+
chr1,23019447,KDM1A,ENSG00000004487.18,+
chr1,23019467,KDM1A,ENSG00000004487.18,+
chr1,23691741,RPL11,ENSG00000142676.14,+
chr1,23691805,RPL11,ENSG00000142676.14,+
chr1,23692305,RPL11,ENSG00000142676.14,+
chr1,23743470,ELOA,ENSG00000011007.13,+
chr1,23778417,PITHD1,ENSG00000057757.10,+
chr1,23785191,PITHD1,ENSG00000057757.10,+
chr1,23791144,LYPLA2,ENSG00000011009.11,+
chr1,23791186,LYPLA2,ENSG00000011009.11,+
chr1,23791202,LYPLA2,ENSG00000011009.11,+
chr1,23791220,LYPLA2,ENSG00000011009.11,+
chr1,23793652,LYPLA2,ENSG00000011009.11,+
chr1,23956838,PNRC2,ENSG00000189266.13,+
chr1,23959827,PNRC2,ENSG00000189266.13,+
chr1,23960967,PNRC2,ENSG00000189266.13,+
chr1,24199557,GRHL3,ENSG00000158055.17,+
chr1,24318763,GRHL3,ENSG00000158055.17,+
chr1,24318774,GRHL3,ENSG00000158055.17,+
chr1,24319356,GRHL3,ENSG00000158055.17,+
chr1,24319424,GRHL3,ENSG00000158055.17,+
chr1,24319565,GRHL3,ENSG00000158055.17,+
chr1,24319813,GRHL3,ENSG00000158055.17,+
chr1,24323039,GRHL3,ENSG00000158055.17,+
chr1,24415801,NIPAL3,ENSG00000001461.17,+
chr1,24415802,NIPAL3,ENSG00000001461.17,+
chr1,24415812,NIPAL3,ENSG00000001461.17,+
chr1,24415813,NIPAL3,ENSG00000001461.17,+
chr1,24502350,RCAN3,ENSG00000117602.13,+
chr1,24502835,RCAN3,ENSG00000117602.13,+
chr1,24502896,RCAN3,ENSG00000117602.13,+
chr1,24507566,RCAN3,ENSG00000117602.13,+
chr1,24514319,RCAN3,ENSG00000117602.13,+
chr1,24514346,RCAN3,ENSG00000117602.13,+
chr1,24514372,RCAN3,ENSG00000117602.13,+
chr1,24556086,NCMAP,ENSG00000184454.7,+
chr1,24643199,SRRM1,ENSG00000133226.19,+
chr1,24643272,SRRM1,ENSG00000133226.19,+
chr1,24643298,SRRM1,ENSG00000133226.19,+
chr1,24643301,SRRM1,ENSG00000133226.19,+
chr1,24745446,CLIC4,ENSG00000169504.15,+
chr1,25272438,RHD,ENSG00000187010.21,+
chr1,25272485,RHD,ENSG00000187010.21,+
chr1,25272497,RHD,ENSG00000187010.21,+
chr1,25272508,RHD,ENSG00000187010.21,+
chr1,25272547,RHD,ENSG00000187010.21,+
chr1,25338333,TMEM50A,ENSG00000183726.11,+
chr1,25430857,MACO1,ENSG00000204178.11,+
chr1,25430896,MACO1,ENSG00000204178.11,+
chr1,25543605,LDLRAP1,ENSG00000157978.12,+
chr1,25616790,MAN1C1,ENSG00000117643.15,+
chr1,25617467,MAN1C1,ENSG00000117643.15,+
chr1,25617849,MAN1C1,ENSG00000117643.15,+
chr1,25709601,MAN1C1,ENSG00000117643.15,+
chr1,25800192,SELENON,ENSG00000162430.18,+
chr1,25800230,SELENON,ENSG00000162430.18,+
chr1,25813972,ENSG00000255054,ENSG00000255054.3,+
chr1,25819928,MTFR1L,ENSG00000117640.18,+
chr1,25819953,MTFR1L,ENSG00000117640.18,+
chr1,25819978,MTFR1L,ENSG00000117640.18,+
chr1,25819985,MTFR1L,ENSG00000117640.18,+
chr1,25820002,MTFR1L,ENSG00000117640.18,+
chr1,25820192,MTFR1L,ENSG00000117640.18,+
chr1,25820827,MTFR1L,ENSG00000117640.18,+
chr1,25821522,MTFR1L,ENSG00000117640.18,+
chr1,26021774,EXTL1,ENSG00000158008.10,+
chr1,26111164,PDIK1L,ENSG00000175087.10,+
chr1,26111823,PDIK1L,ENSG00000175087.10,+
chr1,26111836,PDIK1L,ENSG00000175087.10,+
chr1,26159078,FAM110D,ENSG00000197245.6,+
chr1,26169907,ZNF593,ENSG00000142684.9,+
chr1,26169941,ZNF593,ENSG00000142684.9,+
chr1,26177490,CNKSR1,ENSG00000142675.18,+
chr1,26177508,CNKSR1,ENSG00000142675.18,+
chr1,26180167,CNKSR1,ENSG00000142675.18,+
chr1,26190601,CATSPER4,ENSG00000188782.9,+
chr1,26234199,CEP85,ENSG00000130695.16,+
chr1,26234201,CEP85,ENSG00000130695.16,+
chr1,26280085,SH3BGRL3,ENSG00000142669.15,+
chr1,26280121,SH3BGRL3,ENSG00000142669.15,+
chr1,26317957,CD52,ENSG00000169442.9,+
chr1,26410816,LIN28A,ENSG00000131914.11,+
chr1,26432315,DHDDS,ENSG00000117682.18,+
chr1,26432320,DHDDS,ENSG00000117682.18,+
chr1,26432328,DHDDS,ENSG00000117682.18,+
chr1,26432338,DHDDS,ENSG00000117682.18,+
chr1,26432339,DHDDS,ENSG00000117682.18,+
chr1,26432341,DHDDS,ENSG00000117682.18,+
chr1,26432354,DHDDS,ENSG00000117682.18,+
chr1,26432374,DHDDS,ENSG00000117682.18,+
chr1,26432381,DHDDS,ENSG00000117682.18,+
chr1,26472439,HMGN2,ENSG00000198830.12,+
chr1,26529760,RPS6KA1,ENSG00000117676.14,+
chr1,26529777,RPS6KA1,ENSG00000117676.14,+
chr1,26531217,RPS6KA1,ENSG00000117676.14,+
chr1,26543111,RPS6KA1,ENSG00000117676.14,+
chr1,26545851,RPS6KA1,ENSG00000117676.14,+
chr1,26693235,ARID1A,ENSG00000117713.21,+
chr1,26696014,ARID1A,ENSG00000117713.21,+
