,delta mean,delta std,path,wt,context,cell line
2399,0.7104,0.2295,../results/context_dependence_test_10/borzoi/PLAAT3_chr11_63614433_-.pickle,8.99,enhancing,"GM12878 ENCODE, biol_"
720,0.8306,0.1318,../results/context_dependence_test_10/borzoi/GPR34_chrX_41688972_+.pickle,4.44,enhancing,"GM12878 ENCODE, biol_"
9600,0.7554,0.1236,../results/context_dependence_test_10/borzoi/TPD52_chr8_80171558_-.pickle,18.45,enhancing,"GM12878 ENCODE, biol_"
627,0.7817,0.1368,../results/context_dependence_test_10/borzoi/GTF2IRD2_chr7_74851518_-.pickle,4.6,enhancing,"GM12878 ENCODE, biol_"
1330,0.8403,0.05502,../results/context_dependence_test_10/borzoi/SPR_chr2_72887407_+.pickle,11.58,enhancing,"GM12878 ENCODE, biol_"
8859,0.706,0.1787,../results/context_dependence_test_10/borzoi/CYP51A1_chr7_92134477_-.pickle,28.77,enhancing,"GM12878 ENCODE, biol_"
1600,0.753,0.0889,../results/context_dependence_test_10/borzoi/RHOQ_chr2_46542489_+.pickle,9.31,enhancing,"GM12878 ENCODE, biol_"
4029,0.8047,0.09033,../results/context_dependence_test_10/borzoi/POGLUT2_chr13_102799040_-.pickle,13.77,enhancing,"GM12878 ENCODE, biol_"
9996,0.717,0.257,../results/context_dependence_test_10/borzoi/HLA-DPA1_chr6_33073649_-.pickle,19.03,enhancing,"GM12878 ENCODE, biol_"
7698,0.7183,0.1425,../results/context_dependence_test_10/borzoi/NR2C1_chr12_95073580_-.pickle,26.89,enhancing,"GM12878 ENCODE, biol_"
6920,0.77,0.09607,../results/context_dependence_test_10/borzoi/LGMN_chr14_92748627_-.pickle,16.1,enhancing,"GM12878 ENCODE, biol_"
7211,0.7065,0.1061,../results/context_dependence_test_10/borzoi/ADGRE5_chr19_14381443_+.pickle,20.36,enhancing,"GM12878 ENCODE, biol_"
8417,0.7407,0.1593,../results/context_dependence_test_10/borzoi/H2AC15_chr6_27838375_-.pickle,19.33,enhancing,"GM12878 ENCODE, biol_"
4360,0.7686,0.2009,../results/context_dependence_test_10/borzoi/MYH7B_chr20_34955867_+.pickle,18.1,enhancing,"GM12878 ENCODE, biol_"
8473,0.794,0.1648,../results/context_dependence_test_10/borzoi/EEF1D_chr8_143597400_-.pickle,4.26,enhancing,"GM12878 ENCODE, biol_"
3844,0.7495,0.1036,../results/context_dependence_test_10/borzoi/NCOA7_chr6_125790959_+.pickle,9.12,enhancing,"GM12878 ENCODE, biol_"
8923,0.8467,0.08624,../results/context_dependence_test_10/borzoi/H3C11_chr6_27872346_-.pickle,18.27,enhancing,"GM12878 ENCODE, biol_"
4061,0.726,0.09076,../results/context_dependence_test_10/borzoi/RCN1_chr11_32091073_+.pickle,20.2,enhancing,"GM12878 ENCODE, biol_"
4491,0.7383,0.1399,../results/context_dependence_test_10/borzoi/NFE2L3_chr7_26152197_+.pickle,11.586,enhancing,"GM12878 ENCODE, biol_"
2103,0.822,0.1693,../results/context_dependence_test_10/borzoi/MLLT11_chr1_151060396_+.pickle,13.445,enhancing,"GM12878 ENCODE, biol_"
1286,0.717,0.0844,../results/context_dependence_test_10/borzoi/SRC_chr20_37346139_+.pickle,11.6,enhancing,"GM12878 ENCODE, biol_"
8098,0.7197,0.1519,../results/context_dependence_test_10/borzoi/CACUL1_chr10_118754970_-.pickle,23.89,enhancing,"GM12878 ENCODE, biol_"
1761,0.914,0.03424,../results/context_dependence_test_10/borzoi/RGS13_chr1_192636137_+.pickle,3.703,enhancing,"GM12878 ENCODE, biol_"
5790,0.7725,0.126,../results/context_dependence_test_10/borzoi/RGPD2_chr2_87825796_-.pickle,23.06,enhancing,"GM12878 ENCODE, biol_"
6261,0.739,0.3406,../results/context_dependence_test_10/borzoi/SUPV3L1_chr10_69180233_+.pickle,16.88,enhancing,"GM12878 ENCODE, biol_"
468,0.7783,0.0862,../results/context_dependence_test_10/borzoi/MANSC4_chr12_27780236_-.pickle,8.74,enhancing,"GM12878 ENCODE, biol_"
3,0.705,0.1539,../results/context_dependence_test_10/borzoi/ACSF2_chr17_50426217_+.pickle,10.34,enhancing,"GM12878 ENCODE, biol_"
9939,0.7217,0.1675,../results/context_dependence_test_10/borzoi/H3C10_chr6_27810050_+.pickle,19.1,enhancing,"GM12878 ENCODE, biol_"
7170,0.765,0.07526,../results/context_dependence_test_10/borzoi/LRRC61_chr7_150323262_+.pickle,17.95,enhancing,"GM12878 ENCODE, biol_"
5200,0.8774,0.0875,../results/context_dependence_test_10/borzoi/H4C13_chr6_27873534_-.pickle,10.58,enhancing,"GM12878 ENCODE, biol_"
6731,0.702,0.08307,../results/context_dependence_test_10/borzoi/AFMID_chr17_78187361_+.pickle,9.9,enhancing,"GM12878 ENCODE, biol_"
5028,0.7036,0.0964,../results/context_dependence_test_10/borzoi/SEPTIN6_chrX_119693168_-.pickle,25.48,enhancing,"GM12878 ENCODE, biol_"
3668,0.7036,0.1378,../results/context_dependence_test_10/borzoi/TXNRD2_chr22_19941804_-.pickle,33.6,enhancing,"GM12878 ENCODE, biol_"
313,0.838,0.03882,../results/context_dependence_test_10/borzoi/PIGP_chr21_37072900_-.pickle,4.203,enhancing,"GM12878 ENCODE, biol_"
9755,0.951,0.02768,../results/context_dependence_test_10/borzoi/CD80_chr3_119559614_-.pickle,9.39,enhancing,"GM12878 ENCODE, biol_"
1738,0.729,0.11926,../results/context_dependence_test_10/borzoi/EFCAB2_chr1_244970326_+.pickle,9.836,enhancing,"GM12878 ENCODE, biol_"
1288,0.753,0.08484,../results/context_dependence_test_10/borzoi/MLH3_chr14_75051467_-.pickle,13.695,enhancing,"GM12878 ENCODE, biol_"
6336,0.8438,0.1458,../results/context_dependence_test_10/borzoi/SORL1_chr11_121452313_+.pickle,15.71,enhancing,"GM12878 ENCODE, biol_"
4320,0.7324,0.2139,../results/context_dependence_test_10/borzoi/SPAG1_chr8_100158034_+.pickle,9.55,enhancing,"GM12878 ENCODE, biol_"
177,0.731,0.1006,../results/context_dependence_test_10/borzoi/MEOX1_chr17_43661922_-.pickle,1.762,enhancing,"GM12878 ENCODE, biol_"
3069,0.807,0.04807,../results/context_dependence_test_10/borzoi/CCDC50_chr3_191329393_+.pickle,25.98,enhancing,"GM12878 ENCODE, biol_"
4885,0.774,0.1947,../results/context_dependence_test_10/borzoi/COMMD1_chr2_61905673_+.pickle,10.52,enhancing,"GM12878 ENCODE, biol_"
3616,0.8843,0.06586,../results/context_dependence_test_10/borzoi/TMEM242_chr6_157323519_-.pickle,10.54,enhancing,"GM12878 ENCODE, biol_"
8629,0.7886,0.1919,../results/context_dependence_test_10/borzoi/NUP85_chr17_75205706_+.pickle,14.266,enhancing,"GM12878 ENCODE, biol_"
988,0.741,0.0817,../results/context_dependence_test_10/borzoi/TVP23A_chr16_10818794_-.pickle,1.05,enhancing,"GM12878 ENCODE, biol_"
1074,0.9097,0.04086,../results/context_dependence_test_10/borzoi/NIPSNAP3B_chr9_104764128_+.pickle,16.05,enhancing,"GM12878 ENCODE, biol_"
2365,0.723,0.10974,../results/context_dependence_test_10/borzoi/SEC61A2_chr10_12129640_+.pickle,13.28,enhancing,"GM12878 ENCODE, biol_"
4376,0.779,0.1598,../results/context_dependence_test_10/borzoi/MPC1_chr6_166382940_-.pickle,21.86,enhancing,"GM12878 ENCODE, biol_"
3689,0.7354,0.1282,../results/context_dependence_test_10/borzoi/S1PR1_chr1_101237018_+.pickle,14.5,enhancing,"GM12878 ENCODE, biol_"
1587,0.7095,0.0923,../results/context_dependence_test_10/borzoi/ARID1A_chr1_26696014_+.pickle,13.695,enhancing,"GM12878 ENCODE, biol_"
3018,0.9805,0.013245,../results/context_dependence_test_10/borzoi/IGLL5_chr22_22887828_+.pickle,5.285,enhancing,"GM12878 ENCODE, biol_"
1106,0.792,0.1663,../results/context_dependence_test_10/borzoi/PTP4A2_chr1_31937775_-.pickle,5.234,enhancing,"GM12878 ENCODE, biol_"
5625,0.894,0.0867,../results/context_dependence_test_10/borzoi/KAT14_chr20_18137862_+.pickle,7.926,enhancing,"GM12878 ENCODE, biol_"
8834,0.7817,0.08075,../results/context_dependence_test_10/borzoi/H4C1_chr6_26021648_+.pickle,11.7,enhancing,"GM12878 ENCODE, biol_"
6395,0.7656,0.1001,../results/context_dependence_test_10/borzoi/GEMIN5_chr5_154938211_-.pickle,19.94,enhancing,"GM12878 ENCODE, biol_"
9842,0.7383,0.09515,../results/context_dependence_test_10/borzoi/H2BC15_chr6_27838568_+.pickle,24.28,enhancing,"GM12878 ENCODE, biol_"
2968,0.732,0.1361,../results/context_dependence_test_10/borzoi/CENPS_chr1_10430432_+.pickle,7.8,enhancing,"GM12878 ENCODE, biol_"
5244,0.765,0.1401,../results/context_dependence_test_10/borzoi/FECH_chr18_57586702_-.pickle,18.3,enhancing,"GM12878 ENCODE, biol_"
421,0.793,0.06525,../results/context_dependence_test_10/borzoi/GTSF1_chr12_54473602_-.pickle,4.727,enhancing,"GM12878 ENCODE, biol_"
9328,0.8184,0.1128,../results/context_dependence_test_10/borzoi/H3C4_chr6_26197286_-.pickle,17.8,enhancing,"GM12878 ENCODE, biol_"
6944,0.7427,0.142,../results/context_dependence_test_10/borzoi/IAH1_chr2_9474550_+.pickle,17.53,enhancing,"GM12878 ENCODE, biol_"
5645,0.937,0.04617,../results/context_dependence_test_10/borzoi/H4C6_chr6_26240392_+.pickle,11.46,enhancing,"GM12878 ENCODE, biol_"
5209,0.7065,0.1586,../results/context_dependence_test_10/borzoi/PCGF2_chr17_38748378_-.pickle,10.94,enhancing,"GM12878 ENCODE, biol_"
1512,0.724,0.1475,../results/context_dependence_test_10/borzoi/STARD5_chr15_81324141_-.pickle,14.75,enhancing,"GM12878 ENCODE, biol_"
9988,0.8066,0.1234,../results/context_dependence_test_10/borzoi/HLA-DQB1_chr6_32666652_-.pickle,14.89,enhancing,"GM12878 ENCODE, biol_"
2871,0.866,0.12006,../results/context_dependence_test_10/borzoi/RIOX1_chr14_73490932_+.pickle,13.15,enhancing,"GM12878 ENCODE, biol_"
3522,0.7075,0.1538,../results/context_dependence_test_10/borzoi/NT5C2_chr10_103193272_-.pickle,15.93,enhancing,"GM12878 ENCODE, biol_"
5672,0.7695,0.0958,../results/context_dependence_test_10/borzoi/HSPA1B_chr6_31827737_+.pickle,11.375,enhancing,"GM12878 ENCODE, biol_"
1917,0.836,0.0631,../results/context_dependence_test_10/borzoi/RCCD1_chr15_90954880_+.pickle,4.703,enhancing,"GM12878 ENCODE, biol_"
2551,0.7827,0.1625,../results/context_dependence_test_10/borzoi/IL23R_chr1_67166453_+.pickle,2.463,enhancing,"GM12878 ENCODE, biol_"
6482,0.834,0.0871,../results/context_dependence_test_10/borzoi/ADAM19_chr5_157575775_-.pickle,17.34,enhancing,"GM12878 ENCODE, biol_"
548,0.702,0.1975,../results/context_dependence_test_10/borzoi/ABR_chr17_1109100_-.pickle,7.855,enhancing,"GM12878 ENCODE, biol_"
3128,0.79,0.0821,../results/context_dependence_test_10/borzoi/CC2D2B_chr10_95907964_+.pickle,10.16,enhancing,"GM12878 ENCODE, biol_"
729,0.7227,0.0791,../results/context_dependence_test_10/borzoi/SMPDL3A_chr6_122789257_+.pickle,12.05,enhancing,"GM12878 ENCODE, biol_"
9903,0.7153,0.12286,../results/context_dependence_test_10/borzoi/POU2F2_chr19_42132446_-.pickle,13.08,enhancing,"GM12878 ENCODE, biol_"
3743,0.778,0.07886,../results/context_dependence_test_10/borzoi/MTMR10_chr15_30991628_-.pickle,17.44,enhancing,"GM12878 ENCODE, biol_"
2281,0.7427,0.1459,../results/context_dependence_test_10/borzoi/NT5E_chr6_85450082_+.pickle,13.43,enhancing,"GM12878 ENCODE, biol_"
7493,0.777,0.1279,../results/context_dependence_test_10/borzoi/CIZ1_chr9_128191572_-.pickle,6.24,enhancing,"GM12878 ENCODE, biol_"
4714,0.719,0.1134,../results/context_dependence_test_10/borzoi/RNF8_chr6_37353982_+.pickle,22.14,enhancing,"GM12878 ENCODE, biol_"
9731,0.8643,0.0927,../results/context_dependence_test_10/borzoi/PTDSS1_chr8_96261901_+.pickle,14.11,enhancing,"GM12878 ENCODE, biol_"
4227,0.7686,0.11835,../results/context_dependence_test_10/borzoi/CCPG1_chr15_55408306_-.pickle,24.16,enhancing,"GM12878 ENCODE, biol_"
1039,0.8066,0.1177,../results/context_dependence_test_10/borzoi/PCBD2_chr5_134905119_+.pickle,9.49,enhancing,"GM12878 ENCODE, biol_"
3391,0.7646,0.1233,../results/context_dependence_test_10/borzoi/SRD5A3_chr4_55346241_+.pickle,21.83,enhancing,"GM12878 ENCODE, biol_"
2883,0.799,0.1066,../results/context_dependence_test_10/borzoi/BBOF1_chr14_74019348_+.pickle,17.6,enhancing,"GM12878 ENCODE, biol_"
5799,0.8174,0.09644,../results/context_dependence_test_10/borzoi/EIF2AK4_chr15_39934145_+.pickle,18.42,enhancing,"GM12878 ENCODE, biol_"
4190,0.7407,0.07544,../results/context_dependence_test_10/borzoi/PHLDA3_chr1_201469188_-.pickle,7.8,enhancing,"GM12878 ENCODE, biol_"
4694,0.751,0.08,../results/context_dependence_test_10/borzoi/PLA1A_chr3_119597884_+.pickle,2.473,enhancing,"GM12878 ENCODE, biol_"
8876,0.7812,0.1254,../results/context_dependence_test_10/borzoi/ASCC1_chr10_72215992_-.pickle,36.66,enhancing,"GM12878 ENCODE, biol_"
8427,0.715,0.1064,../results/context_dependence_test_10/borzoi/HACD3_chr15_65530489_+.pickle,29.3,enhancing,"GM12878 ENCODE, biol_"
105,0.8115,0.094,../results/context_dependence_test_10/borzoi/FAM228B_chr2_24123468_+.pickle,6.047,enhancing,"GM12878 ENCODE, biol_"
11,0.859,0.0926,../results/context_dependence_test_10/borzoi/PHYH_chr10_13300064_-.pickle,9.83,enhancing,"GM12878 ENCODE, biol_"
2804,0.892,0.0581,../results/context_dependence_test_10/borzoi/DPY19L4_chr8_94719899_+.pickle,7.086,enhancing,"GM12878 ENCODE, biol_"
3219,0.716,0.11914,../results/context_dependence_test_10/borzoi/PIK3R3_chr1_46132616_-.pickle,7.74,enhancing,"GM12878 ENCODE, biol_"
3637,0.829,0.083,../results/context_dependence_test_10/borzoi/ZCWPW1_chr7_100428703_-.pickle,10.63,enhancing,"GM12878 ENCODE, biol_"
3341,0.7896,0.1696,../results/context_dependence_test_10/borzoi/NCR3_chr6_31592985_-.pickle,6.656,enhancing,"GM12878 ENCODE, biol_"
7238,0.8574,0.10626,../results/context_dependence_test_10/borzoi/MAP7D1_chr1_36156159_+.pickle,23.73,enhancing,"GM12878 ENCODE, biol_"
7427,0.7983,0.08716,../results/context_dependence_test_10/borzoi/HLTF_chr3_149086504_-.pickle,21.11,enhancing,"GM12878 ENCODE, biol_"
1108,0.7617,0.0821,../results/context_dependence_test_10/borzoi/TLCD3A_chr17_732545_+.pickle,9.51,enhancing,"GM12878 ENCODE, biol_"
9493,0.7134,0.1443,../results/context_dependence_test_10/borzoi/H2AC8_chr6_26216920_+.pickle,20.03,enhancing,"GM12878 ENCODE, biol_"
5164,0.738,0.1095,../results/context_dependence_test_10/borzoi/PTMS_chr12_6766143_+.pickle,1.791,enhancing,"GM12878 ENCODE, biol_"
5659,0.746,0.0892,../results/context_dependence_test_10/borzoi/HSPA4L_chr4_127782321_+.pickle,8.266,enhancing,"GM12878 ENCODE, biol_"
5422,0.801,0.1323,../results/context_dependence_test_10/borzoi/RAB11FIP1_chr8_37899467_-.pickle,13.69,enhancing,"GM12878 ENCODE, biol_"
8883,0.851,0.0548,../results/context_dependence_test_10/borzoi/SLAMF7_chr1_160739290_+.pickle,9.96,enhancing,"GM12878 ENCODE, biol_"
4495,0.827,0.09076,../results/context_dependence_test_10/borzoi/EXD2_chr14_69191497_+.pickle,14.09,enhancing,"GM12878 ENCODE, biol_"
39,0.813,0.05768,../results/context_dependence_test_10/borzoi/ANKLE1_chr19_17281876_+.pickle,1.596,enhancing,"GM12878 ENCODE, biol_"
5423,0.761,0.0867,../results/context_dependence_test_10/borzoi/VPS45_chr1_150067775_+.pickle,18.86,enhancing,"GM12878 ENCODE, biol_"
7432,0.702,0.1759,../results/context_dependence_test_10/borzoi/ITM2B_chr13_48233202_+.pickle,27.92,enhancing,"GM12878 ENCODE, biol_"
5582,0.707,0.1648,../results/context_dependence_test_10/borzoi/TMEM14A_chr6_52671112_+.pickle,19.52,enhancing,"GM12878 ENCODE, biol_"
5952,0.833,0.0947,../results/context_dependence_test_10/borzoi/DENND2D_chr1_111200646_-.pickle,10.914,enhancing,"GM12878 ENCODE, biol_"
1270,0.8467,0.1322,../results/context_dependence_test_10/borzoi/SERPINB9_chr6_2903309_-.pickle,10.02,enhancing,"GM12878 ENCODE, biol_"
1661,0.784,0.0786,../results/context_dependence_test_10/borzoi/FKBP7_chr2_178478499_-.pickle,17.19,enhancing,"GM12878 ENCODE, biol_"
3767,0.824,0.0837,../results/context_dependence_test_10/borzoi/MEPCE_chr7_100428816_+.pickle,11.055,enhancing,"GM12878 ENCODE, biol_"
7480,0.8594,0.07086,../results/context_dependence_test_10/borzoi/H2BC26_chr1_228458102_+.pickle,14.01,enhancing,"GM12878 ENCODE, biol_"
5395,0.7104,0.1613,../results/context_dependence_test_10/borzoi/GTF2H5_chr6_158168349_+.pickle,24.0,enhancing,"GM12878 ENCODE, biol_"
2650,0.8364,0.0587,../results/context_dependence_test_10/borzoi/RBM44_chr2_237798778_+.pickle,16.73,enhancing,"GM12878 ENCODE, biol_"
2128,0.715,0.1229,../results/context_dependence_test_10/borzoi/MCFD2_chr2_46941732_-.pickle,7.316,enhancing,"GM12878 ENCODE, biol_"
7807,0.8115,0.0829,../results/context_dependence_test_10/borzoi/PPP3CC_chr8_22441077_+.pickle,19.11,enhancing,"GM12878 ENCODE, biol_"
7985,0.7793,0.0839,../results/context_dependence_test_10/borzoi/SCD_chr10_100347232_+.pickle,24.25,enhancing,"GM12878 ENCODE, biol_"
6966,0.8237,0.1553,../results/context_dependence_test_10/borzoi/MOB3A_chr19_2096326_-.pickle,13.83,enhancing,"GM12878 ENCODE, biol_"
1058,0.839,0.0932,../results/context_dependence_test_10/borzoi/TYMP_chr22_50530032_-.pickle,9.664,enhancing,"GM12878 ENCODE, biol_"
4942,0.718,0.0975,../results/context_dependence_test_10/borzoi/ASL_chr7_66075846_+.pickle,16.08,enhancing,"GM12878 ENCODE, biol_"
887,0.8066,0.0969,../results/context_dependence_test_10/borzoi/ACP5_chr19_11578987_-.pickle,7.7,enhancing,"GM12878 ENCODE, biol_"
2247,0.7197,0.2177,../results/context_dependence_test_10/borzoi/PREX1_chr20_48827999_-.pickle,15.91,enhancing,"GM12878 ENCODE, biol_"
3874,0.7305,0.1548,../results/context_dependence_test_10/borzoi/DYNC2I1_chr7_158856557_+.pickle,12.664,enhancing,"GM12878 ENCODE, biol_"
1144,0.765,0.0691,../results/context_dependence_test_10/borzoi/KLHL42_chr12_27780232_+.pickle,8.08,enhancing,"GM12878 ENCODE, biol_"
7708,0.7827,0.1582,../results/context_dependence_test_10/borzoi/DLAT_chr11_112025425_+.pickle,20.47,enhancing,"GM12878 ENCODE, biol_"
