,Chromosome,Start,gene_name,gene_id,Strand,PC-3
39444,chr16,71626186,MARVELD3,ENSG00000140832.11,+,18.546875
20747,chr7,41703090,INHBA,ENSG00000122641.11,-,18.546875
1664,chr1,151047750,C1orf56,ENSG00000143443.10,+,18.5625
43746,chr17,78736890,CYTH1,ENSG00000108669.18,-,18.5625
6334,chr2,177212723,HNRNPA3,ENSG00000170144.22,+,18.5625
12461,chr4,74365144,EREG,ENSG00000124882.4,+,18.578125
1187,chr1,78649830,IFI44,ENSG00000137965.11,+,18.578125
29967,chr11,46918550,LRP4,ENSG00000134569.10,-,18.578125
10300,chr3,184561784,EPHB3,ENSG00000182580.3,+,18.578125
23910,chr9,75890643,PCSK5,ENSG00000099139.14,+,18.578125
31480,chr12,32399557,FGD4,ENSG00000139132.16,+,18.609375
8310,chr2,201451500,TRAK2,ENSG00000115993.13,-,18.625
46654,chr19,57240684,ZNF805,ENSG00000204524.7,+,18.625
22605,chr8,144148035,MROH1,ENSG00000179832.18,+,18.625
11233,chr3,114056526,CCDC191,ENSG00000163617.11,-,18.625
20402,chr7,150379329,ZNF775,ENSG00000196456.13,+,18.625
41292,chr17,39737937,GRB7,ENSG00000141738.14,+,18.640625
18984,chr6,143511720,FUCA2,ENSG00000001036.14,-,18.65625
1194,chr1,81800986,ADGRL2,ENSG00000117114.21,+,18.65625
52379,chrX,129982634,BCORL1,ENSG00000085185.16,+,18.65625
50133,chr21,26845409,ADAMTS1,ENSG00000154734.16,-,18.671875
50235,chr21,36966669,HLCS,ENSG00000159267.17,-,18.671875
20381,chr7,149239650,ZNF212,ENSG00000170260.9,+,18.671875
40878,chr17,7627968,SHBG,ENSG00000129214.15,+,18.671875
35337,chr14,67819828,RAD51B,ENSG00000182185.19,+,18.671875
20232,chr7,135148071,TMEM140,ENSG00000146859.6,+,18.6875
35545,chr14,85530143,FLRT2,ENSG00000185070.12,+,18.6875
22887,chr8,28386460,ZNF395,ENSG00000186918.14,-,18.6875
1624,chr1,150149915,PLEKHO1,ENSG00000023902.14,+,18.6875
16307,chr5,151224092,CCDC69,ENSG00000198624.13,-,18.6875
2951,chr1,6261098,GPR153,ENSG00000158292.7,-,18.703125
42651,chr17,17496395,RASD1,ENSG00000108551.5,-,18.703125
29209,chr11,118607642,PHLDB1,ENSG00000019144.20,+,18.703125
10919,chr3,50611772,CISH,ENSG00000114737.16,-,18.71875
16188,chr5,141682230,ARAP3,ENSG00000120318.16,-,18.71875
31701,chr12,53268298,ESPL1,ENSG00000135476.12,+,18.71875
49043,chr20,50731579,PARD6B,ENSG00000124171.9,+,18.734375
38222,chr15,88895597,HAPLN3,ENSG00000140511.12,-,18.734375
46716,chr19,57849859,ZNF587,ENSG00000198466.12,+,18.734375
25553,chr9,137028237,ABCA2,ENSG00000107331.18,-,18.75
24766,chr9,27529814,MOB3B,ENSG00000120162.10,-,18.78125
13604,chr4,88284631,PPM1K,ENSG00000163644.15,-,18.78125
39636,chr16,89575767,CPNE7,ENSG00000178773.15,+,18.78125
45080,chr19,7888509,LRRC8E,ENSG00000171017.11,+,18.796875
45227,chr19,11925067,ZNF700,ENSG00000196757.8,+,18.796875
13234,chr4,25862988,SEL1L3,ENSG00000091490.11,-,18.8125
53148,chrX,66639078,EDA2R,ENSG00000131080.15,-,18.8125
45929,chr19,40191425,MAP3K10,ENSG00000130758.8,+,18.8125
37249,chr15,75023589,PPCDC,ENSG00000138621.12,+,18.8125
16437,chr5,177311898,MXD3,ENSG00000213347.11,-,18.828125
2275,chr1,185157079,SWT1,ENSG00000116668.13,+,18.828125
46450,chr19,52527667,ZNF808,ENSG00000198482.14,+,18.828125
11815,chr3,185254048,EHHADH,ENSG00000113790.11,-,18.828125
29724,chr11,11353250,CSNK2A3,ENSG00000254598.3,-,18.828125
26410,chr10,102918316,CNNM2,ENSG00000148842.18,+,18.84375
48227,chr19,52962823,ZNF816-ZNF321P,ENSG00000221874.4,-,18.84375
13511,chr4,83334782,HPSE,ENSG00000173083.16,-,18.84375
2462,chr1,207053274,PFKFB2,ENSG00000123836.15,+,18.859375
16470,chr5,178232802,PHYKPL,ENSG00000175309.15,-,18.859375
35358,chr14,69879415,SMOC1,ENSG00000198732.11,+,18.859375
51021,chr22,20437826,SCARF2,ENSG00000244486.9,-,18.859375
27468,chr10,121598444,FGFR2,ENSG00000066468.24,-,18.859375
46117,chr19,44777868,CBLC,ENSG00000142273.13,+,18.890625
30349,chr11,66593063,CCDC87,ENSG00000182791.5,-,18.890625
10778,chr3,48556803,PFKFB4,ENSG00000114268.12,-,18.890625
26096,chr10,80132729,PLAC9,ENSG00000189129.14,+,18.890625
17026,chr6,33420064,SYNGAP1,ENSG00000197283.18,+,18.90625
39233,chr16,58249935,CCDC113,ENSG00000103021.10,+,18.9375
13784,chr4,120922726,PRDM5,ENSG00000138738.11,-,18.9375
21909,chr8,27633867,SCARA3,ENSG00000168077.14,+,18.953125
53396,chrX,118116798,KLHL13,ENSG00000003096.15,-,18.953125
39874,chr16,4767162,ZNF500,ENSG00000103199.14,-,18.953125
25723,chr10,19816431,PLXDC2,ENSG00000120594.17,+,18.953125
39041,chr16,30985206,HSD3B7,ENSG00000099377.14,+,18.96875
53831,chrY,21918032,RBMY1E,ENSG00000242389.9,-,18.96875
49187,chr20,62952706,SLC17A9,ENSG00000101194.18,+,18.984375
13227,chr4,24913042,CCDC149,ENSG00000181982.20,-,18.984375
14791,chr5,132410910,ENSG00000283782,ENSG00000283782.2,+,18.984375
15043,chr5,145936577,SH3RF2,ENSG00000156463.18,+,18.984375
32236,chr12,106774670,RIC8B,ENSG00000111785.21,+,19.0
29723,chr11,11622005,GALNT18,ENSG00000110328.6,-,19.0
7738,chr2,97995948,TMEM131,ENSG00000075568.17,-,19.0
18592,chr6,79947553,ELOVL4,ENSG00000118402.6,-,19.0
12874,chr4,153222479,TRIM2,ENSG00000109654.16,+,19.0
7215,chr2,27495200,FNDC4,ENSG00000115226.10,-,19.015625
46727,chr19,58183426,ZNF274,ENSG00000171606.18,+,19.015625
43537,chr17,64919468,LRRC37A3,ENSG00000176809.11,-,19.015625
46441,chr19,52369938,ZNF880,ENSG00000221923.9,+,19.015625
18704,chr6,99394195,COQ3,ENSG00000132423.12,-,19.015625
5968,chr2,112275596,ZC3H6,ENSG00000188177.15,+,19.03125
1644,chr1,150549368,ADAMTSL4,ENSG00000143382.16,+,19.03125
11962,chr3,197949925,IQCG,ENSG00000114473.14,-,19.03125
14026,chr4,170090221,AADAT,ENSG00000109576.14,-,19.03125
47835,chr19,43780973,KCNN4,ENSG00000104783.15,-,19.03125
25223,chr9,113012192,ZNF883,ENSG00000228623.9,-,19.046875
41160,chr17,32007382,LRRC37B,ENSG00000185158.13,+,19.046875
24989,chr9,83063142,RASEF,ENSG00000165105.10,-,19.046875
50192,chr21,32727921,SYNJ1,ENSG00000159082.18,-,19.046875
21847,chr8,22579149,PDLIM2,ENSG00000120913.24,+,19.046875
13131,chr4,5708559,EVC2,ENSG00000173040.13,-,19.0625
10163,chr3,167735720,SERPINI1,ENSG00000163536.13,+,19.078125
710,chr1,37556939,DNALI1,ENSG00000163879.11,+,19.078125
16667,chr6,18387349,RNF144B,ENSG00000137393.10,+,19.09375
50274,chr21,41879344,PRDM15,ENSG00000141956.14,-,19.09375
5303,chr2,27078614,EMILIN1,ENSG00000138080.14,+,19.09375
40537,chr16,80804598,CDYL2,ENSG00000166446.15,-,19.109375
41254,chr17,38351843,SOCS7,ENSG00000274211.6,+,19.109375
32474,chr12,122975243,OGFOD2,ENSG00000111325.16,+,19.109375
16782,chr6,28349949,ZKSCAN3,ENSG00000189298.14,+,19.109375
47975,chr19,48255886,CARD8,ENSG00000105483.18,-,19.125
5724,chr2,74654279,SEMA4F,ENSG00000135622.13,+,19.125
28415,chr11,62771395,TAF6L,ENSG00000162227.8,+,19.125
30189,chr11,62754184,ZBTB3,ENSG00000185670.9,-,19.140625
7259,chr2,38076151,CYP1B1,ENSG00000138061.12,-,19.140625
45292,chr19,14031761,IL27RA,ENSG00000104998.4,+,19.140625
5805,chr2,95207520,ZNF892,ENSG00000233757.7,+,19.140625
47704,chr19,40425992,SERTAD1,ENSG00000197019.5,-,19.140625
9391,chr3,52410659,PHF7,ENSG00000010318.22,+,19.140625
3921,chr1,109041986,WDR47,ENSG00000085433.17,-,19.140625
51057,chr22,23751112,ZNF70,ENSG00000187792.5,-,19.15625
44776,chr19,676391,FSTL3,ENSG00000070404.10,+,19.15625
27033,chr10,67838096,DNAJC12,ENSG00000108176.15,-,19.15625
35951,chr14,23010166,C14orf93,ENSG00000100802.15,-,19.171875
51621,chrX,18425607,CDKL5,ENSG00000008086.13,+,19.171875
47272,chr19,14690027,ADGRE3,ENSG00000131355.15,-,19.171875
35213,chr14,56118410,PELI2,ENSG00000139946.11,+,19.1875
17671,chr6,138161938,ARFGEF3,ENSG00000112379.9,+,19.1875
16734,chr6,26402236,BTN3A1,ENSG00000026950.17,+,19.203125
10699,chr3,45226287,TMEM158,ENSG00000249992.2,-,19.203125
23625,chr8,144901453,ZNF250,ENSG00000196150.14,-,19.203125
2568,chr1,220690362,C1orf115,ENSG00000162817.7,+,19.203125
46861,chr19,2944971,ZNF77,ENSG00000175691.9,-,19.203125
5228,chr2,14632716,LRATD1,ENSG00000162981.14,+,19.21875
13607,chr4,88697829,NAP1L5,ENSG00000177432.8,-,19.21875
35850,chr14,20305951,TTC5,ENSG00000136319.12,-,19.21875
46458,chr19,53333748,ZNF845,ENSG00000213799.13,+,19.21875
9368,chr3,51942362,PARP3,ENSG00000041880.15,+,19.234375
45127,chr19,9324251,ZNF559,ENSG00000188321.14,+,19.234375
45564,chr19,29665458,PLEKHF1,ENSG00000166289.6,+,19.234375
48256,chr19,53254831,ZNF677,ENSG00000197928.11,-,19.234375
23688,chr9,4985271,JAK2,ENSG00000096968.14,+,19.25
25989,chr10,69801905,COL13A1,ENSG00000197467.17,+,19.25
1299,chr1,99646112,PALMD,ENSG00000099260.12,+,19.25
15123,chr5,151020605,GPX3,ENSG00000211445.13,+,19.25
32942,chr12,29783942,TMTC1,ENSG00000133687.16,-,19.265625
13237,chr4,36244514,ARAP2,ENSG00000047365.13,-,19.265625
34292,chr13,99606689,CLYBL,ENSG00000125246.16,+,19.265625
15348,chr5,177086913,FGFR4,ENSG00000160867.15,+,19.265625
19097,chr6,162727764,PRKN,ENSG00000185345.25,-,19.28125
23164,chr8,81112068,PAG1,ENSG00000076641.4,-,19.28125
43658,chr17,75515537,CASKIN2,ENSG00000177303.10,-,19.28125
6787,chr2,230327183,SP140L,ENSG00000185404.17,+,19.296875
5827,chr2,96816267,CNNM3,ENSG00000168763.16,+,19.296875
5821,chr2,96536751,ARID5A,ENSG00000196843.17,+,19.296875
22278,chr8,85464006,CA2,ENSG00000104267.10,+,19.296875
4284,chr1,153946718,DENND4B,ENSG00000198837.10,-,19.296875
4405,chr1,156705583,CRABP2,ENSG00000143320.9,-,19.3125
4656,chr1,179143076,ABL2,ENSG00000143322.22,-,19.3125
53081,chrX,54496234,FGD1,ENSG00000102302.8,-,19.328125
17241,chr6,46129988,ENPP4,ENSG00000001561.7,+,19.328125
11443,chr3,134029925,SLCO2A1,ENSG00000174640.15,-,19.328125
483,chr1,26111836,PDIK1L,ENSG00000175087.10,+,19.328125
9322,chr3,50155090,SEMA3F,ENSG00000001617.12,+,19.34375
45344,chr19,16324825,KLF2,ENSG00000127528.6,+,19.34375
8878,chr3,12484496,TSEN2,ENSG00000154743.19,+,19.34375
33660,chr12,104958290,SLC41A2,ENSG00000136052.10,-,19.359375
46672,chr19,57435324,ZNF749,ENSG00000186230.7,+,19.359375
25783,chr10,30434183,MAP3K8,ENSG00000107968.10,+,19.359375
22560,chr8,143291421,ZNF696,ENSG00000185730.8,+,19.375
15768,chr5,77087285,ZBED3,ENSG00000132846.6,-,19.375
12913,chr4,155759020,GUCY1B1,ENSG00000061918.14,+,19.375
4265,chr1,153545806,S100A4,ENSG00000196154.12,-,19.375
43624,chr17,74972759,HID1,ENSG00000167861.16,-,19.390625
10982,chr3,53046073,SFMBT1,ENSG00000163935.14,-,19.40625
25842,chr10,43606425,ZNF485,ENSG00000198298.13,+,19.40625
19327,chr7,23680129,FAM221A,ENSG00000188732.11,+,19.40625
37189,chr15,72118402,SENP8,ENSG00000166192.15,+,19.40625
17973,chr6,13487662,GFOD1,ENSG00000145990.11,-,19.40625
47721,chr19,41363930,B9D2,ENSG00000123810.9,-,19.421875
44874,chr19,1491180,REEP6,ENSG00000115255.12,+,19.421875
43222,chr17,45490754,PLEKHM1,ENSG00000225190.12,-,19.421875
52171,chrX,101485455,ARMCX4,ENSG00000196440.12,+,19.421875
19430,chr7,33129549,BBS9,ENSG00000122507.21,+,19.4375
39842,chr16,3611606,SLX4,ENSG00000188827.12,-,19.4375
33350,chr12,57006546,ZBTB39,ENSG00000166860.3,-,19.453125
16269,chr5,150155845,PDGFRB,ENSG00000113721.14,-,19.453125
29198,chr11,118531087,TMEM25,ENSG00000149582.16,+,19.453125
38248,chr15,89912882,ARPIN-AP3S2,ENSG00000250021.7,-,19.46875
47108,chr19,10587312,AP1M2,ENSG00000129354.12,-,19.46875
40472,chr16,71884190,ZNF821,ENSG00000102984.15,-,19.46875
15521,chr5,33891990,ADAMTS12,ENSG00000151388.11,-,19.46875
14093,chr4,185535507,PDLIM3,ENSG00000154553.17,-,19.46875
47573,chr19,36528268,ZNF260,ENSG00000254004.7,-,19.46875
3654,chr1,54764523,PARS2,ENSG00000162396.6,-,19.484375
57,chr1,2586797,PRXL2B,ENSG00000157870.17,+,19.484375
48996,chr20,45833830,SNX21,ENSG00000124104.19,+,19.484375
33078,chr12,48789037,ADCY6,ENSG00000174233.12,-,19.484375
25552,chr9,136996568,CLIC3,ENSG00000169583.13,-,19.484375
30408,chr11,68751467,TESMIN,ENSG00000132749.11,-,19.5
48401,chr19,57578911,ZNF416,ENSG00000083817.9,-,19.5
3236,chr1,26960468,KDF1,ENSG00000175707.10,-,19.5
5704,chr2,74421729,WDR54,ENSG00000005448.17,+,19.515625
40995,chr17,18260596,MIEF2,ENSG00000177427.13,+,19.515625
14813,chr5,134525656,JADE2,ENSG00000043143.22,+,19.515625
21362,chr7,122886458,CADPS2,ENSG00000081803.17,-,19.515625
24687,chr9,14693432,ZDHHC21,ENSG00000175893.12,-,19.515625
46657,chr19,57320471,ZNF543,ENSG00000178229.8,+,19.515625
26395,chr10,102461412,MFSD13A,ENSG00000138111.14,+,19.515625
49483,chr20,34872856,GGT7,ENSG00000131067.17,-,19.515625
17075,chr6,36130512,MAPK13,ENSG00000156711.17,+,19.53125
47577,chr19,36666837,ZNF461,ENSG00000197808.14,-,19.53125
6121,chr2,137964472,HNMT,ENSG00000150540.14,+,19.53125
28785,chr11,72814410,ATG16L2,ENSG00000168010.11,+,19.53125
1545,chr1,145607987,GPR89A,ENSG00000117262.19,+,19.546875
16156,chr5,140564598,APBB3,ENSG00000113108.20,-,19.546875
28993,chr11,94973708,KDM4D,ENSG00000186280.7,+,19.546875
651,chr1,32539426,ZBTB8A,ENSG00000160062.15,+,19.546875
39850,chr16,4273023,TFAP4,ENSG00000090447.12,-,19.5625
3945,chr1,110391082,SLC16A4,ENSG00000168679.18,-,19.5625
39679,chr16,72631,RHBDF1,ENSG00000007384.15,-,19.5625
32823,chr12,14567883,PLBD1,ENSG00000121316.11,-,19.5625
26580,chr10,122980479,PSTK,ENSG00000179988.15,+,19.578125
20982,chr7,81770047,HGF,ENSG00000019991.18,-,19.578125
35653,chr14,96039361,C14orf132,ENSG00000227051.7,+,19.578125
46992,chr19,6767435,SH2D3A,ENSG00000125731.13,-,19.578125
5419,chr2,37344629,QPCT,ENSG00000115828.17,+,19.59375
4755,chr1,201399548,LAD1,ENSG00000159166.15,-,19.59375
39040,chr16,30957970,SETD1A,ENSG00000099381.20,+,19.59375
48639,chr20,18288510,ZNF133,ENSG00000125846.17,+,19.609375
42640,chr17,16653850,ZNF624,ENSG00000197566.10,-,19.609375
9388,chr3,52287834,GLYCTK,ENSG00000168237.18,+,19.609375
16478,chr5,178730659,ZNF354A,ENSG00000169131.13,-,19.625
25846,chr10,44959801,RASSF4,ENSG00000107551.21,+,19.625
22408,chr8,106657853,OXR1,ENSG00000164830.19,+,19.640625
19193,chr7,2519773,LFNG,ENSG00000106003.14,+,19.640625
50990,chr22,19291685,CLTCL1,ENSG00000070371.16,-,19.640625
20939,chr7,75738941,HIP1,ENSG00000127946.17,-,19.640625
44053,chr18,23873019,LAMA3,ENSG00000053747.17,+,19.640625
24080,chr9,100427276,MSANTD3,ENSG00000066697.15,+,19.65625
601,chr1,29236548,PTPRU,ENSG00000060656.20,+,19.65625
41259,chr17,38453689,ARHGAP23,ENSG00000275832.5,+,19.65625
8025,chr2,160062610,PLA2R1,ENSG00000153246.13,-,19.65625
48212,chr19,52786791,ZNF600,ENSG00000189190.11,-,19.671875
45235,chr19,11987640,ENSG00000286098,ENSG00000286098.1,+,19.671875
19110,chr6,166627251,RPS6KA2,ENSG00000071242.12,-,19.671875
38079,chr15,74956772,RPP25,ENSG00000178718.7,-,19.6875
12092,chr4,6674074,ENSG00000170846,ENSG00000170846.17,+,19.6875
35294,chr14,64540740,HSPA2,ENSG00000126803.10,+,19.6875
34938,chr14,23988887,DHRS4L2,ENSG00000187630.18,+,19.703125
42041,chr17,77958702,TNRC6C,ENSG00000078687.18,+,19.703125
18121,chr6,31158201,CCHCR1,ENSG00000204536.15,-,19.703125
25111,chr9,96619843,CDC14B,ENSG00000081377.17,-,19.71875
35179,chr14,52314311,PTGER2,ENSG00000125384.7,+,19.71875
47650,chr19,38930758,SARS2,ENSG00000104835.15,-,19.71875
4212,chr1,151459179,POGZ,ENSG00000143442.24,-,19.71875
17310,chr6,63211445,FKBP1C,ENSG00000198225.5,+,19.71875
32205,chr12,104064530,HCFC2,ENSG00000111727.12,+,19.71875
