,Chromosome,Start,gene_name,gene_id,Strand,"K562 ENCODE, biol_"
51291,chr22,38700667,JOSD1,ENSG00000100221.11,-,21.1875
7943,chr2,150487667,RND3,ENSG00000115963.14,-,21.1875
52272,chrX,109537117,NXT2,ENSG00000101888.12,+,21.1875
33247,chr12,54391281,ZNF385A,ENSG00000161642.18,-,21.1875
42679,chr17,18682314,FOXO3B,ENSG00000240445.6,-,21.203125
10080,chr3,152835130,P2RY1,ENSG00000169860.7,+,21.203125
8022,chr2,159904710,LY75-CD302,ENSG00000248672.5,-,21.203125
44454,chr18,26548553,KCTD1,ENSG00000134504.14,-,21.203125
13470,chr4,81471904,RASGEF1B,ENSG00000138670.19,-,21.21875
10847,chr3,49422469,AMT,ENSG00000145020.16,-,21.21875
41157,chr17,31487999,RAB11FIP4,ENSG00000131242.18,+,21.21875
44290,chr18,62715540,PHLPP1,ENSG00000081913.14,+,21.21875
11782,chr3,183162734,LAMP3,ENSG00000078081.8,-,21.21875
17688,chr6,142302006,ADGRG6,ENSG00000112414.15,+,21.234375
11495,chr3,139539636,RBP1,ENSG00000114115.10,-,21.234375
13861,chr4,140154184,MAML3,ENSG00000196782.13,-,21.234375
49823,chr21,17513042,CXADR,ENSG00000154639.19,+,21.25
24206,chr9,122159907,MORN5,ENSG00000185681.13,+,21.25
49785,chr20,63499083,EEF1A2,ENSG00000101210.14,-,21.265625
29407,chr11,134331987,GLB1L2,ENSG00000149328.16,+,21.265625
51600,chrX,15738269,CA5B,ENSG00000169239.14,+,21.265625
9980,chr3,138348665,MRAS,ENSG00000158186.13,+,21.265625
18514,chr6,56843647,DST,ENSG00000151914.22,-,21.28125
45757,chr19,35902528,HCST,ENSG00000126264.10,+,21.28125
28990,chr11,94543920,FUT4,ENSG00000196371.4,+,21.28125
11862,chr3,192917856,MB21D2,ENSG00000180611.7,-,21.296875
26632,chr10,132397199,PWWP2B,ENSG00000171813.14,+,21.3125
20517,chr7,2555524,BRAT1,ENSG00000106009.16,-,21.3125
17705,chr6,144150516,STX11,ENSG00000135604.11,+,21.3125
29268,chr11,121452313,SORL1,ENSG00000137642.13,+,21.3125
22464,chr8,124450819,TRMT12,ENSG00000183665.5,+,21.328125
16409,chr5,175968315,THOC3,ENSG00000051596.10,-,21.34375
47854,chr19,44448472,ZNF229,ENSG00000278318.5,-,21.34375
23971,chr9,87497866,DAPK1,ENSG00000196730.13,+,21.359375
45795,chr19,36850875,ZNF345,ENSG00000251247.13,+,21.375
48924,chr20,43914851,TOX2,ENSG00000124191.18,+,21.375
8433,chr2,215436068,FN1,ENSG00000115414.21,-,21.375
28348,chr11,60924480,TMEM132A,ENSG00000006118.15,+,21.390625
47603,chr19,37655465,ZFP30,ENSG00000120784.17,-,21.40625
25841,chr10,43437110,ZNF487,ENSG00000243660.12,+,21.40625
11561,chr3,149377649,TM4SF1,ENSG00000169908.12,-,21.421875
11607,chr3,155806272,C3orf33,ENSG00000174928.16,-,21.421875
4113,chr1,147670524,ACP6,ENSG00000162836.12,-,21.421875
3171,chr1,23484179,ASAP3,ENSG00000088280.20,-,21.421875
52903,chrX,40097979,BCOR,ENSG00000183337.18,-,21.4375
53123,chrX,63755113,ARHGEF9,ENSG00000131089.17,-,21.453125
8615,chr2,236507476,IQCA1,ENSG00000132321.17,-,21.453125
37273,chr15,76336772,ISL2,ENSG00000159556.10,+,21.46875
43547,chr17,66192133,CEP112,ENSG00000154240.18,-,21.46875
33495,chr12,76878985,CSRP2,ENSG00000175183.10,-,21.46875
14600,chr5,93583221,NR2F1,ENSG00000175745.15,+,21.46875
29019,chr11,102110460,YAP1,ENSG00000137693.14,+,21.484375
34643,chr13,51804162,DHRS12,ENSG00000102796.12,-,21.5
34562,chr13,41194569,KBTBD7,ENSG00000120696.9,-,21.515625
42624,chr17,15651653,ENSG00000251537,ENSG00000251537.4,-,21.515625
52887,chrX,38220924,SRPX,ENSG00000101955.15,-,21.515625
3071,chr1,16237183,CPLANE2,ENSG00000132881.12,-,21.515625
9194,chr3,44712645,ZNF502,ENSG00000196653.12,+,21.5625
53522,chrX,135344109,ZNF75D,ENSG00000186376.15,-,21.5625
43746,chr17,78736890,CYTH1,ENSG00000108669.18,-,21.578125
39415,chr16,70114331,PDPR,ENSG00000090857.14,+,21.578125
22887,chr8,28386460,ZNF395,ENSG00000186918.14,-,21.609375
53504,chrX,133415489,GPC4,ENSG00000076716.9,-,21.625
16188,chr5,141682230,ARAP3,ENSG00000120318.16,-,21.625
33212,chr12,53499458,MAP3K12,ENSG00000139625.13,-,21.625
25474,chr9,133163895,GBGT1,ENSG00000148288.13,-,21.640625
48441,chr19,58381022,ZNF837,ENSG00000152475.7,-,21.65625
19932,chr7,100602362,PCOLCE,ENSG00000106333.13,+,21.65625
46163,chr19,45467995,FOSB,ENSG00000125740.15,+,21.671875
6519,chr2,201260535,CASP8,ENSG00000064012.24,+,21.6875
13030,chr4,185209597,SNX25,ENSG00000109762.17,+,21.6875
276,chr1,15153746,TMEM51,ENSG00000171729.14,+,21.6875
46304,chr19,49474235,FLT3LG,ENSG00000090554.13,+,21.703125
28676,chr11,67303477,SSH3,ENSG00000172830.13,+,21.703125
5851,chr2,99141749,C2orf15,ENSG00000273045.7,+,21.71875
10108,chr3,156826299,LEKR1,ENSG00000197980.14,+,21.71875
50357,chr22,17369459,CECR2,ENSG00000099954.19,+,21.71875
26895,chr10,37857636,ZNF248,ENSG00000198105.16,-,21.71875
36809,chr15,40844047,SPINT1,ENSG00000166145.15,+,21.71875
7170,chr2,25982497,KIF3C,ENSG00000084731.15,-,21.734375
49308,chr20,2508907,ENSG00000256566,ENSG00000256566.1,-,21.734375
9042,chr3,37861879,CTDSPL,ENSG00000144677.15,+,21.734375
8023,chr2,159904756,LY75,ENSG00000054219.11,-,21.75
46077,chr19,44025353,ENSG00000267022,ENSG00000267022.1,+,21.75
47607,chr19,37719761,ZNF607,ENSG00000198182.13,-,21.765625
49458,chr20,32483471,NOL4L,ENSG00000197183.15,-,21.78125
53214,chrX,72714306,PHKA1,ENSG00000067177.15,-,21.8125
19019,chr6,149864359,LRP11,ENSG00000120256.11,-,21.8125
12601,chr4,99816826,DAPP1,ENSG00000070190.13,+,21.828125
48040,chr19,49362441,TEAD2,ENSG00000074219.14,-,21.828125
10235,chr3,183253252,B3GNT5,ENSG00000176597.12,+,21.84375
23674,chr9,2621786,VLDLR,ENSG00000147852.17,+,21.84375
30830,chr11,112164094,IL18,ENSG00000150782.12,-,21.859375
23287,chr8,100145817,FBXO43,ENSG00000156509.14,-,21.890625
26075,chr10,75431623,LRMDA,ENSG00000148655.16,+,21.921875
16154,chr5,140346603,HBEGF,ENSG00000113070.8,-,21.9375
3613,chr1,52921726,ECHDC2,ENSG00000121310.17,-,21.9375
19327,chr7,23680129,FAM221A,ENSG00000188732.11,+,21.9375
43369,chr17,57955412,CUEDC1,ENSG00000180891.13,-,21.953125
42499,chr17,7930622,ENSG00000262730,ENSG00000262730.1,-,21.953125
18813,chr6,116254075,TSPYL4,ENSG00000187189.11,-,21.953125
33960,chr12,132956306,ZNF605,ENSG00000196458.11,-,21.953125
12057,chr4,3293020,RGS12,ENSG00000159788.20,+,21.96875
10919,chr3,50611772,CISH,ENSG00000114737.16,-,21.96875
48222,chr19,52857649,ZNF468,ENSG00000204604.13,-,21.96875
7840,chr2,121285202,TFCP2L1,ENSG00000115112.8,-,21.984375
26652,chr10,133379261,PAOX,ENSG00000148832.16,+,21.984375
51138,chr22,30387411,RNF215,ENSG00000099999.15,-,21.984375
36442,chr14,81436459,STON2,ENSG00000140022.14,-,21.984375
51427,chr22,50261683,MAPK12,ENSG00000188130.14,-,21.984375
8798,chr3,9917115,IL17RC,ENSG00000163702.21,+,21.984375
45953,chr19,40601368,LTBP4,ENSG00000090006.18,+,22.0
52741,chrX,11427773,ARHGAP6,ENSG00000047648.23,-,22.015625
26038,chr10,73772290,FUT11,ENSG00000196968.11,+,22.03125
43265,chr17,47841173,SCRN2,ENSG00000141295.14,-,22.046875
25846,chr10,44959801,RASSF4,ENSG00000107551.21,+,22.046875
40491,chr16,74700790,MLKL,ENSG00000168404.13,-,22.046875
30875,chr11,117316259,BACE1,ENSG00000186318.18,-,22.046875
29955,chr11,46121010,PHF21A,ENSG00000135365.17,-,22.046875
51381,chr22,43089391,TTLL1,ENSG00000100271.17,-,22.0625
13626,chr4,89837168,SNCA,ENSG00000145335.17,-,22.0625
6426,chr2,190343569,INPP1,ENSG00000151689.13,+,22.0625
2303,chr1,196652044,CFH,ENSG00000000971.17,+,22.078125
2428,chr1,205504668,CDK18,ENSG00000117266.16,+,22.078125
36041,chr14,25050064,STXBP6,ENSG00000168952.16,-,22.078125
49699,chr20,53593839,ZNF217,ENSG00000171940.14,-,22.109375
24321,chr9,128203414,DNM1,ENSG00000106976.22,+,22.109375
13500,chr4,83114729,PLAC8,ENSG00000145287.11,-,22.125
52,chr1,2556370,TNFRSF14,ENSG00000157873.18,+,22.125
27052,chr10,70132825,AIFM2,ENSG00000042286.15,-,22.125
33682,chr12,108633894,SELPLG,ENSG00000110876.10,-,22.125
42172,chr17,82229041,SLC16A3,ENSG00000141526.18,+,22.15625
25122,chr9,97039139,CTSV,ENSG00000136943.12,-,22.15625
14038,chr4,174522499,HPGD,ENSG00000164120.14,-,22.171875
23846,chr9,37753816,TRMT10B,ENSG00000165275.10,+,22.171875
5175,chr2,6865726,RSAD2,ENSG00000134321.13,+,22.171875
2697,chr1,232805415,MAP10,ENSG00000212916.6,+,22.1875
44732,chr18,77132783,MBP,ENSG00000197971.16,-,22.203125
39168,chr16,56658011,MT1F,ENSG00000198417.7,+,22.21875
6382,chr2,183078746,DUSP19,ENSG00000162999.13,+,22.234375
48912,chr20,43514525,L3MBTL1,ENSG00000185513.18,+,22.234375
10520,chr3,15797979,ANKRD28,ENSG00000206560.12,-,22.234375
48778,chr20,33731995,ZNF341,ENSG00000131061.15,+,22.25
18297,chr6,36442854,PXT1,ENSG00000179165.12,-,22.265625
29250,chr11,120325295,TLCD5,ENSG00000181264.9,+,22.28125
22638,chr8,144518004,LRRC14,ENSG00000160959.8,+,22.28125
20175,chr7,129144706,TSPAN33,ENSG00000158457.6,+,22.28125
37608,chr15,39782841,FSIP1,ENSG00000150667.8,-,22.28125
27063,chr10,70382626,LRRC20,ENSG00000172731.15,-,22.296875
39636,chr16,89575767,CPNE7,ENSG00000178773.15,+,22.3125
37467,chr15,92900323,CHD2,ENSG00000173575.24,+,22.3125
32803,chr12,12350242,MANSC1,ENSG00000111261.14,-,22.328125
3704,chr1,67054148,SLC35D1,ENSG00000116704.8,-,22.328125
26897,chr10,37976647,ZNF25,ENSG00000175395.16,-,22.359375
21657,chr8,232455,ZNF596,ENSG00000172748.14,+,22.359375
22701,chr8,11201339,XKR6,ENSG00000171044.11,-,22.359375
4818,chr1,205211566,DSTYK,ENSG00000133059.18,-,22.375
12812,chr4,145481852,SMAD1,ENSG00000170365.10,+,22.375
52429,chrX,135893715,SAGE1,ENSG00000181433.12,+,22.390625
11126,chr3,79019459,ROBO1,ENSG00000169855.21,-,22.390625
750,chr1,40450106,ZFP69B,ENSG00000187801.15,+,22.40625
3394,chr1,36450451,OSCP1,ENSG00000116885.18,-,22.40625
14251,chr5,38846011,OSMR,ENSG00000145623.13,+,22.40625
3969,chr1,111739395,INKA2,ENSG00000197852.12,-,22.40625
51253,chr22,37486384,MFNG,ENSG00000100060.18,-,22.4375
44450,chr18,25352155,ZNF521,ENSG00000198795.11,-,22.4375
23719,chr9,15553042,CCDC171,ENSG00000164989.17,+,22.453125
29972,chr11,47186434,PACSIN3,ENSG00000165912.16,-,22.46875
35946,chr14,22982551,AJUBA,ENSG00000129474.17,-,22.46875
3027,chr1,11803514,MTHFR,ENSG00000177000.13,-,22.484375
31339,chr12,14803669,C12orf60,ENSG00000182993.5,+,22.484375
27224,chr10,95561392,SORBS1,ENSG00000095637.23,-,22.515625
2462,chr1,207053274,PFKFB2,ENSG00000123836.15,+,22.515625
47496,chr19,33064888,RHPN2,ENSG00000131941.8,-,22.515625
41094,chr17,27631187,LGALS9,ENSG00000168961.17,+,22.546875
37874,chr15,59372871,MYO1E,ENSG00000157483.9,-,22.59375
43362,chr17,56833920,C17orf67,ENSG00000214226.9,-,22.59375
22183,chr8,66775180,SGK3,ENSG00000104205.16,+,22.609375
17591,chr6,125749631,HEY2,ENSG00000135547.9,+,22.65625
18975,chr6,139374648,CITED2,ENSG00000164442.11,-,22.671875
1666,chr1,151070760,GABPB2,ENSG00000143458.12,+,22.671875
47568,chr19,36379201,ZFP14,ENSG00000142065.14,-,22.6875
12735,chr4,122826830,FGF2,ENSG00000138685.18,+,22.703125
15894,chr5,100903214,ST8SIA4,ENSG00000113532.13,-,22.734375
50610,chr22,30635780,SLC35E4,ENSG00000100036.13,+,22.75
36271,chr14,64879907,SPTB,ENSG00000070182.21,-,22.765625
1419,chr1,109910848,CSF1,ENSG00000184371.14,+,22.796875
36707,chr15,30903903,FAN1,ENSG00000198690.10,+,22.8125
1664,chr1,151047750,C1orf56,ENSG00000143443.10,+,22.8125
1642,chr1,150508106,ECM1,ENSG00000143369.15,+,22.8125
24606,chr9,137605685,ARRDC1,ENSG00000197070.14,+,22.828125
48186,chr19,52048838,ZNF432,ENSG00000256087.7,-,22.84375
24513,chr9,135479781,PPP1R26,ENSG00000196422.11,+,22.84375
9296,chr3,49199509,IHO1,ENSG00000173421.17,+,22.859375
7160,chr2,25252311,DNMT3A,ENSG00000119772.19,-,22.875
44142,chr18,35581739,GALNT1,ENSG00000141429.14,+,22.890625
13131,chr4,5708559,EVC2,ENSG00000173040.13,-,22.890625
3836,chr1,93681837,BCAR3,ENSG00000137936.18,-,22.890625
25186,chr9,109498307,PTPN3,ENSG00000070159.14,-,22.921875
39547,chr16,83953239,OSGIN1,ENSG00000140961.14,+,22.921875
24080,chr9,100427276,MSANTD3,ENSG00000066697.15,+,22.9375
26223,chr10,89392545,IFIT1,ENSG00000185745.10,+,22.953125
43055,chr17,42112714,DHX58,ENSG00000108771.13,-,22.953125
44780,chr19,708934,PALM,ENSG00000099864.18,+,22.96875
17241,chr6,46129988,ENPP4,ENSG00000001561.7,+,22.984375
20940,chr7,75738941,HIP1,ENSG00000127946.17,-,23.0
48371,chr19,56393520,ZNF582,ENSG00000018869.18,-,23.0
3421,chr1,37931749,INPP5B,ENSG00000204084.14,-,23.0
17799,chr6,157981862,SYNJ2,ENSG00000078269.15,+,23.0
44152,chr18,36187496,MOCOS,ENSG00000075643.6,+,23.015625
14110,chr4,186723856,FAT1,ENSG00000083857.15,-,23.03125
8609,chr2,234497053,ARL4C,ENSG00000188042.8,-,23.03125
42736,chr17,28406201,SLC46A1,ENSG00000076351.13,-,23.046875
52701,chrX,2929339,ARSD,ENSG00000006756.16,-,23.046875
31308,chr12,10505889,EIF2S3B,ENSG00000180574.4,+,23.0625
12739,chr4,123396800,SPRY1,ENSG00000164056.11,+,23.0625
45000,chr19,5720636,CATSPERD,ENSG00000174898.16,+,23.0625
48890,chr20,38805723,PPP1R16B,ENSG00000101445.10,+,23.0625
16906,chr6,31403594,MICA,ENSG00000204520.14,+,23.078125
19546,chr7,55019020,EGFR,ENSG00000146648.21,+,23.09375
22408,chr8,106657853,OXR1,ENSG00000164830.19,+,23.109375
7716,chr2,96145440,DUSP2,ENSG00000158050.5,-,23.109375
39233,chr16,58249935,CCDC113,ENSG00000103021.10,+,23.140625
9101,chr3,40506038,ZNF620,ENSG00000177842.12,+,23.171875
48474,chr20,833714,FAM110A,ENSG00000125898.13,+,23.171875
51931,chrX,53094141,KANTR,ENSG00000232593.8,+,23.1875
53517,chrX,135022542,RTL8B,ENSG00000212747.5,-,23.203125
30224,chr11,63917164,RCOR2,ENSG00000167771.6,-,23.203125
21836,chr8,22367277,SLC39A14,ENSG00000104635.15,+,23.21875
34246,chr13,77697686,SLAIN1,ENSG00000139737.23,+,23.21875
40093,chr16,28539008,NUPR1,ENSG00000176046.9,-,23.21875
27936,chr11,19712836,NAV2,ENSG00000166833.23,+,23.21875
32229,chr12,106302817,TCP11L2,ENSG00000166046.11,+,23.21875
36611,chr14,103847575,PPP1R13B,ENSG00000088808.18,-,23.234375
42521,chr17,8190180,BORCS6,ENSG00000196544.8,-,23.234375
5029,chr1,233295725,PCNX2,ENSG00000135749.20,-,23.234375
28717,chr11,68684543,GAL,ENSG00000069482.7,+,23.25
1219,chr1,85580760,CCN1,ENSG00000142871.18,+,23.25
21353,chr7,122144249,AASS,ENSG00000008311.16,-,23.25
18214,chr6,33073649,HLA-DPA1,ENSG00000231389.8,-,23.25
47916,chr19,46413564,CCDC8,ENSG00000169515.9,-,23.265625
7449,chr2,61017193,PUS10,ENSG00000162927.14,-,23.28125
7869,chr2,127885956,AMMECR1L,ENSG00000144233.12,-,23.28125
24179,chr9,114611290,TMEM268,ENSG00000157693.15,+,23.296875
51050,chr22,22559143,PRAME,ENSG00000185686.18,-,23.296875
42509,chr17,8156360,PER1,ENSG00000179094.16,-,23.328125
49552,chr20,38165270,TGM2,ENSG00000198959.12,-,23.328125
21631,chr7,155003124,PAXIP1,ENSG00000157212.20,-,23.328125
27117,chr10,73811651,ENSG00000272916,ENSG00000272916.5,-,23.34375
33984,chr13,24160719,SPATA13,ENSG00000182957.16,+,23.34375
7731,chr2,96870080,SEMA4C,ENSG00000168758.11,-,23.34375
12531,chr4,86594316,PTPN13,ENSG00000163629.13,+,23.359375
41991,chr17,76384608,SPHK1,ENSG00000176170.14,+,23.359375
19805,chr7,93921734,GNG11,ENSG00000127920.6,+,23.359375
11957,chr3,197555987,BDH1,ENSG00000161267.12,-,23.375
48494,chr20,2101826,STK35,ENSG00000125834.13,+,23.375
18548,chr6,73263196,KHDC1,ENSG00000135314.14,-,23.375
2250,chr1,182789772,NPL,ENSG00000135838.14,+,23.375
18546,chr6,73263196,ENSG00000243501,ENSG00000243501.5,-,23.375
38248,chr15,89912882,ARPIN-AP3S2,ENSG00000250021.7,-,23.390625
37266,chr15,75647911,SNX33,ENSG00000173548.9,+,23.40625
35296,chr14,64704423,PLEKHG3,ENSG00000126822.18,+,23.40625
52422,chrX,135344795,ZNF449,ENSG00000173275.13,+,23.421875
48219,chr19,52857600,ZNF28,ENSG00000198538.11,-,23.4375
51174,chr22,31630831,PISD,ENSG00000241878.12,-,23.4375
1519,chr1,117606047,TENT5C,ENSG00000183508.5,+,23.4375
5959,chr2,111898606,MERTK,ENSG00000153208.19,+,23.4375
40827,chr17,7336528,ACAP1,ENSG00000072818.12,+,23.4375
2280,chr1,186828948,PLA2G4A,ENSG00000116711.10,+,23.4375
47835,chr19,43780973,KCNN4,ENSG00000104783.15,-,23.46875
38249,chr15,89912952,ARPIN,ENSG00000242498.8,-,23.46875
20628,chr7,22500177,STEAP1B,ENSG00000105889.16,-,23.5
14645,chr5,102755297,PAM,ENSG00000145730.21,+,23.515625
37431,chr15,90352339,ZNF774,ENSG00000196391.11,+,23.515625
37623,chr15,40307837,PLCB2,ENSG00000137841.12,-,23.515625
43458,chr17,63446294,CYB561,ENSG00000008283.16,-,23.53125
34007,chr13,26557682,WASF3,ENSG00000132970.14,+,23.546875
14866,chr5,138439086,REEP2,ENSG00000132563.17,+,23.546875
28537,chr11,65111871,TM7SF2,ENSG00000149809.17,+,23.546875
7703,chr2,95165668,ZNF514,ENSG00000144026.14,-,23.5625
41547,chr17,47209347,MYL4,ENSG00000198336.9,+,23.5625
51519,chrX,7147711,STS,ENSG00000101846.9,+,23.578125
7108,chr2,16665828,CYRIA,ENSG00000197872.11,-,23.578125
47200,chr19,12775620,HOOK2,ENSG00000095066.12,-,23.59375
8823,chr3,10164918,IRAK2,ENSG00000134070.5,+,23.59375
28073,chr11,44066269,ACCS,ENSG00000110455.14,+,23.625
9197,chr3,44729634,ZNF501,ENSG00000186446.12,+,23.625
10173,chr3,170037994,GPR160,ENSG00000173890.17,+,23.65625
21163,chr7,100100743,MCM7,ENSG00000166508.19,-,23.65625
12265,chr4,40197057,RHOH,ENSG00000168421.14,+,23.671875
3785,chr1,85465159,DDAH1,ENSG00000153904.21,-,23.6875
38008,chr15,70854157,LARP6,ENSG00000166173.11,-,23.703125
49014,chr20,46021698,SLC12A5,ENSG00000124140.15,+,23.703125
16811,chr6,29723433,HLA-F,ENSG00000204642.14,+,23.71875
9235,chr3,46407258,CCRL2,ENSG00000121797.10,+,23.71875
14610,chr5,95646776,RFESD,ENSG00000175449.15,+,23.71875
14642,chr5,98773662,RGMB,ENSG00000174136.13,+,23.71875
4873,chr1,209784559,C1orf74,ENSG00000162757.4,-,23.75
14442,chr5,69560190,GTF2H2C,ENSG00000183474.16,+,23.75
48404,chr19,57727624,ZNF671,ENSG00000083814.13,-,23.765625
5259,chr2,24123468,FAM228B,ENSG00000219626.9,+,23.765625
25612,chr10,4826206,AKR1E2,ENSG00000165568.18,+,23.796875
15374,chr5,178113531,N4BP3,ENSG00000145911.6,+,23.796875
53604,chrX,152733691,CSAG1,ENSG00000198930.13,-,23.8125
44305,chr18,63949300,HMSD,ENSG00000221887.6,+,23.8125
6469,chr2,200306692,SPATS2L,ENSG00000196141.14,+,23.828125
52929,chrX,46759118,SLC9A7,ENSG00000065923.10,-,23.828125
40181,chr16,31074240,ZNF668,ENSG00000167394.13,-,23.84375
47209,chr19,12887201,KLF1,ENSG00000105610.6,-,23.84375
18210,chr6,32953122,ENSG00000248993,ENSG00000248993.1,-,23.84375
38524,chr16,2817236,PRSS21,ENSG00000007038.11,+,23.84375
2799,chr1,247857186,TRIM58,ENSG00000162722.9,+,23.84375
22212,chr8,70669338,XKR9,ENSG00000221947.8,+,23.84375
46289,chr19,49157791,TRPM4,ENSG00000130529.16,+,23.859375
31542,chr12,47079602,PCED1B,ENSG00000179715.13,+,23.875
50990,chr22,19291685,CLTCL1,ENSG00000070371.16,-,23.890625
45020,chr19,6531025,TNFSF9,ENSG00000125657.5,+,23.90625
45840,chr19,37594829,ZNF540,ENSG00000171817.17,+,23.90625
25111,chr9,96619843,CDC14B,ENSG00000081377.17,-,23.90625
31011,chr11,125496277,FEZ1,ENSG00000149557.14,-,23.90625
27784,chr11,6234764,CNGA4,ENSG00000132259.13,+,23.90625
46074,chr19,44025341,ZNF222,ENSG00000159885.14,+,23.921875
47063,chr19,9768732,ZNF846,ENSG00000196605.7,-,23.921875
19768,chr7,90154468,STEAP1,ENSG00000164647.9,+,23.921875
49730,chr20,57710015,PMEPA1,ENSG00000124225.16,-,23.921875
1466,chr1,112396213,CTTNBP2NL,ENSG00000143079.15,+,23.9375
12082,chr4,5711214,EVC,ENSG00000072840.13,+,23.9375
50886,chr22,45502975,FBLN1,ENSG00000077942.19,+,23.953125
559,chr1,27959942,XKR8,ENSG00000158156.9,+,23.96875
25125,chr9,97922500,TRMO,ENSG00000136932.15,-,23.96875
51583,chrX,13653129,TCEANC,ENSG00000176896.9,+,23.984375
26906,chr10,43574618,ZNF239,ENSG00000196793.14,-,23.984375
6621,chr2,216081865,TMEM169,ENSG00000163449.11,+,23.984375
29451,chr11,796263,SLC25A22,ENSG00000177542.11,-,24.015625
40968,chr17,16415570,TRPV2,ENSG00000187688.15,+,24.03125
34556,chr13,39603193,LHFPL6,ENSG00000183722.9,-,24.03125
41431,chr17,43398992,ARL4D,ENSG00000175906.5,+,24.046875
35417,chr14,73569284,ACOT2,ENSG00000119673.16,+,24.0625
17281,chr6,53795004,LRRC1,ENSG00000137269.15,+,24.0625
16738,chr6,26440487,BTN3A3,ENSG00000111801.16,+,24.0625
51286,chr22,38570183,DMC1,ENSG00000100206.11,-,24.078125
42268,chr17,1628834,SLC43A2,ENSG00000167703.15,-,24.078125
14784,chr5,132257695,PDLIM4,ENSG00000131435.13,+,24.09375
15983,chr5,127073506,C5orf63,ENSG00000164241.14,-,24.09375
4038,chr1,116667755,IGSF3,ENSG00000143061.18,-,24.09375
45408,chr19,17751505,FCHO1,ENSG00000130475.16,+,24.125
20311,chr7,142855060,EPHB6,ENSG00000106123.12,+,24.125
3524,chr1,45500073,CCDC163,ENSG00000280670.3,-,24.125
7652,chr2,85888990,ST3GAL5,ENSG00000115525.18,-,24.140625
51826,chrX,48786589,GATA1,ENSG00000102145.16,+,24.15625
32825,chr12,14771131,H4C16,ENSG00000197837.4,-,24.15625
36877,chr15,42575605,STARD9,ENSG00000159433.12,+,24.171875
16577,chr6,3849372,FAM50B,ENSG00000145945.7,+,24.171875
43524,chr17,64020607,ICAM2,ENSG00000108622.11,-,24.171875
17593,chr6,125790959,NCOA7,ENSG00000111912.20,+,24.1875
50816,chr22,41381941,TEF,ENSG00000167074.15,+,24.1875
24168,chr9,113876281,ZNF618,ENSG00000157657.15,+,24.1875
43720,chr17,76643757,ST6GALNAC1,ENSG00000070526.15,-,24.203125
5477,chr2,46699294,SOCS5,ENSG00000171150.9,+,24.203125
