,delta mean,delta std,path,wt,context,cell line
3702,0.86,0.1318,../results/context_dependence_test_10/borzoi/PMVK_chr1_154936719_-.pickle,4.52,enhancing,"K562 ENCODE, biol_"
340,0.748,0.1523,../results/context_dependence_test_10/borzoi/FUCA1_chr1_23868290_-.pickle,4.13,enhancing,"K562 ENCODE, biol_"
6198,0.7085,0.0469,../results/context_dependence_test_10/borzoi/LRRC61_chr7_150323262_+.pickle,8.68,enhancing,"K562 ENCODE, biol_"
5047,0.8096,0.0887,../results/context_dependence_test_10/borzoi/MARCHF3_chr5_127030558_-.pickle,4.793,enhancing,"K562 ENCODE, biol_"
4323,0.734,0.08734,../results/context_dependence_test_10/borzoi/MYBL2_chr20_43667018_+.pickle,8.914,enhancing,"K562 ENCODE, biol_"
9416,0.8984,0.0936,../results/context_dependence_test_10/borzoi/PRDX2_chr19_12801800_-.pickle,12.086,enhancing,"K562 ENCODE, biol_"
500,0.7505,0.09674,../results/context_dependence_test_10/borzoi/LGR4_chr11_27472775_-.pickle,4.164,enhancing,"K562 ENCODE, biol_"
4252,0.803,0.04428,../results/context_dependence_test_10/borzoi/ATP11A_chr13_112690037_+.pickle,5.594,enhancing,"K562 ENCODE, biol_"
53,0.706,0.1025,../results/context_dependence_test_10/borzoi/MATCAP2_chr7_36367269_-.pickle,3.365,enhancing,"K562 ENCODE, biol_"
5295,0.876,0.06757,../results/context_dependence_test_10/borzoi/PPT2_chr6_32154140_+.pickle,5.32,enhancing,"K562 ENCODE, biol_"
1345,0.787,0.10876,../results/context_dependence_test_10/borzoi/THPO_chr3_184378207_-.pickle,0.585,enhancing,"K562 ENCODE, biol_"
2249,0.723,0.10474,../results/context_dependence_test_10/borzoi/PLPPR3_chr19_821952_-.pickle,1.717,enhancing,"K562 ENCODE, biol_"
1419,0.703,0.1628,../results/context_dependence_test_10/borzoi/SNCA_chr4_89837015_-.pickle,2.45,enhancing,"K562 ENCODE, biol_"
1898,0.741,0.1206,../results/context_dependence_test_10/borzoi/TLCD1_chr17_28726233_-.pickle,3.469,enhancing,"K562 ENCODE, biol_"
6610,0.7485,0.1279,../results/context_dependence_test_10/borzoi/GLUL_chr1_182391792_-.pickle,6.324,enhancing,"K562 ENCODE, biol_"
1488,0.795,0.07513,../results/context_dependence_test_10/borzoi/TRIM58_chr1_247857186_+.pickle,2.98,enhancing,"K562 ENCODE, biol_"
1667,0.7197,0.0722,../results/context_dependence_test_10/borzoi/WIPF3_chr7_29806507_+.pickle,1.047,enhancing,"K562 ENCODE, biol_"
3247,0.824,0.1022,../results/context_dependence_test_10/borzoi/HRC_chr19_49155396_-.pickle,0.4639,enhancing,"K562 ENCODE, biol_"
4600,0.7017,0.1583,../results/context_dependence_test_10/borzoi/GBGT1_chr9_133163919_-.pickle,2.12,enhancing,"K562 ENCODE, biol_"
1818,0.787,0.0793,../results/context_dependence_test_10/borzoi/SOSTDC1_chr7_16465738_-.pickle,0.719,enhancing,"K562 ENCODE, biol_"
7443,0.703,0.2292,../results/context_dependence_test_10/borzoi/NPRL3_chr16_138673_-.pickle,9.15,enhancing,"K562 ENCODE, biol_"
1436,0.7427,0.1044,../results/context_dependence_test_10/borzoi/PVR_chr19_44643819_+.pickle,6.36,enhancing,"K562 ENCODE, biol_"
439,0.794,0.0934,../results/context_dependence_test_10/borzoi/MORN4_chr10_97633500_-.pickle,3.883,enhancing,"K562 ENCODE, biol_"
1939,0.8613,0.088,../results/context_dependence_test_10/borzoi/ADTRP_chr6_11778803_-.pickle,0.668,enhancing,"K562 ENCODE, biol_"
444,0.8433,0.1186,../results/context_dependence_test_10/borzoi/FAM228B_chr2_24123468_+.pickle,2.97,enhancing,"K562 ENCODE, biol_"
5868,0.7607,0.1719,../results/context_dependence_test_10/borzoi/ACAA2_chr18_49813953_-.pickle,13.55,enhancing,"K562 ENCODE, biol_"
61,0.786,0.1284,../results/context_dependence_test_10/borzoi/TAP1_chr6_32853816_-.pickle,4.47,enhancing,"K562 ENCODE, biol_"
2228,0.7847,0.1121,../results/context_dependence_test_10/borzoi/SLC4A1_chr17_44268134_-.pickle,0.4434,enhancing,"K562 ENCODE, biol_"
3665,0.843,0.05966,../results/context_dependence_test_10/borzoi/EREG_chr4_74365144_+.pickle,1.7,enhancing,"K562 ENCODE, biol_"
2954,0.7773,0.0868,../results/context_dependence_test_10/borzoi/DALRD3_chr3_49018564_-.pickle,3.582,enhancing,"K562 ENCODE, biol_"
3928,0.829,0.07556,../results/context_dependence_test_10/borzoi/SMAGP_chr12_51270284_-.pickle,4.457,enhancing,"K562 ENCODE, biol_"
6369,0.9663,0.01784,../results/context_dependence_test_10/borzoi/GALNT5_chr2_157257704_+.pickle,2.084,enhancing,"K562 ENCODE, biol_"
5278,0.921,0.04178,../results/context_dependence_test_10/borzoi/PKLR_chr1_155301438_-.pickle,0.889,enhancing,"K562 ENCODE, biol_"
1265,0.7065,0.103,../results/context_dependence_test_10/borzoi/TEX9_chr15_56365426_+.pickle,3.443,enhancing,"K562 ENCODE, biol_"
2150,0.8047,0.148,../results/context_dependence_test_10/borzoi/SERPINB9_chr6_2903309_-.pickle,3.352,enhancing,"K562 ENCODE, biol_"
1472,0.7837,0.2144,../results/context_dependence_test_10/borzoi/ENSG00000285382_chr20_32743523_-.pickle,9.08,enhancing,"K562 ENCODE, biol_"
3062,0.761,0.1361,../results/context_dependence_test_10/borzoi/RAB31_chr18_9708300_+.pickle,5.77,enhancing,"K562 ENCODE, biol_"
1975,0.7036,0.1512,../results/context_dependence_test_10/borzoi/LRRC8C_chr1_89633119_+.pickle,4.152,enhancing,"K562 ENCODE, biol_"
7651,0.7417,0.1528,../results/context_dependence_test_10/borzoi/DDRGK1_chr20_3204682_-.pickle,7.086,enhancing,"K562 ENCODE, biol_"
8901,0.773,0.2177,../results/context_dependence_test_10/borzoi/PTDSS1_chr8_96261901_+.pickle,5.72,enhancing,"K562 ENCODE, biol_"
5420,0.871,0.0389,../results/context_dependence_test_10/borzoi/SCG3_chr15_51681502_+.pickle,1.117,enhancing,"K562 ENCODE, biol_"
5017,0.7173,0.1583,../results/context_dependence_test_10/borzoi/QDPR_chr4_17512086_-.pickle,7.195,enhancing,"K562 ENCODE, biol_"
3606,0.7397,0.06076,../results/context_dependence_test_10/borzoi/C17orf99_chr17_78146384_+.pickle,1.215,enhancing,"K562 ENCODE, biol_"
2855,0.706,0.1375,../results/context_dependence_test_10/borzoi/VPS54_chr2_64019428_-.pickle,2.215,enhancing,"K562 ENCODE, biol_"
3047,0.703,0.1014,../results/context_dependence_test_10/borzoi/ACTR3C_chr7_150323545_-.pickle,4.34,enhancing,"K562 ENCODE, biol_"
1654,0.7383,0.1181,../results/context_dependence_test_10/borzoi/PAQR8_chr6_52362150_+.pickle,4.992,enhancing,"K562 ENCODE, biol_"
4064,0.8003,0.0955,../results/context_dependence_test_10/borzoi/MOSPD1_chrX_134915257_-.pickle,7.62,enhancing,"K562 ENCODE, biol_"
2692,0.7695,0.1092,../results/context_dependence_test_10/borzoi/PLA2G15_chr16_68245303_+.pickle,4.746,enhancing,"K562 ENCODE, biol_"
22,0.7993,0.1081,../results/context_dependence_test_10/borzoi/FCSK_chr16_70454594_+.pickle,3.139,enhancing,"K562 ENCODE, biol_"
2060,0.706,0.1354,../results/context_dependence_test_10/borzoi/MLH3_chr14_75051467_-.pickle,5.676,enhancing,"K562 ENCODE, biol_"
1969,0.8105,0.0644,../results/context_dependence_test_10/borzoi/ENSG00000285085_chr6_32154373_-.pickle,1.975,enhancing,"K562 ENCODE, biol_"
9181,0.713,0.1765,../results/context_dependence_test_10/borzoi/NME4_chr16_397198_+.pickle,11.49,enhancing,"K562 ENCODE, biol_"
4975,0.851,0.1131,../results/context_dependence_test_10/borzoi/TCHP_chr12_109900273_+.pickle,4.895,enhancing,"K562 ENCODE, biol_"
7824,0.7754,0.1195,../results/context_dependence_test_10/borzoi/EIF4G3_chr1_21176836_-.pickle,6.87,enhancing,"K562 ENCODE, biol_"
8555,0.709,0.10065,../results/context_dependence_test_10/borzoi/PIP4K2A_chr10_22714578_-.pickle,9.2,enhancing,"K562 ENCODE, biol_"
3539,0.7676,0.1002,../results/context_dependence_test_10/borzoi/VASP_chr19_45507478_+.pickle,9.05,enhancing,"K562 ENCODE, biol_"
6029,0.7905,0.105,../results/context_dependence_test_10/borzoi/AHNAK_chr11_62546806_-.pickle,8.2,enhancing,"K562 ENCODE, biol_"
398,0.79,0.1439,../results/context_dependence_test_10/borzoi/CCDC171_chr9_15553042_+.pickle,2.809,enhancing,"K562 ENCODE, biol_"
2974,0.824,0.11566,../results/context_dependence_test_10/borzoi/GNL1_chr6_30556489_-.pickle,6.7,enhancing,"K562 ENCODE, biol_"
2340,0.859,0.04584,../results/context_dependence_test_10/borzoi/TJP2_chr9_69174281_+.pickle,3.762,enhancing,"K562 ENCODE, biol_"
662,0.765,0.1096,../results/context_dependence_test_10/borzoi/FAR2_chr12_29149081_+.pickle,1.498,enhancing,"K562 ENCODE, biol_"
1150,0.839,0.10944,../results/context_dependence_test_10/borzoi/CREB3L4_chr1_153967901_+.pickle,3.447,enhancing,"K562 ENCODE, biol_"
5780,0.7227,0.0875,../results/context_dependence_test_10/borzoi/PIEZO1_chr16_88785220_-.pickle,5.582,enhancing,"K562 ENCODE, biol_"
2245,0.8486,0.0673,../results/context_dependence_test_10/borzoi/TTC26_chr7_139133743_+.pickle,3.24,enhancing,"K562 ENCODE, biol_"
5768,0.7896,0.08777,../results/context_dependence_test_10/borzoi/SLC35F2_chr11_107858787_-.pickle,5.184,enhancing,"K562 ENCODE, biol_"
4047,0.753,0.1279,../results/context_dependence_test_10/borzoi/MTMR6_chr13_25287488_-.pickle,10.27,enhancing,"K562 ENCODE, biol_"
3719,0.7607,0.0897,../results/context_dependence_test_10/borzoi/PGGHG_chr11_289171_+.pickle,3.416,enhancing,"K562 ENCODE, biol_"
1653,0.724,0.2358,../results/context_dependence_test_10/borzoi/TAF9_chr5_69370013_-.pickle,2.459,enhancing,"K562 ENCODE, biol_"
422,0.743,0.173,../results/context_dependence_test_10/borzoi/CCDC159_chr19_11346518_+.pickle,3.906,enhancing,"K562 ENCODE, biol_"
3991,0.8257,0.0927,../results/context_dependence_test_10/borzoi/COMT_chr22_19941787_+.pickle,14.6,enhancing,"K562 ENCODE, biol_"
361,0.84,0.0702,../results/context_dependence_test_10/borzoi/ENSG00000285043_chr16_30053126_+.pickle,2.264,enhancing,"K562 ENCODE, biol_"
666,0.813,0.1554,../results/context_dependence_test_10/borzoi/DUSP19_chr2_183078746_+.pickle,2.78,enhancing,"K562 ENCODE, biol_"
2473,0.777,0.1644,../results/context_dependence_test_10/borzoi/ENSG00000264187_chr17_17237185_-.pickle,1.482,enhancing,"K562 ENCODE, biol_"
6684,0.7617,0.1184,../results/context_dependence_test_10/borzoi/ICAM1_chr19_10271119_+.pickle,4.027,enhancing,"K562 ENCODE, biol_"
5691,0.765,0.1327,../results/context_dependence_test_10/borzoi/TGIF1_chr18_3450176_+.pickle,5.652,enhancing,"K562 ENCODE, biol_"
7488,0.821,0.2039,../results/context_dependence_test_10/borzoi/BPNT1_chr1_220089788_-.pickle,10.42,enhancing,"K562 ENCODE, biol_"
4943,0.748,0.271,../results/context_dependence_test_10/borzoi/AMBRA1_chr11_46594045_-.pickle,4.84,enhancing,"K562 ENCODE, biol_"
351,0.7744,0.07965,../results/context_dependence_test_10/borzoi/SULT1A1_chr16_28610044_-.pickle,2.58,enhancing,"K562 ENCODE, biol_"
1834,0.8867,0.067,../results/context_dependence_test_10/borzoi/BIVM_chr13_102799118_+.pickle,5.11,enhancing,"K562 ENCODE, biol_"
1177,0.704,0.1501,../results/context_dependence_test_10/borzoi/ENSG00000288646_chr6_53065601_+.pickle,1.941,enhancing,"K562 ENCODE, biol_"
4438,0.7573,0.2262,../results/context_dependence_test_10/borzoi/MYH7B_chr20_34955867_+.pickle,8.016,enhancing,"K562 ENCODE, biol_"
5697,0.7344,0.1102,../results/context_dependence_test_10/borzoi/CAMK2G_chr10_73874519_-.pickle,7.34,enhancing,"K562 ENCODE, biol_"
582,0.8145,0.08496,../results/context_dependence_test_10/borzoi/F2R_chr5_76716125_+.pickle,7.227,enhancing,"K562 ENCODE, biol_"
2089,0.847,0.0719,../results/context_dependence_test_10/borzoi/SPIRE1_chr18_12658107_-.pickle,6.887,enhancing,"K562 ENCODE, biol_"
9857,0.822,0.10254,../results/context_dependence_test_10/borzoi/COA1_chr7_43729497_-.pickle,8.85,enhancing,"K562 ENCODE, biol_"
2631,0.7744,0.0931,../results/context_dependence_test_10/borzoi/SORBS1_chr10_95561392_-.pickle,2.814,enhancing,"K562 ENCODE, biol_"
8777,0.741,0.152,../results/context_dependence_test_10/borzoi/DRAM2_chr1_111140093_-.pickle,13.7,enhancing,"K562 ENCODE, biol_"
4938,0.8174,0.0654,../results/context_dependence_test_10/borzoi/PDXDC1_chr16_14975122_+.pickle,9.66,enhancing,"K562 ENCODE, biol_"
7797,0.719,0.1532,../results/context_dependence_test_10/borzoi/CTBP1_chr4_1249137_-.pickle,11.14,enhancing,"K562 ENCODE, biol_"
8232,0.717,0.1552,../results/context_dependence_test_10/borzoi/CLSPN_chr1_35769967_-.pickle,6.758,enhancing,"K562 ENCODE, biol_"
716,0.884,0.06305,../results/context_dependence_test_10/borzoi/KCTD7_chr7_66628942_+.pickle,3.326,enhancing,"K562 ENCODE, biol_"
594,0.789,0.0871,../results/context_dependence_test_10/borzoi/TP53INP1_chr8_94949366_-.pickle,6.152,enhancing,"K562 ENCODE, biol_"
234,0.7764,0.1131,../results/context_dependence_test_10/borzoi/CCDC80_chr3_112641143_-.pickle,2.154,enhancing,"K562 ENCODE, biol_"
8174,0.8354,0.0841,../results/context_dependence_test_10/borzoi/VAMP8_chr2_85577592_+.pickle,3.666,enhancing,"K562 ENCODE, biol_"
3715,0.9053,0.04767,../results/context_dependence_test_10/borzoi/GCHFR_chr15_40764103_+.pickle,4.777,enhancing,"K562 ENCODE, biol_"
2626,0.725,0.09814,../results/context_dependence_test_10/borzoi/BCR_chr22_23180508_+.pickle,6.53,enhancing,"K562 ENCODE, biol_"
3353,0.774,0.08887,../results/context_dependence_test_10/borzoi/TRAPPC9_chr8_140457744_-.pickle,5.598,enhancing,"K562 ENCODE, biol_"
1212,0.8286,0.0964,../results/context_dependence_test_10/borzoi/INHBE_chr12_57455306_+.pickle,1.4375,enhancing,"K562 ENCODE, biol_"
3868,0.7734,0.1853,../results/context_dependence_test_10/borzoi/WASF1_chr6_110179670_-.pickle,4.383,enhancing,"K562 ENCODE, biol_"
7868,0.781,0.1139,../results/context_dependence_test_10/borzoi/KLF1_chr19_12887201_-.pickle,2.982,enhancing,"K562 ENCODE, biol_"
4224,0.838,0.1302,../results/context_dependence_test_10/borzoi/ICA1_chr7_8262167_-.pickle,3.91,enhancing,"K562 ENCODE, biol_"
6417,0.7207,0.1876,../results/context_dependence_test_10/borzoi/CENPP_chr9_92325952_+.pickle,5.49,enhancing,"K562 ENCODE, biol_"
4436,0.8643,0.06714,../results/context_dependence_test_10/borzoi/MBOAT1_chr6_20212469_-.pickle,4.76,enhancing,"K562 ENCODE, biol_"
8230,0.7915,0.1085,../results/context_dependence_test_10/borzoi/SLC16A1_chr1_112956196_-.pickle,10.19,enhancing,"K562 ENCODE, biol_"
8241,0.7124,0.2037,../results/context_dependence_test_10/borzoi/GSR_chr8_30727835_-.pickle,12.08,enhancing,"K562 ENCODE, biol_"
4208,0.9277,0.05542,../results/context_dependence_test_10/borzoi/CPED1_chr7_120988710_+.pickle,3.203,enhancing,"K562 ENCODE, biol_"
7478,0.7646,0.1201,../results/context_dependence_test_10/borzoi/TFDP2_chr3_142028626_-.pickle,0.4634,enhancing,"K562 ENCODE, biol_"
6026,0.914,0.0996,../results/context_dependence_test_10/borzoi/CA8_chr8_60281400_-.pickle,3.719,enhancing,"K562 ENCODE, biol_"
7841,0.7505,0.1622,../results/context_dependence_test_10/borzoi/ITGB3BP_chr1_63523225_-.pickle,10.35,enhancing,"K562 ENCODE, biol_"
4589,0.7773,0.137,../results/context_dependence_test_10/borzoi/NUDT9_chr4_87422596_+.pickle,8.08,enhancing,"K562 ENCODE, biol_"
1077,0.8203,0.0961,../results/context_dependence_test_10/borzoi/TBC1D24_chr16_2475050_+.pickle,3.207,enhancing,"K562 ENCODE, biol_"
2448,0.9463,0.01371,../results/context_dependence_test_10/borzoi/HTR1F_chr3_87792705_+.pickle,1.898,enhancing,"K562 ENCODE, biol_"
3108,0.9014,0.04373,../results/context_dependence_test_10/borzoi/KISS1R_chr19_917332_+.pickle,1.797,enhancing,"K562 ENCODE, biol_"
2246,0.7646,0.1191,../results/context_dependence_test_10/borzoi/EIF4ENIF1_chr22_31489824_-.pickle,5.152,enhancing,"K562 ENCODE, biol_"
3428,0.7197,0.2039,../results/context_dependence_test_10/borzoi/IFI6_chr1_27672178_-.pickle,5.227,enhancing,"K562 ENCODE, biol_"
4962,0.7285,0.10065,../results/context_dependence_test_10/borzoi/SLC1A4_chr2_64989398_+.pickle,4.664,enhancing,"K562 ENCODE, biol_"
7127,0.9062,0.0365,../results/context_dependence_test_10/borzoi/FADS1_chr11_61817003_-.pickle,7.332,enhancing,"K562 ENCODE, biol_"
378,0.8423,0.07446,../results/context_dependence_test_10/borzoi/SHROOM1_chr5_132830647_-.pickle,2.139,enhancing,"K562 ENCODE, biol_"
470,0.7915,0.1718,../results/context_dependence_test_10/borzoi/CTPS2_chrX_16712669_-.pickle,5.844,enhancing,"K562 ENCODE, biol_"
4434,0.819,0.0996,../results/context_dependence_test_10/borzoi/ASAH2B_chr10_50739935_+.pickle,3.863,enhancing,"K562 ENCODE, biol_"
3838,0.8374,0.11285,../results/context_dependence_test_10/borzoi/ZSCAN26_chr6_28267142_+.pickle,4.426,enhancing,"K562 ENCODE, biol_"
6523,0.762,0.1685,../results/context_dependence_test_10/borzoi/VWDE_chr7_12403865_-.pickle,3.95,enhancing,"K562 ENCODE, biol_"
3213,0.8755,0.08405,../results/context_dependence_test_10/borzoi/RELN_chr7_103989658_-.pickle,2.227,enhancing,"K562 ENCODE, biol_"
9792,0.7344,0.11084,../results/context_dependence_test_10/borzoi/TYMS_chr18_657652_+.pickle,12.29,enhancing,"K562 ENCODE, biol_"
7717,0.7764,0.075,../results/context_dependence_test_10/borzoi/MAN1A1_chr6_119349761_-.pickle,5.336,enhancing,"K562 ENCODE, biol_"
8128,0.759,0.1366,../results/context_dependence_test_10/borzoi/SRGN_chr10_69088102_+.pickle,6.242,enhancing,"K562 ENCODE, biol_"
6051,0.757,0.2065,../results/context_dependence_test_10/borzoi/TTC8_chr14_88824655_+.pickle,6.914,enhancing,"K562 ENCODE, biol_"
1720,0.851,0.06616,../results/context_dependence_test_10/borzoi/RSAD2_chr2_6865635_+.pickle,2.0,enhancing,"K562 ENCODE, biol_"
8372,0.7856,0.1592,../results/context_dependence_test_10/borzoi/DPH5_chr1_101025792_-.pickle,12.02,enhancing,"K562 ENCODE, biol_"
709,0.8203,0.0961,../results/context_dependence_test_10/borzoi/APBA2_chr15_28885973_+.pickle,1.799,enhancing,"K562 ENCODE, biol_"
403,0.8687,0.0832,../results/context_dependence_test_10/borzoi/CRYBB1_chr22_26618027_-.pickle,0.459,enhancing,"K562 ENCODE, biol_"
2336,0.7803,0.12256,../results/context_dependence_test_10/borzoi/ELOVL7_chr5_60844274_-.pickle,2.256,enhancing,"K562 ENCODE, biol_"
5285,0.725,0.1578,../results/context_dependence_test_10/borzoi/VPS45_chr1_150067761_+.pickle,8.125,enhancing,"K562 ENCODE, biol_"
2742,0.8906,0.0678,../results/context_dependence_test_10/borzoi/FUT10_chr8_33473146_-.pickle,5.504,enhancing,"K562 ENCODE, biol_"
6159,0.847,0.0898,../results/context_dependence_test_10/borzoi/NFIA_chr1_61082560_+.pickle,4.863,enhancing,"K562 ENCODE, biol_"
172,0.7607,0.1018,../results/context_dependence_test_10/borzoi/TNNI3_chr19_55157732_-.pickle,0.7295,enhancing,"K562 ENCODE, biol_"
7533,0.87,0.10016,../results/context_dependence_test_10/borzoi/KCNH2_chr7_150955804_-.pickle,3.107,enhancing,"K562 ENCODE, biol_"
938,0.8447,0.1414,../results/context_dependence_test_10/borzoi/NRIP3_chr11_9004049_-.pickle,2.006,enhancing,"K562 ENCODE, biol_"
3465,0.835,0.10156,../results/context_dependence_test_10/borzoi/FAIM_chr3_138608770_+.pickle,1.871,enhancing,"K562 ENCODE, biol_"
3022,0.72,0.1294,../results/context_dependence_test_10/borzoi/RAPGEF2_chr4_159103078_+.pickle,6.81,enhancing,"K562 ENCODE, biol_"
2368,0.811,0.1219,../results/context_dependence_test_10/borzoi/SYNGR2_chr17_78168580_+.pickle,6.78,enhancing,"K562 ENCODE, biol_"
7171,0.7563,0.2067,../results/context_dependence_test_10/borzoi/RNF141_chr11_10541190_-.pickle,7.64,enhancing,"K562 ENCODE, biol_"
7075,0.7637,0.1008,../results/context_dependence_test_10/borzoi/FAH_chr15_80152998_+.pickle,2.154,enhancing,"K562 ENCODE, biol_"
1324,0.748,0.06128,../results/context_dependence_test_10/borzoi/TMEM62_chr15_43133585_+.pickle,4.32,enhancing,"K562 ENCODE, biol_"
7342,0.823,0.0823,../results/context_dependence_test_10/borzoi/TMEM109_chr11_60914157_+.pickle,10.08,enhancing,"K562 ENCODE, biol_"
749,0.79,0.175,../results/context_dependence_test_10/borzoi/ENSG00000258539_chr10_124791727_-.pickle,3.621,enhancing,"K562 ENCODE, biol_"
7959,0.7812,0.1503,../results/context_dependence_test_10/borzoi/ASCC1_chr10_72215992_-.pickle,15.1,enhancing,"K562 ENCODE, biol_"
4273,0.843,0.0909,../results/context_dependence_test_10/borzoi/PRPS2_chrX_12791487_+.pickle,8.35,enhancing,"K562 ENCODE, biol_"
3420,0.805,0.0774,../results/context_dependence_test_10/borzoi/AMOTL1_chr11_94768355_+.pickle,4.49,enhancing,"K562 ENCODE, biol_"
2539,0.789,0.11993,../results/context_dependence_test_10/borzoi/CILK1_chr6_53061770_-.pickle,4.613,enhancing,"K562 ENCODE, biol_"
1356,0.906,0.0466,../results/context_dependence_test_10/borzoi/COLGALT2_chr1_184037729_-.pickle,1.984,enhancing,"K562 ENCODE, biol_"
4291,0.866,0.1114,../results/context_dependence_test_10/borzoi/ALDH1A2_chr15_58065738_-.pickle,4.816,enhancing,"K562 ENCODE, biol_"
4597,0.788,0.1055,../results/context_dependence_test_10/borzoi/MFSD2B_chr2_24010080_+.pickle,1.892,enhancing,"K562 ENCODE, biol_"
7543,0.854,0.06464,../results/context_dependence_test_10/borzoi/PRKAR2B_chr7_107044704_+.pickle,5.246,enhancing,"K562 ENCODE, biol_"
5300,0.708,0.12054,../results/context_dependence_test_10/borzoi/REEP6_chr19_1491180_+.pickle,3.588,enhancing,"K562 ENCODE, biol_"
3135,0.7646,0.1128,../results/context_dependence_test_10/borzoi/GORAB_chr1_170532130_+.pickle,4.91,enhancing,"K562 ENCODE, biol_"
7033,0.7905,0.10486,../results/context_dependence_test_10/borzoi/MBLAC2_chr5_90474771_-.pickle,8.38,enhancing,"K562 ENCODE, biol_"
