,Chromosome,Start,gene_name,gene_id,Strand,"GM12878 ENCODE, biol_"
24196,chr9,121268167,GSN,ENSG00000148180.22,+,56.59375
46861,chr19,2944971,ZNF77,ENSG00000175691.9,-,56.59375
4818,chr1,205211566,DSTYK,ENSG00000133059.18,-,56.625
22321,chr8,94719899,DPY19L4,ENSG00000156162.16,+,56.6875
23217,chr8,90985238,C8orf88,ENSG00000253250.3,-,56.71875
44910,chr19,2900927,ZNF57,ENSG00000171970.14,+,56.75
10129,chr3,158571209,MLF1,ENSG00000178053.21,+,56.78125
31308,chr12,10505889,EIF2S3B,ENSG00000180574.4,+,56.8125
2843,chr1,1116089,C1orf159,ENSG00000131591.18,-,56.8125
52366,chrX,124346562,SH2D1A,ENSG00000183918.18,+,56.84375
14479,chr5,72107474,MAP1B,ENSG00000131711.15,+,56.875
19375,chr7,29194829,CHN2,ENSG00000106069.26,+,56.875
4710,chr1,186680423,PTGS2,ENSG00000073756.13,-,56.90625
4334,chr1,154970741,SHC1,ENSG00000160691.19,-,56.9375
20251,chr7,139133763,TTC26,ENSG00000105948.13,+,57.0
50561,chr22,29205895,EMID1,ENSG00000186998.16,+,57.0
1466,chr1,112396213,CTTNBP2NL,ENSG00000143079.15,+,57.0
51691,chrX,30653477,GK,ENSG00000198814.14,+,57.0
5783,chr2,88170294,THNSL2,ENSG00000144115.18,+,57.03125
49458,chr20,32483471,NOL4L,ENSG00000197183.15,-,57.03125
19653,chr7,74209980,LAT2,ENSG00000086730.17,+,57.03125
49331,chr20,3407669,DNAAF9,ENSG00000088854.13,-,57.0625
42499,chr17,7930622,ENSG00000262730,ENSG00000262730.1,-,57.0625
27065,chr10,70602687,PRF1,ENSG00000180644.8,-,57.09375
1664,chr1,151047750,C1orf56,ENSG00000143443.10,+,57.09375
32170,chr12,100573682,GAS2L3,ENSG00000139354.11,+,57.125
626,chr1,32205670,IQCC,ENSG00000160051.12,+,57.125
10108,chr3,156826299,LEKR1,ENSG00000197980.14,+,57.1875
40181,chr16,31074240,ZNF668,ENSG00000167394.13,-,57.21875
46998,chr19,7489035,PEX11G,ENSG00000104883.8,-,57.25
19449,chr7,36153253,EEPD1,ENSG00000122547.12,+,57.25
3704,chr1,67054148,SLC35D1,ENSG00000116704.8,-,57.28125
23846,chr9,37753816,TRMT10B,ENSG00000165275.10,+,57.3125
7943,chr2,150487667,RND3,ENSG00000115963.14,-,57.3125
15954,chr5,116574823,SEMA6A,ENSG00000092421.17,-,57.34375
52129,chrX,85244083,ZNF711,ENSG00000147180.17,+,57.40625
5018,chr1,231040254,FAM89A,ENSG00000182118.8,-,57.40625
31322,chr12,12725930,APOLD1,ENSG00000178878.13,+,57.4375
52422,chrX,135344795,ZNF449,ENSG00000173275.13,+,57.5
33984,chr13,24160719,SPATA13,ENSG00000182957.16,+,57.5625
22701,chr8,11201339,XKR6,ENSG00000171044.11,-,57.59375
28868,chr11,76381302,GVQW3,ENSG00000179240.13,+,57.625
36611,chr14,103847575,PPP1R13B,ENSG00000088808.18,-,57.65625
53773,chrY,21511337,RBMY1B,ENSG00000242875.7,+,57.65625
39433,chr16,70454594,FCSK,ENSG00000157353.17,+,57.6875
23798,chr9,35162008,UNC13B,ENSG00000198722.15,+,57.6875
50709,chr22,37560479,CDC42EP1,ENSG00000128283.7,+,57.6875
21314,chr7,108456397,NRCAM,ENSG00000091129.22,-,57.6875
27117,chr10,73811651,ENSG00000272916,ENSG00000272916.5,-,57.78125
225,chr1,12063376,TNFRSF8,ENSG00000120949.15,+,57.8125
30601,chr11,85628335,DLG2,ENSG00000150672.19,-,57.90625
609,chr1,31413212,SERINC2,ENSG00000168528.12,+,57.9375
42556,chr17,8867674,PIK3R6,ENSG00000276231.5,-,57.9375
1162,chr1,76074745,ST6GALNAC3,ENSG00000184005.12,+,57.96875
47173,chr19,12441021,ZNF443,ENSG00000180855.16,-,57.96875
51302,chr22,39152680,CBX7,ENSG00000100307.13,-,58.0625
6638,chr2,216633419,IGFBP2,ENSG00000115457.10,+,58.09375
17154,chr6,42782051,BICRAL,ENSG00000112624.14,+,58.09375
32007,chr12,69348383,LYZ,ENSG00000090382.7,+,58.09375
7223,chr2,27890387,RBKS,ENSG00000171174.15,-,58.125
18514,chr6,56843647,DST,ENSG00000151914.22,-,58.125
16200,chr5,142325021,SPRY4,ENSG00000187678.10,-,58.125
33960,chr12,132956306,ZNF605,ENSG00000196458.11,-,58.15625
28992,chr11,94768355,AMOTL1,ENSG00000166025.18,+,58.15625
45484,chr19,19063993,SLC25A42,ENSG00000181035.14,+,58.1875
25571,chr9,137302271,NRARP,ENSG00000198435.4,-,58.21875
45222,chr19,11848725,ZNF439,ENSG00000171291.9,+,58.21875
27027,chr10,63269066,JMJD1C,ENSG00000171988.20,-,58.21875
25125,chr9,97922500,TRMO,ENSG00000136932.15,-,58.21875
4873,chr1,209784559,C1orf74,ENSG00000162757.4,-,58.21875
36568,chr14,99604207,CCDC85C,ENSG00000205476.9,-,58.25
2250,chr1,182789772,NPL,ENSG00000135838.14,+,58.25
40175,chr16,30787205,ZNF629,ENSG00000102870.6,-,58.3125
11344,chr3,124887365,ITGB5,ENSG00000082781.12,-,58.3125
50555,chr22,28883571,ZNRF3,ENSG00000183579.16,+,58.34375
48531,chr20,3820535,AP5S1,ENSG00000125843.11,+,58.34375
48219,chr19,52857600,ZNF28,ENSG00000198538.11,-,58.34375
32402,chr12,119989235,BICDL1,ENSG00000135127.12,+,58.34375
38618,chr16,4316066,GLIS2,ENSG00000126603.9,+,58.40625
38436,chr16,1772809,EME2,ENSG00000197774.14,+,58.4375
48250,chr19,53193358,ZNF665,ENSG00000197497.11,-,58.4375
48804,chr20,35172071,PROCR,ENSG00000101000.6,+,58.46875
34246,chr13,77697686,SLAIN1,ENSG00000139737.23,+,58.46875
9654,chr3,108822785,TRAT1,ENSG00000163519.14,+,58.53125
31866,chr12,56266941,COQ10A,ENSG00000135469.14,+,58.53125
49600,chr20,45348424,SDC4,ENSG00000124145.6,-,58.5625
50083,chr21,45643724,PCBP3,ENSG00000183570.17,+,58.59375
45795,chr19,36850875,ZNF345,ENSG00000251247.13,+,58.625
43362,chr17,56833920,C17orf67,ENSG00000214226.9,-,58.625
46668,chr19,57390007,ENSG00000269533,ENSG00000269533.5,+,58.65625
10424,chr3,9769947,CAMK1,ENSG00000134072.11,-,58.6875
16219,chr5,145835304,PRELID2,ENSG00000186314.12,-,58.6875
49699,chr20,53593839,ZNF217,ENSG00000171940.14,-,58.6875
16649,chr6,16238586,GMPR,ENSG00000137198.10,+,58.75
18297,chr6,36442854,PXT1,ENSG00000179165.12,-,58.78125
45221,chr19,11814272,ZNF440,ENSG00000171295.13,+,58.8125
46088,chr19,44141556,ZNF234,ENSG00000263002.8,+,58.8125
9774,chr3,122577649,PARP15,ENSG00000173200.13,+,58.84375
15020,chr5,141476000,PCDHGC3,ENSG00000240184.7,+,58.84375
19008,chr6,149485014,ZC3H12D,ENSG00000178199.14,-,58.875
23615,chr8,144755531,ZNF251,ENSG00000198169.9,-,58.9375
14531,chr5,76819029,F2RL1,ENSG00000164251.5,+,58.96875
48391,chr19,57477503,ENSG00000268163,ENSG00000268163.1,-,59.0
42720,chr17,27893359,LYRM9,ENSG00000232859.10,-,59.0
18840,chr6,121334480,TBC1D32,ENSG00000146350.14,-,59.0
39870,chr16,4734271,ANKS3,ENSG00000168096.15,-,59.0
23971,chr9,87497866,DAPK1,ENSG00000196730.13,+,59.03125
24930,chr9,39874562,ENSG00000283886,ENSG00000283886.3,-,59.0625
10778,chr3,48556803,PFKFB4,ENSG00000114268.12,-,59.0625
32106,chr12,93570979,SOCS2,ENSG00000120833.14,+,59.0625
32823,chr12,14567883,PLBD1,ENSG00000121316.11,-,59.0625
3969,chr1,111739395,INKA2,ENSG00000197852.12,-,59.0625
7061,chr2,6865819,CMPK2,ENSG00000134326.12,-,59.0625
50816,chr22,41381941,TEF,ENSG00000167074.15,+,59.09375
11166,chr3,99876203,FILIP1L,ENSG00000168386.19,-,59.09375
51529,chrX,9465057,TBL1X,ENSG00000101849.18,+,59.125
33278,chr12,55728349,CD63,ENSG00000135404.12,-,59.125
3421,chr1,37931749,INPP5B,ENSG00000204084.14,-,59.15625
45787,chr19,36605334,ZNF382,ENSG00000161298.19,+,59.15625
30573,chr11,78188626,KCTD21,ENSG00000188997.8,-,59.15625
44427,chr18,14132428,ZNF519,ENSG00000175322.12,-,59.15625
35037,chr14,30874558,COCH,ENSG00000100473.18,+,59.1875
14442,chr5,69560190,GTF2H2C,ENSG00000183474.16,+,59.1875
52272,chrX,109537117,NXT2,ENSG00000101888.12,+,59.1875
32382,chr12,116738314,RNFT2,ENSG00000135119.15,+,59.21875
3785,chr1,85465159,DDAH1,ENSG00000153904.21,-,59.25
7840,chr2,121285202,TFCP2L1,ENSG00000115112.8,-,59.25
50423,chr22,20131803,ZDHHC8,ENSG00000099904.16,+,59.28125
26632,chr10,132397199,PWWP2B,ENSG00000171813.14,+,59.28125
41835,chr17,64449168,MILR1,ENSG00000271605.6,+,59.375
28623,chr11,66466904,PELI3,ENSG00000174516.15,+,59.40625
46933,chr19,5340812,PTPRS,ENSG00000105426.19,-,59.40625
30314,chr11,65872800,EFEMP2,ENSG00000172638.13,-,59.5
46976,chr19,6481787,DENND1C,ENSG00000205744.10,-,59.53125
17026,chr6,33420064,SYNGAP1,ENSG00000197283.18,+,59.5625
18868,chr6,128520616,PTPRK,ENSG00000152894.15,-,59.5625
27267,chr10,97633500,MORN4,ENSG00000171160.18,-,59.625
20416,chr7,150800402,TMEM176A,ENSG00000002933.9,+,59.625
34559,chr13,41019316,ELF1,ENSG00000120690.16,-,59.625
46054,chr19,43596574,ZNF576,ENSG00000124444.16,+,59.65625
47159,chr19,12140341,ZNF20,ENSG00000132010.16,-,59.6875
11126,chr3,79019459,ROBO1,ENSG00000169855.21,-,59.71875
3956,chr1,110674940,KCNA3,ENSG00000177272.10,-,59.75
40860,chr17,7558291,TNFSF13,ENSG00000161955.17,+,59.75
33034,chr12,47079865,AMIGO2,ENSG00000139211.7,-,59.78125
31542,chr12,47079602,PCED1B,ENSG00000179715.13,+,59.8125
26361,chr10,100997071,LZTS2,ENSG00000107816.17,+,59.8125
8656,chr2,240561064,ANKMY1,ENSG00000144504.16,-,59.8125
28676,chr11,67303477,SSH3,ENSG00000172830.13,+,59.90625
8992,chr3,32238679,CMTM8,ENSG00000170293.9,+,59.9375
51600,chrX,15738269,CA5B,ENSG00000169239.14,+,60.0
5805,chr2,95207520,ZNF892,ENSG00000233757.7,+,60.0
2629,chr1,226870615,PSEN2,ENSG00000143801.18,+,60.03125
16239,chr5,147782728,JAKMIP2,ENSG00000176049.16,-,60.0625
30088,chr11,59212927,MPEG1,ENSG00000197629.6,-,60.0625
21907,chr8,27491165,EPHX2,ENSG00000120915.14,+,60.09375
11850,chr3,190120897,P3H2,ENSG00000090530.10,-,60.09375
3,chr1,960583,KLHL17,ENSG00000187961.15,+,60.09375
34742,chr13,99086625,DOCK9,ENSG00000088387.22,-,60.125
18591,chr6,79537458,LCA5,ENSG00000135338.14,-,60.15625
32618,chr12,3753097,CRACR2A,ENSG00000130038.10,-,60.15625
46286,chr19,49114369,LIN7B,ENSG00000104863.12,+,60.15625
19055,chr6,154247682,IPCEF1,ENSG00000074706.14,-,60.1875
53314,chrX,103064171,BEX1,ENSG00000133169.6,-,60.21875
20528,chr7,5423834,TNRC18,ENSG00000182095.15,-,60.25
13015,chr4,183505057,ING2,ENSG00000168556.7,+,60.25
3267,chr1,28176690,PTAFR,ENSG00000169403.12,-,60.28125
24372,chr9,128818499,ENDOG,ENSG00000167136.7,+,60.28125
57,chr1,2586797,PRXL2B,ENSG00000157870.17,+,60.3125
3848,chr1,94541759,F3,ENSG00000117525.14,-,60.3125
27033,chr10,67838096,DNAJC12,ENSG00000108176.15,-,60.34375
24168,chr9,113876281,ZNF618,ENSG00000157657.15,+,60.375
35987,chr14,24114949,NRL,ENSG00000129535.13,-,60.375
25841,chr10,43437110,ZNF487,ENSG00000243660.12,+,60.375
33230,chr12,54188985,SMUG1,ENSG00000123415.16,-,60.375
47064,chr19,9768738,ZNF846,ENSG00000196605.7,-,60.375
13867,chr4,140756385,TBC1D9,ENSG00000109436.8,-,60.40625
33374,chr12,57479632,ARHGAP9,ENSG00000123329.20,-,60.46875
49976,chr21,41168159,BACE2,ENSG00000182240.16,+,60.5
12643,chr4,107931595,CYP2U1,ENSG00000155016.18,+,60.5
41157,chr17,31487999,RAB11FIP4,ENSG00000131242.18,+,60.5
1744,chr1,153967920,CREB3L4,ENSG00000143578.16,+,60.5
32598,chr12,949649,RAD52,ENSG00000002016.18,-,60.5
36814,chr15,40953470,CHAC1,ENSG00000128965.13,+,60.5
42242,chr17,979776,NXN,ENSG00000167693.17,-,60.5
19736,chr7,80134830,GNAI1,ENSG00000127955.17,+,60.53125
47538,chr19,35742453,IGFLR1,ENSG00000126246.10,-,60.5625
28222,chr11,57598183,SERPING1,ENSG00000149131.17,+,60.59375
33212,chr12,53499458,MAP3K12,ENSG00000139625.13,-,60.59375
26329,chr10,97713729,MARVELD1,ENSG00000155254.13,+,60.6875
24883,chr9,35650931,SIT1,ENSG00000137078.10,-,60.6875
36701,chr15,30626128,ENSG00000284906,ENSG00000284906.3,+,60.6875
50870,chr22,44702232,PRR5-ARHGAP8,ENSG00000248405.10,+,60.75
49575,chr20,44311202,FITM2,ENSG00000197296.6,-,60.75
12050,chr4,2963607,GRK4,ENSG00000125388.20,+,60.75
25647,chr10,8054687,GATA3,ENSG00000107485.18,+,60.78125
19805,chr7,93921734,GNG11,ENSG00000127920.6,+,60.78125
40761,chr17,5078466,ZFP3,ENSG00000180787.6,+,60.8125
29167,chr11,117327853,CEP164,ENSG00000110274.16,+,60.84375
29450,chr11,790090,CEND1,ENSG00000184524.6,-,60.84375
17352,chr6,72622189,KCNQ5,ENSG00000185760.18,+,60.875
4838,chr1,205813198,SLC41A1,ENSG00000133065.11,-,60.875
2428,chr1,205504668,CDK18,ENSG00000117266.16,+,60.90625
32801,chr12,12267044,LRP6,ENSG00000070018.9,-,60.9375
48367,chr19,56314839,ZSCAN5A,ENSG00000131848.10,-,60.96875
18233,chr6,33317744,ZBTB22,ENSG00000236104.3,-,60.96875
15374,chr5,178113531,N4BP3,ENSG00000145911.6,+,61.0625
16372,chr5,160400054,FAM200C,ENSG00000221886.4,-,61.0625
48068,chr19,49896887,IL4I1,ENSG00000104951.16,-,61.0625
18974,chr6,139291998,TXLNB,ENSG00000164440.15,-,61.0625
23256,chr8,94895254,CCNE2,ENSG00000175305.18,-,61.0625
20731,chr7,36367171,MATCAP2,ENSG00000164542.13,-,61.09375
21560,chr7,149126324,ZNF425,ENSG00000204947.9,-,61.125
13722,chr4,108168932,LEF1,ENSG00000138795.10,-,61.125
45236,chr19,12064730,ZNF844,ENSG00000223547.10,+,61.125
19998,chr7,102749027,FAM185A,ENSG00000222011.9,+,61.15625
23731,chr9,19409008,ACER2,ENSG00000177076.6,+,61.1875
47153,chr19,11738946,ZNF823,ENSG00000197933.13,-,61.1875
31011,chr11,125496277,FEZ1,ENSG00000149557.14,-,61.1875
8372,chr2,206765326,MDH1B,ENSG00000138400.13,-,61.21875
11106,chr3,71725402,EIF4E3,ENSG00000163412.13,-,61.28125
46028,chr19,42268536,CIC,ENSG00000079432.9,+,61.28125
50726,chr22,37807904,GCAT,ENSG00000100116.17,+,61.34375
36550,chr14,95319908,CLMN,ENSG00000165959.12,-,61.375
23690,chr9,5450502,CD274,ENSG00000120217.14,+,61.375
20495,chr7,954680,ADAP1,ENSG00000105963.15,-,61.40625
23872,chr9,68705239,PIP5K1B,ENSG00000107242.20,+,61.4375
41903,chr17,74213570,TTYH2,ENSG00000141540.11,+,61.4375
21580,chr7,150800367,TMEM176B,ENSG00000106565.19,-,61.46875
35162,chr14,51651857,FRMD6,ENSG00000139926.16,+,61.5
44454,chr18,26548553,KCTD1,ENSG00000134504.14,-,61.53125
50088,chr21,45981769,COL6A1,ENSG00000142156.16,+,61.53125
30407,chr11,68751520,TESMIN,ENSG00000132749.11,-,61.5625
22378,chr8,103371537,CTHRC1,ENSG00000164932.13,+,61.59375
7746,chr2,99154942,TSGA10,ENSG00000135951.16,-,61.625
47568,chr19,36379201,ZFP14,ENSG00000142065.14,-,61.625
1668,chr1,151156648,TNFAIP8L2,ENSG00000163154.6,+,61.6875
19074,chr6,158999781,RSPH3,ENSG00000130363.13,-,61.6875
7103,chr2,11466161,E2F6,ENSG00000169016.17,-,61.75
27022,chr10,62268707,RTKN2,ENSG00000182010.11,-,61.75
47381,chr19,18438167,ISYNA1,ENSG00000105655.19,-,61.78125
48734,chr20,32052241,HCK,ENSG00000101336.18,+,61.78125
43561,chr17,68291116,SLC16A6,ENSG00000108932.13,-,61.8125
28089,chr11,45805148,SLC35C1,ENSG00000181830.9,+,61.8125
46997,chr19,7294414,INSR,ENSG00000171105.14,-,61.8125
1666,chr1,151070760,GABPB2,ENSG00000143458.12,+,61.8125
53774,chrY,21534878,RBMY1A1,ENSG00000234414.8,+,61.8125
9368,chr3,51942362,PARP3,ENSG00000041880.15,+,61.84375
30639,chr11,86672385,ME3,ENSG00000151376.18,-,61.875
42172,chr17,82229041,SLC16A3,ENSG00000141526.18,+,61.90625
23148,chr8,78805523,IL7,ENSG00000104432.15,-,61.90625
31507,chr12,40224996,LRRK2,ENSG00000188906.17,+,61.9375
19471,chr7,40135004,SUGCT,ENSG00000175600.16,+,61.96875
36467,chr14,90816430,TTC7B,ENSG00000165914.15,-,62.0
9494,chr3,69739463,MITF,ENSG00000187098.18,+,62.03125
30096,chr11,60183040,MS4A6A,ENSG00000110077.15,-,62.09375
14201,chr5,34656327,RAI14,ENSG00000039560.14,+,62.09375
11984,chr4,674541,MYL5,ENSG00000215375.7,+,62.15625
37308,chr15,78565570,CHRNA5,ENSG00000169684.13,+,62.1875
11540,chr3,146469353,PLSCR2,ENSG00000163746.13,-,62.1875
30830,chr11,112164094,IL18,ENSG00000150782.12,-,62.21875
51768,chrX,46912420,JADE3,ENSG00000102221.14,+,62.21875
48404,chr19,57727624,ZNF671,ENSG00000083814.13,-,62.21875
37383,chr15,84981980,PDE8A,ENSG00000073417.15,+,62.21875
48534,chr20,3846833,MAVS,ENSG00000088888.18,+,62.25
51046,chr22,22508742,ZNF280B,ENSG00000275004.4,-,62.28125
49759,chr20,62407285,CABLES2,ENSG00000149679.12,-,62.28125
46084,chr19,44113398,ZNF225,ENSG00000256294.8,+,62.3125
28591,chr11,65879808,CTSW,ENSG00000172543.9,+,62.34375
180,chr1,10430432,CENPS,ENSG00000175279.22,+,62.34375
52929,chrX,46759118,SLC9A7,ENSG00000065923.10,-,62.34375
52603,chrX,153724855,ABCD1,ENSG00000101986.12,+,62.34375
42824,chr17,35119745,RAD51D,ENSG00000185379.21,-,62.40625
49440,chr20,25696853,ZNF337,ENSG00000130684.14,-,62.40625
19885,chr7,100049773,ZSCAN21,ENSG00000166529.16,+,62.40625
4760,chr1,201469188,PHLDA3,ENSG00000174307.7,-,62.40625
29311,chr11,124739941,NRGN,ENSG00000154146.13,+,62.40625
44305,chr18,63949300,HMSD,ENSG00000221887.6,+,62.46875
51060,chr22,23839006,DERL3,ENSG00000099958.15,-,62.46875
47424,chr19,19618687,PBX4,ENSG00000105717.14,-,62.5
18794,chr6,111605962,TRAF3IP2,ENSG00000056972.21,-,62.5
5175,chr2,6865726,RSAD2,ENSG00000134321.13,+,62.53125
40829,chr17,7352161,KCTD11,ENSG00000213859.8,+,62.5625
15729,chr5,71067652,GTF2H2,ENSG00000145736.15,-,62.59375
25168,chr9,107489766,KLF4,ENSG00000136826.15,-,62.59375
19599,chr7,66205333,TPST1,ENSG00000169902.15,+,62.625
18704,chr6,99394195,COQ3,ENSG00000132423.12,-,62.65625
6961,chr2,240560356,DUSP28,ENSG00000188542.10,+,62.65625
14390,chr5,67004619,MAST4,ENSG00000069020.19,+,62.65625
29955,chr11,46121010,PHF21A,ENSG00000135365.17,-,62.65625
45426,chr19,18001131,ARRDC2,ENSG00000105643.11,+,62.6875
45790,chr19,36687627,ZNF567,ENSG00000189042.14,+,62.6875
52701,chrX,2929339,ARSD,ENSG00000006756.16,-,62.6875
32619,chr12,3873355,PARP11,ENSG00000111224.14,-,62.71875
27515,chr10,125160563,CTBP2,ENSG00000175029.17,-,62.71875
3576,chr1,48472204,SPATA6,ENSG00000132122.12,-,62.71875
3534,chr1,46132629,PIK3R3,ENSG00000117461.15,-,62.75
33052,chr12,47904994,VDR,ENSG00000111424.12,-,62.75
17799,chr6,157981862,SYNJ2,ENSG00000078269.15,+,62.78125
43674,chr17,75844350,UNC13D,ENSG00000092929.13,-,62.78125
24602,chr9,137423349,NOXA1,ENSG00000188747.9,+,62.8125
47443,chr19,20039462,ZNF682,ENSG00000197124.12,-,62.8125
23910,chr9,75890643,PCSK5,ENSG00000099139.14,+,62.84375
42249,chr17,1109100,ABR,ENSG00000159842.16,-,62.875
23414,chr8,120445150,MRPL13,ENSG00000172172.8,-,62.875
50610,chr22,30635780,SLC35E4,ENSG00000100036.13,+,62.9375
12465,chr4,74933115,PARM1,ENSG00000169116.11,+,62.9375
13218,chr4,22516066,ADGRA3,ENSG00000152990.14,-,62.9375
9178,chr3,44338118,TCAIM,ENSG00000179152.20,+,62.9375
52380,chrX,130171961,RAB33A,ENSG00000134594.5,+,62.96875
24435,chr9,131096541,AIF1L,ENSG00000126878.13,+,62.96875
10807,chr3,49018564,DALRD3,ENSG00000178149.17,-,63.0
22183,chr8,66775180,SGK3,ENSG00000104205.16,+,63.0
40002,chr16,18926408,SMG1,ENSG00000157106.18,-,63.0
37189,chr15,72118402,SENP8,ENSG00000166192.15,+,63.03125
48226,chr19,52923428,ZNF888,ENSG00000213793.6,-,63.03125
39883,chr16,5033934,NAGPA,ENSG00000103174.13,-,63.0625
3172,chr1,23531233,E2F2,ENSG00000007968.7,-,63.0625
