,0,context,seq_id,cell_line
two_cres_shuffled,62.072403,enhancing,MIF4GD_chr17_75271227_-,PC-3
wt,46.031036,enhancing,EML2_chr19_45639397_-,PC-3
greedy_it1,48.128918,enhancing,EML2_chr19_45639397_-,PC-3
greedy_it2,44.356277,enhancing,EML2_chr19_45639397_-,PC-3
two_cres_shuffled,49.69915,enhancing,EML2_chr19_45639397_-,PC-3
wt,39.89003,enhancing,DKK3_chr11_12008626_-,PC-3
greedy_it1,43.80371,enhancing,DKK3_chr11_12008626_-,PC-3
greedy_it2,43.008892,enhancing,DKK3_chr11_12008626_-,PC-3
two_cres_shuffled,46.13919,enhancing,DKK3_chr11_12008626_-,PC-3
wt,148.87082,enhancing,UROD_chr1_45012247_+,PC-3
greedy_it1,155.81203,enhancing,UROD_chr1_45012247_+,PC-3
greedy_it2,148.73978,enhancing,UROD_chr1_45012247_+,PC-3
two_cres_shuffled,157.87653,enhancing,UROD_chr1_45012247_+,PC-3
wt,292.1254,enhancing,ATP5PD_chr17_75046969_-,PC-3
greedy_it1,297.72253,enhancing,ATP5PD_chr17_75046969_-,PC-3
greedy_it2,297.0329,enhancing,ATP5PD_chr17_75046969_-,PC-3
two_cres_shuffled,302.92395,enhancing,ATP5PD_chr17_75046969_-,PC-3
wt,215.04485,enhancing,RUVBL1_chr3_128123812_-,PC-3
greedy_it1,216.84668,enhancing,RUVBL1_chr3_128123812_-,PC-3
greedy_it2,214.59311,enhancing,RUVBL1_chr3_128123812_-,PC-3
two_cres_shuffled,217.82909,enhancing,RUVBL1_chr3_128123812_-,PC-3
wt,251.28174,enhancing,HADHB_chr2_26244938_+,PC-3
greedy_it1,260.5675,enhancing,HADHB_chr2_26244938_+,PC-3
greedy_it2,257.73364,enhancing,HADHB_chr2_26244938_+,PC-3
two_cres_shuffled,271.3784,enhancing,HADHB_chr2_26244938_+,PC-3
wt,18.561543,enhancing,ZNF619_chr3_40477141_+,PC-3
greedy_it1,24.042841,enhancing,ZNF619_chr3_40477141_+,PC-3
greedy_it2,20.845863,enhancing,ZNF619_chr3_40477141_+,PC-3
two_cres_shuffled,28.532902,enhancing,ZNF619_chr3_40477141_+,PC-3
wt,72.108,enhancing,SAAL1_chr11_18106082_-,PC-3
greedy_it1,76.914474,enhancing,SAAL1_chr11_18106082_-,PC-3
greedy_it2,76.88988,enhancing,SAAL1_chr11_18106082_-,PC-3
two_cres_shuffled,80.99262,enhancing,SAAL1_chr11_18106082_-,PC-3
wt,90.94806,enhancing,TCTN1_chr12_110614128_+,PC-3
greedy_it1,95.09038,enhancing,TCTN1_chr12_110614128_+,PC-3
greedy_it2,92.16302,enhancing,TCTN1_chr12_110614128_+,PC-3
two_cres_shuffled,96.24359,enhancing,TCTN1_chr12_110614128_+,PC-3
wt,16.73048,enhancing,BOK_chr2_241558744_+,PC-3
greedy_it1,17.834631,enhancing,BOK_chr2_241558744_+,PC-3
greedy_it2,17.498734,enhancing,BOK_chr2_241558744_+,PC-3
two_cres_shuffled,19.22942,enhancing,BOK_chr2_241558744_+,PC-3
wt,19.688007,enhancing,LIMS1_chr2_108621265_+,PC-3
greedy_it1,21.699436,enhancing,LIMS1_chr2_108621265_+,PC-3
greedy_it2,21.418919,enhancing,LIMS1_chr2_108621265_+,PC-3
two_cres_shuffled,23.359186,enhancing,LIMS1_chr2_108621265_+,PC-3
wt,56.779114,enhancing,ALKBH2_chr12_109093472_-,PC-3
greedy_it1,65.65319,enhancing,ALKBH2_chr12_109093472_-,PC-3
greedy_it2,59.33642,enhancing,ALKBH2_chr12_109093472_-,PC-3
two_cres_shuffled,68.475685,enhancing,ALKBH2_chr12_109093472_-,PC-3
wt,19.421024,enhancing,CUL9_chr6_43182195_+,PC-3
greedy_it1,22.030321,enhancing,CUL9_chr6_43182195_+,PC-3
greedy_it2,20.751438,enhancing,CUL9_chr6_43182195_+,PC-3
two_cres_shuffled,24.98106,enhancing,CUL9_chr6_43182195_+,PC-3
wt,15.369684,enhancing,FOLR1_chr11_72192139_+,PC-3
greedy_it1,18.50742,enhancing,FOLR1_chr11_72192139_+,PC-3
greedy_it2,17.883686,enhancing,FOLR1_chr11_72192139_+,PC-3
two_cres_shuffled,22.16159,enhancing,FOLR1_chr11_72192139_+,PC-3
wt,19.933655,enhancing,SPNS2_chr17_4498880_+,PC-3
greedy_it1,21.18554,enhancing,SPNS2_chr17_4498880_+,PC-3
greedy_it2,20.778513,enhancing,SPNS2_chr17_4498880_+,PC-3
two_cres_shuffled,22.577784,enhancing,SPNS2_chr17_4498880_+,PC-3
wt,21.402374,enhancing,FBXO17_chr19_38975742_-,PC-3
greedy_it1,23.114674,enhancing,FBXO17_chr19_38975742_-,PC-3
greedy_it2,21.174458,enhancing,FBXO17_chr19_38975742_-,PC-3
two_cres_shuffled,23.73433,enhancing,FBXO17_chr19_38975742_-,PC-3
wt,21.662846,enhancing,NT5C3A_chr7_33040909_-,PC-3
greedy_it1,29.510061,enhancing,NT5C3A_chr7_33040909_-,PC-3
greedy_it2,22.571148,enhancing,NT5C3A_chr7_33040909_-,PC-3
two_cres_shuffled,31.527185,enhancing,NT5C3A_chr7_33040909_-,PC-3
wt,44.509674,enhancing,DNAAF10_chr2_68157527_-,PC-3
greedy_it1,44.96595,enhancing,DNAAF10_chr2_68157527_-,PC-3
greedy_it2,44.119728,enhancing,DNAAF10_chr2_68157527_-,PC-3
two_cres_shuffled,45.688995,enhancing,DNAAF10_chr2_68157527_-,PC-3
wt,24.127214,enhancing,TNFSF12_chr17_7549062_+,PC-3
greedy_it1,25.797558,enhancing,TNFSF12_chr17_7549062_+,PC-3
greedy_it2,25.161568,enhancing,TNFSF12_chr17_7549062_+,PC-3
two_cres_shuffled,27.201199,enhancing,TNFSF12_chr17_7549062_+,PC-3
wt,106.09271,enhancing,BPNT1_chr1_220089788_-,PC-3
greedy_it1,119.28574,enhancing,BPNT1_chr1_220089788_-,PC-3
greedy_it2,110.657104,enhancing,BPNT1_chr1_220089788_-,PC-3
two_cres_shuffled,122.508995,enhancing,BPNT1_chr1_220089788_-,PC-3
wt,55.785385,enhancing,TMBIM1_chr2_218292503_-,PC-3
greedy_it1,59.131725,enhancing,TMBIM1_chr2_218292503_-,PC-3
greedy_it2,57.718346,enhancing,TMBIM1_chr2_218292503_-,PC-3
two_cres_shuffled,61.04732,enhancing,TMBIM1_chr2_218292503_-,PC-3
wt,19.673347,enhancing,THRA_chr17_40062964_+,PC-3
greedy_it1,22.228289,enhancing,THRA_chr17_40062964_+,PC-3
greedy_it2,20.979929,enhancing,THRA_chr17_40062964_+,PC-3
two_cres_shuffled,23.566576,enhancing,THRA_chr17_40062964_+,PC-3
wt,35.58365,enhancing,PLLP_chr16_57284661_-,PC-3
greedy_it1,37.725655,enhancing,PLLP_chr16_57284661_-,PC-3
greedy_it2,37.127438,enhancing,PLLP_chr16_57284661_-,PC-3
two_cres_shuffled,38.782936,enhancing,PLLP_chr16_57284661_-,PC-3
wt,63.98787,enhancing,CAPG_chr2_85414074_-,PC-3
greedy_it1,65.65837,enhancing,CAPG_chr2_85414074_-,PC-3
greedy_it2,64.74573,enhancing,CAPG_chr2_85414074_-,PC-3
two_cres_shuffled,66.78095,enhancing,CAPG_chr2_85414074_-,PC-3
wt,19.90279,enhancing,F2RL2_chr5_76623403_-,PC-3
greedy_it1,21.84966,enhancing,F2RL2_chr5_76623403_-,PC-3
greedy_it2,20.560131,enhancing,F2RL2_chr5_76623403_-,PC-3
two_cres_shuffled,23.070303,enhancing,F2RL2_chr5_76623403_-,PC-3
wt,255.80515,enhancing,COMMD6_chr13_75537841_-,PC-3
greedy_it1,261.1468,enhancing,COMMD6_chr13_75537841_-,PC-3
greedy_it2,258.31207,enhancing,COMMD6_chr13_75537841_-,PC-3
two_cres_shuffled,265.1957,enhancing,COMMD6_chr13_75537841_-,PC-3
wt,20.75644,enhancing,RGS4_chr1_163069360_+,PC-3
greedy_it1,22.263544,enhancing,RGS4_chr1_163069360_+,PC-3
greedy_it2,21.345058,enhancing,RGS4_chr1_163069360_+,PC-3
two_cres_shuffled,22.555727,enhancing,RGS4_chr1_163069360_+,PC-3
wt,101.59675,enhancing,MCRIP1_chr17_81833256_-,PC-3
greedy_it1,113.32522,enhancing,MCRIP1_chr17_81833256_-,PC-3
greedy_it2,105.105774,enhancing,MCRIP1_chr17_81833256_-,PC-3
two_cres_shuffled,116.55455,enhancing,MCRIP1_chr17_81833256_-,PC-3
wt,229.3726,enhancing,SCP2_chr1_53014973_+,PC-3
greedy_it1,231.09885,enhancing,SCP2_chr1_53014973_+,PC-3
greedy_it2,230.91167,enhancing,SCP2_chr1_53014973_+,PC-3
two_cres_shuffled,236.02058,enhancing,SCP2_chr1_53014973_+,PC-3
wt,33.984756,enhancing,GALNT5_chr2_157257704_+,PC-3
greedy_it1,35.42397,enhancing,GALNT5_chr2_157257704_+,PC-3
greedy_it2,34.66317,enhancing,GALNT5_chr2_157257704_+,PC-3
two_cres_shuffled,37.087402,enhancing,GALNT5_chr2_157257704_+,PC-3
wt,31.922615,enhancing,DNMT3B_chr20_32762384_+,PC-3
greedy_it1,34.9554,enhancing,DNMT3B_chr20_32762384_+,PC-3
greedy_it2,33.22187,enhancing,DNMT3B_chr20_32762384_+,PC-3
two_cres_shuffled,38.202686,enhancing,DNMT3B_chr20_32762384_+,PC-3
wt,23.403173,enhancing,CDH2_chr18_28177130_-,PC-3
greedy_it1,25.022804,enhancing,CDH2_chr18_28177130_-,PC-3
greedy_it2,24.65037,enhancing,CDH2_chr18_28177130_-,PC-3
two_cres_shuffled,26.257586,enhancing,CDH2_chr18_28177130_-,PC-3
wt,29.252691,enhancing,ADAMTSL1_chr9_18474168_+,PC-3
greedy_it1,30.737701,enhancing,ADAMTSL1_chr9_18474168_+,PC-3
greedy_it2,29.975336,enhancing,ADAMTSL1_chr9_18474168_+,PC-3
two_cres_shuffled,31.375069,enhancing,ADAMTSL1_chr9_18474168_+,PC-3
wt,118.66197,enhancing,CIBAR1_chr8_93700581_+,PC-3
greedy_it1,122.68738,enhancing,CIBAR1_chr8_93700581_+,PC-3
greedy_it2,120.31626,enhancing,CIBAR1_chr8_93700581_+,PC-3
two_cres_shuffled,124.611176,enhancing,CIBAR1_chr8_93700581_+,PC-3
wt,61.632236,enhancing,IFT46_chr11_118565931_-,PC-3
greedy_it1,63.753197,enhancing,IFT46_chr11_118565931_-,PC-3
greedy_it2,62.71769,enhancing,IFT46_chr11_118565931_-,PC-3
two_cres_shuffled,65.53545,enhancing,IFT46_chr11_118565931_-,PC-3
wt,57.75036,enhancing,GALE_chr1_23800754_-,PC-3
greedy_it1,63.412464,enhancing,GALE_chr1_23800754_-,PC-3
greedy_it2,60.71466,enhancing,GALE_chr1_23800754_-,PC-3
two_cres_shuffled,66.75762,enhancing,GALE_chr1_23800754_-,PC-3
wt,37.124115,enhancing,NME6_chr3_48301394_-,PC-3
greedy_it1,40.86413,enhancing,NME6_chr3_48301394_-,PC-3
greedy_it2,39.575115,enhancing,NME6_chr3_48301394_-,PC-3
two_cres_shuffled,43.397236,enhancing,NME6_chr3_48301394_-,PC-3
wt,53.61007,enhancing,ARHGAP23_chr17_38453689_+,PC-3
greedy_it1,58.502758,enhancing,ARHGAP23_chr17_38453689_+,PC-3
greedy_it2,56.405376,enhancing,ARHGAP23_chr17_38453689_+,PC-3
two_cres_shuffled,62.004982,enhancing,ARHGAP23_chr17_38453689_+,PC-3
wt,88.26505,enhancing,LDLR_chr19_11089462_+,PC-3
greedy_it1,89.88398,enhancing,LDLR_chr19_11089462_+,PC-3
greedy_it2,88.99324,enhancing,LDLR_chr19_11089462_+,PC-3
two_cres_shuffled,90.792244,enhancing,LDLR_chr19_11089462_+,PC-3
wt,19.643055,enhancing,ARHGEF38_chr4_105552619_+,PC-3
greedy_it1,20.282673,enhancing,ARHGEF38_chr4_105552619_+,PC-3
greedy_it2,20.265873,enhancing,ARHGEF38_chr4_105552619_+,PC-3
two_cres_shuffled,20.90615,enhancing,ARHGEF38_chr4_105552619_+,PC-3
wt,81.56939,enhancing,APOOL_chrX_85003876_+,PC-3
greedy_it1,87.27777,enhancing,APOOL_chrX_85003876_+,PC-3
greedy_it2,85.95241,enhancing,APOOL_chrX_85003876_+,PC-3
two_cres_shuffled,89.76276,enhancing,APOOL_chrX_85003876_+,PC-3
wt,25.813738,enhancing,ACAD11_chr3_132659844_-,PC-3
greedy_it1,26.802607,enhancing,ACAD11_chr3_132659844_-,PC-3
greedy_it2,26.714575,enhancing,ACAD11_chr3_132659844_-,PC-3
two_cres_shuffled,27.921848,enhancing,ACAD11_chr3_132659844_-,PC-3
wt,20.167599,enhancing,GLS2_chr12_56488161_-,PC-3
greedy_it1,21.29871,enhancing,GLS2_chr12_56488161_-,PC-3
greedy_it2,21.026838,enhancing,GLS2_chr12_56488161_-,PC-3
two_cres_shuffled,22.323952,enhancing,GLS2_chr12_56488161_-,PC-3
wt,18.847569,enhancing,IGFN1_chr1_201190823_+,PC-3
greedy_it1,20.155354,enhancing,IGFN1_chr1_201190823_+,PC-3
greedy_it2,19.111881,enhancing,IGFN1_chr1_201190823_+,PC-3
two_cres_shuffled,22.307064,enhancing,IGFN1_chr1_201190823_+,PC-3
wt,67.62113,enhancing,RIPOR1_chr16_67528880_+,PC-3
greedy_it1,69.21863,enhancing,RIPOR1_chr16_67528880_+,PC-3
greedy_it2,68.351524,enhancing,RIPOR1_chr16_67528880_+,PC-3
two_cres_shuffled,70.18934,enhancing,RIPOR1_chr16_67528880_+,PC-3
wt,20.519121,enhancing,CGN_chr1_151511386_+,PC-3
greedy_it1,21.346832,enhancing,CGN_chr1_151511386_+,PC-3
greedy_it2,21.178839,enhancing,CGN_chr1_151511386_+,PC-3
two_cres_shuffled,22.100939,enhancing,CGN_chr1_151511386_+,PC-3
wt,39.480545,enhancing,LURAP1L_chr9_12775019_+,PC-3
greedy_it1,40.404488,enhancing,LURAP1L_chr9_12775019_+,PC-3
greedy_it2,40.39778,enhancing,LURAP1L_chr9_12775019_+,PC-3
two_cres_shuffled,41.25222,enhancing,LURAP1L_chr9_12775019_+,PC-3
wt,29.046715,enhancing,CSPG4_chr15_75712848_-,PC-3
greedy_it1,30.429907,enhancing,CSPG4_chr15_75712848_-,PC-3
greedy_it2,29.604828,enhancing,CSPG4_chr15_75712848_-,PC-3
two_cres_shuffled,31.413107,enhancing,CSPG4_chr15_75712848_-,PC-3
wt,16.966358,enhancing,TCN2_chr22_30607203_+,PC-3
greedy_it1,17.762178,enhancing,TCN2_chr22_30607203_+,PC-3
greedy_it2,17.666096,enhancing,TCN2_chr22_30607203_+,PC-3
two_cres_shuffled,18.60638,enhancing,TCN2_chr22_30607203_+,PC-3
wt,19.896639,enhancing,AKR1C2_chr10_5003857_-,PC-3
greedy_it1,21.267277,enhancing,AKR1C2_chr10_5003857_-,PC-3
greedy_it2,20.688602,enhancing,AKR1C2_chr10_5003857_-,PC-3
two_cres_shuffled,21.930431,enhancing,AKR1C2_chr10_5003857_-,PC-3
wt,20.116108,enhancing,SLC19A3_chr2_227718010_-,PC-3
greedy_it1,23.240005,enhancing,SLC19A3_chr2_227718010_-,PC-3
greedy_it2,22.563818,enhancing,SLC19A3_chr2_227718010_-,PC-3
two_cres_shuffled,25.3538,enhancing,SLC19A3_chr2_227718010_-,PC-3
wt,14.969557,enhancing,FBXO16_chr8_28490237_-,PC-3
greedy_it1,15.82104,enhancing,FBXO16_chr8_28490237_-,PC-3
greedy_it2,15.231598,enhancing,FBXO16_chr8_28490237_-,PC-3
two_cres_shuffled,16.234354,enhancing,FBXO16_chr8_28490237_-,PC-3
wt,15.377079,enhancing,MCTS2_chr20_31547378_+,PC-3
greedy_it1,26.56516,enhancing,MCTS2_chr20_31547378_+,PC-3
greedy_it2,23.336637,enhancing,MCTS2_chr20_31547378_+,PC-3
two_cres_shuffled,34.476147,enhancing,MCTS2_chr20_31547378_+,PC-3
wt,39.73558,enhancing,PAFAH1B3_chr19_42302624_-,PC-3
greedy_it1,41.88623,enhancing,PAFAH1B3_chr19_42302624_-,PC-3
greedy_it2,40.461773,enhancing,PAFAH1B3_chr19_42302624_-,PC-3
two_cres_shuffled,42.450333,enhancing,PAFAH1B3_chr19_42302624_-,PC-3
wt,16.47759,enhancing,CCDC191_chr3_114056526_-,PC-3
greedy_it1,17.111416,enhancing,CCDC191_chr3_114056526_-,PC-3
greedy_it2,16.859516,enhancing,CCDC191_chr3_114056526_-,PC-3
two_cres_shuffled,17.492086,enhancing,CCDC191_chr3_114056526_-,PC-3
wt,40.58931,enhancing,TMEM92_chr17_50274465_+,PC-3
greedy_it1,42.422615,enhancing,TMEM92_chr17_50274465_+,PC-3
greedy_it2,41.594692,enhancing,TMEM92_chr17_50274465_+,PC-3
two_cres_shuffled,43.629868,enhancing,TMEM92_chr17_50274465_+,PC-3
wt,97.95868,enhancing,BCL9L_chr11_118925926_-,PC-3
greedy_it1,102.30032,enhancing,BCL9L_chr11_118925926_-,PC-3
greedy_it2,99.735565,enhancing,BCL9L_chr11_118925926_-,PC-3
two_cres_shuffled,106.32509,enhancing,BCL9L_chr11_118925926_-,PC-3
wt,35.063152,enhancing,DNASE1L1_chrX_154409254_-,PC-3
greedy_it1,36.514816,enhancing,DNASE1L1_chrX_154409254_-,PC-3
greedy_it2,36.46094,enhancing,DNASE1L1_chrX_154409254_-,PC-3
two_cres_shuffled,37.798225,enhancing,DNASE1L1_chrX_154409254_-,PC-3
wt,240.68802,enhancing,MRPS21_chr1_150293860_+,PC-3
greedy_it1,244.0571,enhancing,MRPS21_chr1_150293860_+,PC-3
greedy_it2,241.58725,enhancing,MRPS21_chr1_150293860_+,PC-3
two_cres_shuffled,245.46112,enhancing,MRPS21_chr1_150293860_+,PC-3
wt,26.662704,enhancing,ANXA8L1_chr10_46375675_+,PC-3
greedy_it1,27.961304,enhancing,ANXA8L1_chr10_46375675_+,PC-3
greedy_it2,27.693583,enhancing,ANXA8L1_chr10_46375675_+,PC-3
two_cres_shuffled,29.270351,enhancing,ANXA8L1_chr10_46375675_+,PC-3
wt,98.07869,enhancing,POLR3GL_chr1_145964689_+,PC-3
greedy_it1,100.59651,enhancing,POLR3GL_chr1_145964689_+,PC-3
greedy_it2,99.928154,enhancing,POLR3GL_chr1_145964689_+,PC-3
two_cres_shuffled,103.554955,enhancing,POLR3GL_chr1_145964689_+,PC-3
wt,16.223839,enhancing,ADAMTSL4_chr1_150549407_+,PC-3
greedy_it1,21.745152,enhancing,ADAMTSL4_chr1_150549407_+,PC-3
greedy_it2,21.472055,enhancing,ADAMTSL4_chr1_150549407_+,PC-3
two_cres_shuffled,26.440718,enhancing,ADAMTSL4_chr1_150549407_+,PC-3
wt,29.43853,enhancing,CYB5R3_chr22_42649362_-,PC-3
greedy_it1,32.3431,enhancing,CYB5R3_chr22_42649362_-,PC-3
greedy_it2,30.199793,enhancing,CYB5R3_chr22_42649362_-,PC-3
two_cres_shuffled,33.39142,enhancing,CYB5R3_chr22_42649362_-,PC-3
wt,57.394157,enhancing,CST6_chr11_66012007_+,PC-3
greedy_it1,58.173088,enhancing,CST6_chr11_66012007_+,PC-3
greedy_it2,58.078136,enhancing,CST6_chr11_66012007_+,PC-3
two_cres_shuffled,59.059048,enhancing,CST6_chr11_66012007_+,PC-3
wt,15.702977,enhancing,GEM_chr8_94262319_-,PC-3
greedy_it1,16.725927,enhancing,GEM_chr8_94262319_-,PC-3
greedy_it2,16.623161,enhancing,GEM_chr8_94262319_-,PC-3
two_cres_shuffled,17.85289,enhancing,GEM_chr8_94262319_-,PC-3
wt,115.828445,enhancing,ENSG00000290146_chr12_6970920_+,PC-3
greedy_it1,120.85448,enhancing,ENSG00000290146_chr12_6970920_+,PC-3
greedy_it2,119.87429,enhancing,ENSG00000290146_chr12_6970920_+,PC-3
two_cres_shuffled,124.510704,enhancing,ENSG00000290146_chr12_6970920_+,PC-3
wt,17.177938,enhancing,PABIR3_chrX_134807280_+,PC-3
greedy_it1,24.754597,enhancing,PABIR3_chrX_134807280_+,PC-3
greedy_it2,18.511732,enhancing,PABIR3_chrX_134807280_+,PC-3
two_cres_shuffled,26.371716,enhancing,PABIR3_chrX_134807280_+,PC-3
