,trace,hypothetical_trace,sorted_effects,log_trace,log_hypothetical_trace,log_sorted_effects,cell_line,context,seq_id
23,0.002928315,-0.080919564,-0.056826256,-0.24725202,0.7029602,-0.012572358,PC-3,enhancing,SQOR_chr15_45635028_+
24,0.0028592998,-0.13774581,-0.007541892,-0.25235158,0.69038785,-0.0016194509,PC-3,enhancing,SQOR_chr15_45635028_+
0,1.0,1.0,-0.3620314,1.0,1.0,-0.16637786,PC-3,enhancing,KLHDC8B_chr3_49171597_+
1,0.639351,0.6379686,-0.20469433,0.8361239,0.83362216,-0.08412566,PC-3,enhancing,KLHDC8B_chr3_49171597_+
2,0.45308444,0.43327427,-0.17101066,0.7099565,0.74949646,-0.068915844,PC-3,enhancing,KLHDC8B_chr3_49171597_+
3,0.32780966,0.26226363,-0.049632184,0.5913839,0.6805806,-0.018751357,PC-3,enhancing,KLHDC8B_chr3_49171597_+
4,0.2679261,0.21263143,-0.059482876,0.51747984,0.6618293,-0.022918053,PC-3,enhancing,KLHDC8B_chr3_49171597_+
5,0.22528358,0.15314856,-0.0043819365,0.45396984,0.63891125,-0.001808812,PC-3,enhancing,KLHDC8B_chr3_49171597_+
6,0.19310033,0.14876662,-0.04468453,0.39749447,0.6371024,-0.016790908,PC-3,enhancing,KLHDC8B_chr3_49171597_+
7,0.1700748,0.10408209,-0.024588553,0.3509764,0.6203115,-0.009192291,PC-3,enhancing,KLHDC8B_chr3_49171597_+
8,0.15744017,0.07949354,-0.02110059,0.32269558,0.6111192,-0.008402136,PC-3,enhancing,KLHDC8B_chr3_49171597_+
9,0.11848098,0.058392946,-0.006463601,0.21854027,0.6027171,-0.0023891553,PC-3,enhancing,KLHDC8B_chr3_49171597_+
10,0.10768143,0.051929343,-0.0058644037,0.18352474,0.6003279,-0.0022298316,PC-3,enhancing,KLHDC8B_chr3_49171597_+
11,0.0975696,0.04606494,0.119737945,0.14739694,0.5980981,0.04131355,PC-3,enhancing,KLHDC8B_chr3_49171597_+
12,0.09177098,0.16580288,-0.027725985,0.12494974,0.6394116,-0.010340748,PC-3,enhancing,KLHDC8B_chr3_49171597_+
13,0.08488993,0.1380769,0.0027084907,0.09639497,0.6290709,0.0009253696,PC-3,enhancing,KLHDC8B_chr3_49171597_+
14,0.07776653,0.1407854,-0.0028493758,0.06428502,0.62999624,-0.0010463473,PC-3,enhancing,KLHDC8B_chr3_49171597_+
15,0.072216086,0.13793601,-0.0022613176,0.037156265,0.62894994,-0.00083417783,PC-3,enhancing,KLHDC8B_chr3_49171597_+
16,0.067013465,0.1356747,0.0038907058,0.009763359,0.6281157,0.001420286,PC-3,enhancing,KLHDC8B_chr3_49171597_+
17,0.063532054,0.13956541,0.012837158,-0.0097819185,0.62953603,0.004577846,PC-3,enhancing,KLHDC8B_chr3_49171597_+
18,0.059415963,0.15240256,0.005160912,-0.03432173,0.63411385,0.0018744981,PC-3,enhancing,KLHDC8B_chr3_49171597_+
19,0.055206295,0.15756348,0.0017020709,-0.061244458,0.63598835,0.0005974635,PC-3,enhancing,KLHDC8B_chr3_49171597_+
20,0.052201487,0.15926555,0.008781671,-0.08174851,0.63658583,0.003188743,PC-3,enhancing,KLHDC8B_chr3_49171597_+
21,0.05008753,0.16804722,0.009287775,-0.09689367,0.63977456,0.0033064014,PC-3,enhancing,KLHDC8B_chr3_49171597_+
22,0.047466274,0.177335,0.047235023,-0.11658683,0.64308095,0.016813269,PC-3,enhancing,KLHDC8B_chr3_49171597_+
23,0.044377275,0.22457,-0.008720811,-0.14124028,0.6598942,-0.0032172187,PC-3,enhancing,KLHDC8B_chr3_49171597_+
24,0.043352358,0.21584919,0.023159603,-0.14980094,0.656677,0.008373398,PC-3,enhancing,KLHDC8B_chr3_49171597_+
0,1.0,1.0,-0.4997943,1.0,1.0,-0.20538583,PC-3,enhancing,SMPDL3B_chr1_27934999_+
1,0.5041811,0.5002057,-0.21785077,0.7979446,0.79461414,-0.07259158,PC-3,enhancing,SMPDL3B_chr1_27934999_+
2,0.33307713,0.28235492,-0.13273469,0.6756286,0.7220226,-0.042119246,PC-3,enhancing,SMPDL3B_chr1_27934999_+
3,0.25623932,0.14962023,-0.24927394,0.59824836,0.6799033,-0.08541523,PC-3,enhancing,SMPDL3B_chr1_27934999_+
4,0.14906175,-0.0996537,-0.14225064,0.4384052,0.5944881,-0.04590227,PC-3,enhancing,SMPDL3B_chr1_27934999_+
5,0.07971466,-0.24190435,-0.19511724,0.25373188,0.54858583,-0.06444568,PC-3,enhancing,SMPDL3B_chr1_27934999_+
6,0.05042051,-0.43702158,-0.015550921,0.11858303,0.48414016,-0.0046477765,PC-3,enhancing,SMPDL3B_chr1_27934999_+
7,0.03318675,-0.4525725,-0.025025379,-0.004820491,0.47949237,-0.007509559,PC-3,enhancing,SMPDL3B_chr1_27934999_+
8,0.026440786,-0.47759783,-0.059455022,-0.07186828,0.4719828,-0.01812746,PC-3,enhancing,SMPDL3B_chr1_27934999_+
9,0.02085458,-0.5370528,-0.009425108,-0.14189352,0.45385537,-0.0028240073,PC-3,enhancing,SMPDL3B_chr1_27934999_+
10,0.0170575,-0.546478,-0.17876926,-0.20119353,0.45103136,-0.059374567,PC-3,enhancing,SMPDL3B_chr1_27934999_+
11,0.012132804,-0.7252472,-0.023644935,-0.30170998,0.3916568,-0.0071338452,PC-3,enhancing,SMPDL3B_chr1_27934999_+
12,0.0104881795,-0.7488921,-0.014397409,-0.34468803,0.38452294,-0.00432039,PC-3,enhancing,SMPDL3B_chr1_27934999_+
13,0.009147081,-0.7632896,0.0016561466,-0.38505492,0.38020253,0.0004529526,PC-3,enhancing,SMPDL3B_chr1_27934999_+
14,0.007962532,-0.7616334,-0.0019522456,-0.42597458,0.3806555,-0.00058084016,PC-3,enhancing,SMPDL3B_chr1_27934999_+
15,0.007175811,-0.7635856,0.0034266922,-0.4566689,0.38007465,0.0009991829,PC-3,enhancing,SMPDL3B_chr1_27934999_+
16,0.0064397166,-0.76015896,0.010213612,-0.48860243,0.38107383,0.0029828467,PC-3,enhancing,SMPDL3B_chr1_27934999_+
17,0.0058561484,-0.7499453,0.027830277,-0.5166299,0.3840567,0.008005563,PC-3,enhancing,SMPDL3B_chr1_27934999_+
18,0.005206112,-0.72211504,0.0006934712,-0.551345,0.39206225,0.00019703685,PC-3,enhancing,SMPDL3B_chr1_27934999_+
19,0.004674288,-0.7214216,-0.0006835626,-0.58313847,0.3922593,-0.0002035086,PC-3,enhancing,SMPDL3B_chr1_27934999_+
20,0.004288554,-0.72210515,0.016166475,-0.6085502,0.39205578,0.0047135493,PC-3,enhancing,SMPDL3B_chr1_27934999_+
21,0.003887522,-0.70593864,-0.011253755,-0.6375174,0.39676932,-0.0033836735,PC-3,enhancing,SMPDL3B_chr1_27934999_+
22,0.0035153737,-0.7171924,-0.0048977286,-0.66720706,0.39338565,-0.0014517135,PC-3,enhancing,SMPDL3B_chr1_27934999_+
23,0.003204266,-0.7220901,-0.00025485613,-0.6945471,0.39193395,-7.6887285e-05,PC-3,enhancing,SMPDL3B_chr1_27934999_+
24,0.0031667617,-0.7223449,0.002830827,-0.6980209,0.39185706,0.00082205376,PC-3,enhancing,SMPDL3B_chr1_27934999_+
0,1.0,1.0,-0.21697015,1.0,1.0,-0.082967736,PC-3,enhancing,PKIG_chr20_44531908_+
1,0.74853235,0.78302985,-0.20719141,0.9032132,0.91703224,-0.078060284,PC-3,enhancing,PKIG_chr20_44531908_+
2,0.6246064,0.57583845,-0.19295162,0.8427324,0.838972,-0.07203586,PC-3,enhancing,PKIG_chr20_44531908_+
3,0.514845,0.38288683,-0.12390348,0.77815384,0.7669361,-0.044255156,PC-3,enhancing,PKIG_chr20_44531908_+
4,0.4178995,0.25898334,-0.08574415,0.7084394,0.722681,-0.030354608,PC-3,enhancing,PKIG_chr20_44531908_+
5,0.3262297,0.17323925,-0.07358605,0.625688,0.69232637,-0.026015606,PC-3,enhancing,PKIG_chr20_44531908_+
6,0.25816402,0.0996532,-0.051238637,0.547492,0.6663107,-0.018963672,PC-3,enhancing,PKIG_chr20_44531908_+
7,0.20208302,0.048414562,-0.07376103,0.46565044,0.6473471,-0.025768548,PC-3,enhancing,PKIG_chr20_44531908_+
8,0.16422471,-0.025346467,-0.03546881,0.39633107,0.6215785,-0.012159992,PC-3,enhancing,PKIG_chr20_44531908_+
9,0.14413236,-0.06081528,-0.01897352,0.35272184,0.6094185,-0.0064544063,PC-3,enhancing,PKIG_chr20_44531908_+
10,0.12664734,-0.0797888,0.017222667,0.30950618,0.6029641,0.005687899,PC-3,enhancing,PKIG_chr20_44531908_+
11,0.11027857,-0.06256613,-0.044761408,0.26325935,0.60865206,-0.015473558,PC-3,enhancing,PKIG_chr20_44531908_+
12,0.094576605,-0.10732754,-0.024660133,0.21193233,0.59317845,-0.008352072,PC-3,enhancing,PKIG_chr20_44531908_+
13,0.08348268,-0.13198768,-0.031884924,0.17023872,0.5848264,-0.010859056,PC-3,enhancing,PKIG_chr20_44531908_+
14,0.07442182,-0.1638726,-0.020265732,0.1318469,0.57396734,-0.00684503,PC-3,enhancing,PKIG_chr20_44531908_+
15,0.06665863,-0.18413833,-0.016329303,0.09503413,0.56712234,-0.005532781,PC-3,enhancing,PKIG_chr20_44531908_+
16,0.057293627,-0.20046763,-0.017676525,0.044443753,0.56158954,-0.0062335604,PC-3,enhancing,PKIG_chr20_44531908_+
17,0.050078943,-0.21814416,-0.030526126,-0.0005306067,0.55535597,-0.01037745,PC-3,enhancing,PKIG_chr20_44531908_+
18,0.042799793,-0.24867028,-0.083598755,-0.053016435,0.5449785,-0.029687291,PC-3,enhancing,PKIG_chr20_44531908_+
19,0.030556127,-0.33226904,-0.004065392,-0.1656181,0.5152912,-0.0013881746,PC-3,enhancing,PKIG_chr20_44531908_+
20,0.023188815,-0.33633444,0.0519708,-0.2578116,0.5139031,0.016728763,PC-3,enhancing,PKIG_chr20_44531908_+
21,0.019061761,-0.28436363,-0.017981904,-0.32330245,0.53063184,-0.0061123823,PC-3,enhancing,PKIG_chr20_44531908_+
22,0.01723337,-0.30234554,-0.0035173956,-0.35699815,0.52451944,-0.0011931418,PC-3,enhancing,PKIG_chr20_44531908_+
23,0.015670534,-0.30586293,-0.017800514,-0.38876536,0.5233263,-0.0060057035,PC-3,enhancing,PKIG_chr20_44531908_+
24,0.014569379,-0.32366344,-0.011536055,-0.4131124,0.5173206,-0.0038799418,PC-3,enhancing,PKIG_chr20_44531908_+
0,1.0,1.0,-0.24843755,1.0,1.0,-0.06433126,PC-3,enhancing,PLAU_chr10_73911131_+
1,0.75279635,0.7515625,-0.14174125,0.9360764,0.93566877,-0.03441398,PC-3,enhancing,PLAU_chr10_73911131_+
2,0.542844,0.6098212,-0.14750929,0.8624703,0.9012548,-0.035947155,PC-3,enhancing,PLAU_chr10_73911131_+
3,0.3598886,0.4623119,-0.064921364,0.7699423,0.8653076,-0.015127277,PC-3,enhancing,PLAU_chr10_73911131_+
4,0.26001787,0.39739054,-0.08716372,0.69677025,0.8501803,-0.020729495,PC-3,enhancing,PLAU_chr10_73911131_+
5,0.21196914,0.31022683,0.022797393,0.6507773,0.82945085,0.005063894,PC-3,enhancing,PLAU_chr10_73911131_+
6,0.16752034,0.3330242,-0.0682899,0.5977999,0.83451474,-0.01601382,PC-3,enhancing,PLAU_chr10_73911131_+
7,0.13625304,0.26473433,-0.027788948,0.5512933,0.81850094,-0.006416413,PC-3,enhancing,PLAU_chr10_73911131_+
8,0.10906192,0.23694538,-0.19449364,0.50118333,0.8120845,-0.04894883,PC-3,enhancing,PLAU_chr10_73911131_+
9,0.095404714,0.04245174,-0.0054974807,0.47106588,0.7631357,-0.0012590231,PC-3,enhancing,PLAU_chr10_73911131_+
10,0.08239916,0.036954258,-0.028183075,0.43807477,0.76187664,-0.0064538755,PC-3,enhancing,PLAU_chr10_73911131_+
11,0.06920174,0.008771185,-0.011246758,0.39878127,0.7554228,-0.0025709663,PC-3,enhancing,PLAU_chr10_73911131_+
12,0.060607683,-0.0024755725,-0.00026077562,0.36893016,0.7528518,-7.417384e-05,PC-3,enhancing,PLAU_chr10_73911131_+
13,0.053079538,-0.0027363482,-0.019459574,0.33907324,0.75277764,-0.0044494644,PC-3,enhancing,PLAU_chr10_73911131_+
14,0.04441333,-0.02219592,0.008592664,0.29894626,0.74832815,0.0019197178,PC-3,enhancing,PLAU_chr10_73911131_+
15,0.037851755,-0.013603256,-0.0018987051,0.262959,0.7502479,-0.00043345,PC-3,enhancing,PLAU_chr10_73911131_+
16,0.031546492,-0.015501962,0.00403861,0.22193985,0.74981445,0.00090693886,PC-3,enhancing,PLAU_chr10_73911131_+
17,0.02790928,-0.011463352,-0.00267304,0.1943627,0.7507214,-0.00060444704,PC-3,enhancing,PLAU_chr10_73911131_+
18,0.025847154,-0.014136392,-0.0019410005,0.1770832,0.75011694,-0.00043828043,PC-3,enhancing,PLAU_chr10_73911131_+
19,0.02371544,-0.016077392,-0.0044907467,0.1577067,0.7496787,-0.0010136375,PC-3,enhancing,PLAU_chr10_73911131_+
20,0.021849807,-0.020568138,-0.002063845,0.13926215,0.74866503,-0.00046618955,PC-3,enhancing,PLAU_chr10_73911131_+
21,0.020443207,-0.022631984,-0.0035488473,0.12428273,0.7481988,-0.0008125846,PC-3,enhancing,PLAU_chr10_73911131_+
22,0.01818176,-0.026180832,0.013171504,0.09789221,0.7473862,0.0029430161,PC-3,enhancing,PLAU_chr10_73911131_+
23,0.017698165,-0.013009327,-0.003417472,0.09182361,0.75032926,-0.00077147235,PC-3,enhancing,PLAU_chr10_73911131_+
24,0.016949313,-0.0164268,0.0034037326,0.08209111,0.7495578,0.00076170417,PC-3,enhancing,PLAU_chr10_73911131_+
0,1.0,1.0,-0.2885886,1.0,1.0,-0.058683667,PC-3,enhancing,CD9_chr12_6200384_+
1,0.71566534,0.71141136,-0.17302908,0.94249797,0.9413163,-0.03268408,PC-3,enhancing,CD9_chr12_6200384_+
2,0.5019899,0.5383823,-0.051117256,0.88154286,0.9086323,-0.009044775,PC-3,enhancing,CD9_chr12_6200384_+
3,0.4297122,0.48726505,-0.011104145,0.8548212,0.89958745,-0.0019222072,PC-3,enhancing,CD9_chr12_6200384_+
4,0.38164458,0.47616088,-0.028195566,0.8344315,0.89766526,-0.0049171885,PC-3,enhancing,CD9_chr12_6200384_+
5,0.33626616,0.44796532,-0.02284782,0.81267345,0.89274806,-0.0039733374,PC-3,enhancing,CD9_chr12_6200384_+
6,0.29237637,0.42511752,0.003669921,0.78863376,0.88877475,0.00060199597,PC-3,enhancing,CD9_chr12_6200384_+
7,0.2607408,0.42878744,0.05719846,0.7689506,0.88937676,0.009554566,PC-3,enhancing,CD9_chr12_6200384_+
8,0.15212955,0.4859859,-0.0038275574,0.6763413,0.8989313,-0.0007179693,PC-3,enhancing,CD9_chr12_6200384_+
9,0.11380488,0.48215833,-0.049774308,0.62645286,0.8982133,-0.008811763,PC-3,enhancing,CD9_chr12_6200384_+
10,0.090605736,0.432384,-0.009723172,0.5872692,0.88940156,-0.0016798516,PC-3,enhancing,CD9_chr12_6200384_+
11,0.07442412,0.42266086,-0.032327957,0.55345345,0.8877217,-0.005651058,PC-3,enhancing,CD9_chr12_6200384_+
12,0.06316696,0.3903329,-0.0014984974,0.525265,0.88207066,-0.00025801,PC-3,enhancing,CD9_chr12_6200384_+
13,0.058130745,0.3888344,-0.012828706,0.5109838,0.88181263,-0.0022486537,PC-3,enhancing,CD9_chr12_6200384_+
14,0.05142095,0.37600568,-0.0016665702,0.48990262,0.879564,-0.00028800734,PC-3,enhancing,CD9_chr12_6200384_+
15,0.046173915,0.37433913,-0.0071245786,0.47140276,0.879276,-0.0012293176,PC-3,enhancing,CD9_chr12_6200384_+
16,0.04249402,0.36721453,0.0056004887,0.45712763,0.8780467,0.00095917756,PC-3,enhancing,CD9_chr12_6200384_+
17,0.037937395,0.37281504,-0.006326596,0.4376317,0.87900585,-0.0010911331,PC-3,enhancing,CD9_chr12_6200384_+
18,0.03489813,0.36648843,-0.007090728,0.42327878,0.8779147,-0.0012236624,PC-3,enhancing,CD9_chr12_6200384_+
19,0.032094833,0.3593977,-0.005129849,0.4088857,0.87669104,-0.0008844301,PC-3,enhancing,CD9_chr12_6200384_+
20,0.030680224,0.35426787,-0.0010432852,0.40113774,0.8758066,-0.0001795743,PC-3,enhancing,CD9_chr12_6200384_+
21,0.029086554,0.35322458,0.0052771396,0.39196914,0.87562704,0.0009044283,PC-3,enhancing,CD9_chr12_6200384_+
22,0.026381582,0.3585017,-0.008287021,0.37519172,0.8765315,-0.0014306932,PC-3,enhancing,CD9_chr12_6200384_+
23,0.024264686,0.3502147,0.001718934,0.36081475,0.8751008,0.00029407238,PC-3,enhancing,CD9_chr12_6200384_+
24,0.022839839,0.35193363,0.0039065117,0.35041317,0.8753949,0.00066977687,PC-3,enhancing,CD9_chr12_6200384_+
0,1.0,1.0,-0.08031121,1.0,1.0,-0.016643068,PC-3,enhancing,PTPRF_chr1_43530882_+
1,0.9186726,0.91968876,-0.06446025,0.9831425,0.98335695,-0.0132451635,PC-3,enhancing,PTPRF_chr1_43530882_+
2,0.8482836,0.85522854,-0.053895194,0.96730053,0.9701118,-0.011022032,PC-3,enhancing,PTPRF_chr1_43530882_+
3,0.78269684,0.80133337,-0.032371532,0.9513088,0.95908976,-0.0065644924,PC-3,enhancing,PTPRF_chr1_43530882_+
4,0.7175402,0.7689618,-0.04887298,0.9340357,0.95252526,-0.009991204,PC-3,enhancing,PTPRF_chr1_43530882_+
5,0.6504186,0.72008884,-0.037879616,0.91451764,0.942534,-0.0076903673,PC-3,enhancing,PTPRF_chr1_43530882_+
6,0.5908226,0.6822092,-0.008883579,0.8954195,0.93484366,-0.0017763256,PC-3,enhancing,PTPRF_chr1_43530882_+
7,0.5206882,0.67332566,-0.042457987,0.8703069,0.9330673,-0.008626622,PC-3,enhancing,PTPRF_chr1_43530882_+
8,0.4475582,0.63086766,-0.04138905,0.8402299,0.92444074,-0.008403362,PC-3,enhancing,PTPRF_chr1_43530882_+
9,0.32591394,0.5894786,-0.04080828,0.77719754,0.9160374,-0.0082959,PC-3,enhancing,PTPRF_chr1_43530882_+
10,0.2306093,0.54867035,-0.047472432,0.7084546,0.9077415,-0.009683699,PC-3,enhancing,PTPRF_chr1_43530882_+
11,0.18904424,0.5011979,-0.011032798,0.6689578,0.89805776,-0.0022088224,PC-3,enhancing,PTPRF_chr1_43530882_+
12,0.16470797,0.49016508,-0.015599217,0.6415713,0.89584893,-0.003126409,PC-3,enhancing,PTPRF_chr1_43530882_+
13,0.14762197,0.4745659,0.010880734,0.61980635,0.89272255,0.002127137,PC-3,enhancing,PTPRF_chr1_43530882_+
14,0.13078032,0.4854466,-0.014828737,0.5957328,0.89484966,-0.0029706191,PC-3,enhancing,PTPRF_chr1_43530882_+
15,0.1118799,0.4706179,-0.015089746,0.56471217,0.891879,-0.0030240654,PC-3,enhancing,PTPRF_chr1_43530882_+
16,0.098296694,0.45552814,-0.0133560905,0.53898925,0.888855,-0.0026774236,PC-3,enhancing,PTPRF_chr1_43530882_+
17,0.08280767,0.44217205,-0.0060280114,0.5049128,0.88617754,-0.0012057598,PC-3,enhancing,PTPRF_chr1_43530882_+
18,0.07256866,0.43614402,0.008967031,0.47868267,0.8849718,0.0017665651,PC-3,enhancing,PTPRF_chr1_43530882_+
19,0.06266829,0.44511107,0.009620002,0.4495332,0.88673836,0.0019001805,PC-3,enhancing,PTPRF_chr1_43530882_+
20,0.054303147,0.45473105,-0.014645304,0.4210602,0.88863856,-0.0029484448,PC-3,enhancing,PTPRF_chr1_43530882_+
21,0.048354987,0.44008577,-0.019482689,0.3980048,0.8856901,-0.003914834,PC-3,enhancing,PTPRF_chr1_43530882_+
22,0.04312557,0.42060307,0.001983412,0.3752593,0.88177526,0.000391654,PC-3,enhancing,PTPRF_chr1_43530882_+
23,0.040723078,0.42258647,-0.0003724437,0.36386782,0.8821669,-7.6189164e-05,PC-3,enhancing,PTPRF_chr1_43530882_+
24,0.037988223,0.42221403,0.0015698402,0.3500522,0.88209075,0.0003096843,PC-3,enhancing,PTPRF_chr1_43530882_+
0,1.0,1.0,-0.1556239,1.0,1.0,-0.054406118,PC-3,enhancing,CARD8_chr19_48255946_-
1,0.8478867,0.8443761,-0.13385217,0.947242,0.9455939,-0.0460215,PC-3,enhancing,CARD8_chr19_48255946_-
2,0.7359422,0.71052396,-0.08294736,0.9019698,0.8995724,-0.02777882,PC-3,enhancing,CARD8_chr19_48255946_-
3,0.6481849,0.6275766,0.029537784,0.861372,0.87179357,0.009270405,PC-3,enhancing,CARD8_chr19_48255946_-
4,0.5819979,0.6571144,-0.0076072533,0.8269343,0.881064,-0.0029410813,PC-3,enhancing,CARD8_chr19_48255946_-
5,0.49131146,0.6495071,-0.022786738,0.7727758,0.87812287,-0.0074382327,PC-3,enhancing,CARD8_chr19_48255946_-
6,0.43778136,0.62672037,0.12830152,0.7358923,0.8706847,0.0384706,PC-3,enhancing,CARD8_chr19_48255946_-
7,0.36586985,0.75502187,-0.086295135,0.6785195,0.90915525,-0.028978135,PC-3,enhancing,CARD8_chr19_48255946_-
