,Chromosome,Start,gene_name,gene_id,Strand,K562
24671,chr9,13279692,MPDZ,ENSG00000107186.17,-,13.480027198791504
30262,chr11,64844653,CDC42BPG,ENSG00000171219.9,-,13.493827819824219
20864,chr7,55572502,VOPP1,ENSG00000154978.13,-,13.495820045471191
49736,chr20,59007237,CTSZ,ENSG00000101160.15,-,13.51605224609375
48838,chr20,36461337,DLGAP4,ENSG00000080845.19,+,13.522467613220215
53622,chrX,153673693,PNCK,ENSG00000130822.16,-,13.537793159484863
39546,chr16,83953238,OSGIN1,ENSG00000140961.14,+,13.557038307189941
25841,chr10,43437110,ZNF487,ENSG00000243660.12,+,13.562829971313477
48435,chr19,58150789,ZNF329,ENSG00000181894.15,-,13.569282531738281
3118,chr1,20486210,CAMK2N1,ENSG00000162545.6,-,13.572009086608887
42499,chr17,7930622,ENSG00000262730,ENSG00000262730.1,-,13.60075569152832
21919,chr8,28494204,FZD3,ENSG00000104290.11,+,13.615039825439453
44891,chr19,2269519,OAZ1,ENSG00000104904.12,+,13.6231689453125
49363,chr20,6123030,FERMT1,ENSG00000101311.17,-,13.634404182434082
22690,chr8,9150658,PPP1R3B,ENSG00000173281.5,-,13.649020195007324
2492,chr1,209675411,G0S2,ENSG00000123689.6,+,13.65151596069336
25436,chr9,131276510,FAM78A,ENSG00000126882.14,-,13.655355453491211
15037,chr5,142770376,ARHGAP26,ENSG00000145819.18,+,13.655594825744629
30509,chr11,74467549,KCNE3,ENSG00000175538.11,-,13.67210578918457
25496,chr9,133479096,SLC2A6,ENSG00000160326.14,-,13.698112487792969
38320,chr16,165977,HBM,ENSG00000206177.7,+,13.698593139648438
41118,chr17,28728787,NEK8,ENSG00000160602.14,+,13.712455749511719
42714,chr17,21253410,NATD1,ENSG00000274180.1,-,13.750227928161621
34472,chr13,29850617,UBL3,ENSG00000122042.10,-,13.75346851348877
52457,chrX,136497591,HTATSF1,ENSG00000102241.12,+,13.764660835266113
20730,chr7,36367269,MATCAP2,ENSG00000164542.13,-,13.770833969116211
47160,chr19,12140350,ZNF20,ENSG00000132010.16,-,13.771825790405273
445,chr1,24502896,RCAN3,ENSG00000117602.13,+,13.800212860107422
5115,chr1,247331743,ZNF496,ENSG00000162714.13,-,13.803955078125
33744,chr12,111369095,PHETA1,ENSG00000198324.14,-,13.821372985839844
24996,chr9,83817632,GKAP1,ENSG00000165113.13,-,13.82632827758789
24887,chr9,35689925,TPM2,ENSG00000198467.16,-,13.840307235717773
9586,chr3,100492650,TMEM45A,ENSG00000181458.10,+,13.867727279663086
18207,chr6,32853816,TAP1,ENSG00000168394.13,-,13.873456954956055
39212,chr16,57628554,ADGRG1,ENSG00000205336.14,+,13.934137344360352
46032,chr19,42302097,PRR19,ENSG00000188368.11,+,13.949956893920898
45760,chr19,35936373,LRFN3,ENSG00000126243.9,+,13.95315170288086
39938,chr16,11976638,NPIPB2,ENSG00000234719.9,-,13.966876029968262
15768,chr5,77087285,ZBED3,ENSG00000132846.6,-,13.970897674560547
36143,chr14,50231578,SOS2,ENSG00000100485.12,-,13.979291915893555
47880,chr19,45493267,RTN2,ENSG00000125744.12,-,13.992195129394531
1624,chr1,150149915,PLEKHO1,ENSG00000023902.14,+,13.99776840209961
37483,chr15,99251504,LRRC28,ENSG00000168904.15,+,14.001794815063477
32308,chr12,111405922,SH2B3,ENSG00000111252.11,+,14.001901626586914
49019,chr20,46118315,CD40,ENSG00000101017.15,+,14.007779121398926
45603,chr19,33194329,LRP3,ENSG00000130881.14,+,14.059367179870605
9209,chr3,45594323,LIMD1,ENSG00000144791.10,+,14.071938514709473
5477,chr2,46699294,SOCS5,ENSG00000171150.9,+,14.097451210021973
15452,chr5,1294989,TERT,ENSG00000164362.21,-,14.112112045288086
31335,chr12,14365728,ATF7IP,ENSG00000171681.13,+,14.112771987915039
48146,chr19,51368099,ENSG00000269403,ENSG00000269403.1,-,14.120872497558594
26163,chr10,87095195,SHLD2,ENSG00000122376.12,+,14.121065139770508
39883,chr16,5033934,NAGPA,ENSG00000103174.13,-,14.127558708190918
34773,chr13,107867496,NALF1,ENSG00000204442.4,-,14.145296096801758
20918,chr7,73719659,STX1A,ENSG00000106089.12,-,14.1483154296875
18029,chr6,26017787,H1-1,ENSG00000124610.5,-,14.16021728515625
25742,chr10,23439074,OTUD1,ENSG00000165312.7,+,14.178926467895508
4674,chr1,182589256,RNASEL,ENSG00000135828.11,-,14.179630279541016
28623,chr11,66466904,PELI3,ENSG00000174516.15,+,14.182401657104492
47042,chr19,9309838,ZNF699,ENSG00000196110.8,-,14.218249320983887
25122,chr9,97039139,CTSV,ENSG00000136943.12,-,14.222946166992188
51057,chr22,23751112,ZNF70,ENSG00000187792.5,-,14.224496841430664
28097,chr11,45922655,LARGE2,ENSG00000165905.18,+,14.239656448364258
20820,chr7,44979015,MYO1G,ENSG00000136286.16,-,14.255317687988281
22379,chr8,103371549,CTHRC1,ENSG00000164932.13,+,14.26909065246582
35549,chr14,88005134,GPR65,ENSG00000140030.6,+,14.289799690246582
53313,chrX,102516739,TMSB15A,ENSG00000158164.7,-,14.303609848022461
12499,chr4,78551746,ANXA3,ENSG00000138772.13,+,14.31794261932373
23803,chr9,35605261,TESK1,ENSG00000107140.17,+,14.333149909973145
18205,chr6,32844020,PSMB8,ENSG00000204264.12,-,14.334453582763672
12088,chr4,6575188,MAN2B2,ENSG00000013288.9,+,14.344953536987305
52226,chrX,103962674,TMSB15B,ENSG00000158427.15,+,14.362449645996094
7246,chr2,36598168,FEZ2,ENSG00000171055.15,-,14.381762504577637
45264,chr19,12995474,NFIX,ENSG00000008441.19,+,14.395180702209473
37246,chr15,74995597,SCAMP5,ENSG00000198794.12,+,14.403971672058105
26204,chr10,88991427,FAS,ENSG00000026103.25,+,14.43845272064209
39278,chr16,66961244,CES3,ENSG00000172828.13,+,14.45191764831543
52209,chrX,103585514,TCEAL4,ENSG00000133142.19,+,14.480130195617676
13101,chr4,2242121,ENSG00000290263,ENSG00000290263.1,-,14.481212615966797
42484,chr17,7614897,FXR2,ENSG00000129245.13,-,14.484721183776855
13103,chr4,2242121,HAUS3,ENSG00000214367.10,-,14.487747192382812
17077,chr6,36196743,BRPF3,ENSG00000096070.19,+,14.491127014160156
12272,chr4,41256927,UCHL1,ENSG00000154277.13,+,14.508934020996094
22561,chr8,143368875,RHPN1,ENSG00000158106.14,+,14.515804290771484
21357,chr7,122144255,AASS,ENSG00000008311.16,-,14.522283554077148
46176,chr19,45668255,GIPR,ENSG00000010310.9,+,14.534997940063477
19709,chr7,77537294,PTPN12,ENSG00000127947.16,+,14.54088306427002
30528,chr11,76381132,THAP12,ENSG00000137492.9,-,14.562599182128906
40550,chr16,81077213,C16orf46,ENSG00000166455.14,-,14.58128833770752
5670,chr2,73385835,ALMS1,ENSG00000116127.20,+,14.599757194519043
20879,chr7,57132436,ZNF479,ENSG00000185177.14,-,14.600824356079102
24150,chr9,112750759,SNX30,ENSG00000148158.17,+,14.633102416992188
41095,chr17,28042676,NLK,ENSG00000087095.13,+,14.64006233215332
33156,chr12,51324115,BIN2,ENSG00000110934.13,-,14.64985179901123
17979,chr6,16761456,ATXN1,ENSG00000124788.19,-,14.657575607299805
41146,chr17,30970983,RNF135,ENSG00000181481.14,+,14.673991203308105
25206,chr9,111599407,PTGR1,ENSG00000106853.20,-,14.6741361618042
43868,chr17,82317577,CD7,ENSG00000173762.8,-,14.686042785644531
47946,chr19,47113776,ZC3H4,ENSG00000130749.10,-,14.693107604980469
46982,chr19,6591139,CD70,ENSG00000125726.11,-,14.706722259521484
2262,chr1,183636084,RGL1,ENSG00000143344.16,+,14.73029899597168
33085,chr12,48925492,FKBP11,ENSG00000134285.11,-,14.77008056640625
26728,chr10,12043170,UPF2,ENSG00000151461.20,-,14.778751373291016
16282,chr5,150412769,CD74,ENSG00000019582.17,-,14.800522804260254
38863,chr16,24729694,TNRC6A,ENSG00000090905.19,+,14.810023307800293
33034,chr12,47079865,AMIGO2,ENSG00000139211.7,-,14.835061073303223
52826,chrX,20116904,MAP7D2,ENSG00000184368.16,-,14.840147018432617
48424,chr19,57947675,ZNF256,ENSG00000152454.4,-,14.84210205078125
1903,chr1,156893719,PEAR1,ENSG00000187800.14,+,14.853827476501465
44242,chr18,57435373,ONECUT2,ENSG00000119547.6,+,14.855667114257812
40899,chr17,7884795,CHD3,ENSG00000170004.19,+,14.87193489074707
12733,chr4,122732703,BBS12,ENSG00000181004.10,+,14.897930145263672
44228,chr18,54269566,POLI,ENSG00000101751.11,+,14.911051750183105
737,chr1,39955144,MFSD2A,ENSG00000168389.18,+,14.91455364227295
50146,chr21,29939912,GRIK1,ENSG00000171189.18,-,14.930113792419434
53539,chrX,135893444,CT45A10,ENSG00000269586.8,-,14.934192657470703
48900,chr20,41340820,LPIN3,ENSG00000132793.12,+,14.937065124511719
31276,chr12,8914508,PHC1,ENSG00000111752.11,+,14.979202270507812
17442,chr6,99521074,TSTD3,ENSG00000279170.3,+,14.98057746887207
25223,chr9,113012192,ZNF883,ENSG00000228623.9,-,15.058666229248047
10921,chr3,51500015,DCAF1,ENSG00000145041.17,-,15.075521469116211
21803,chr8,22024124,NPM2,ENSG00000158806.14,+,15.085195541381836
6293,chr2,172085535,DLX1,ENSG00000144355.15,+,15.099940299987793
24370,chr9,128787252,TBC1D13,ENSG00000107021.16,+,15.130688667297363
16013,chr5,131994579,ACSL6,ENSG00000164398.15,-,15.140427589416504
44958,chr19,4304597,FSD1,ENSG00000105255.11,+,15.145652770996094
152,chr1,9651730,PIK3CD,ENSG00000171608.18,+,15.166203498840332
52016,chrX,70455095,DLG3,ENSG00000082458.12,+,15.171369552612305
31632,chr12,50925014,METTL7A,ENSG00000185432.12,+,15.176525115966797
14325,chr5,56909595,SETD9,ENSG00000155542.12,+,15.179107666015625
46045,chr19,43533412,ZNF575,ENSG00000176472.11,+,15.181096076965332
44756,chr19,489175,MADCAM1,ENSG00000099866.16,+,15.182937622070312
28782,chr11,72224766,INPPL1,ENSG00000165458.15,+,15.203405380249023
18174,chr6,32109313,TNXB,ENSG00000168477.21,-,15.21821403503418
50136,chr21,28885367,N6AMT1,ENSG00000156239.12,-,15.247615814208984
47590,chr19,37210536,ZNF585B,ENSG00000245680.11,-,15.256365776062012
21884,chr8,25184688,DOCK5,ENSG00000147459.18,+,15.260583877563477
50837,chr22,41976809,SEPTIN3,ENSG00000100167.21,+,15.264357566833496
20404,chr7,150405441,ENSG00000284691,ENSG00000284691.1,+,15.304647445678711
41564,chr17,47896235,SP2,ENSG00000167182.16,+,15.306848526000977
15369,chr5,177446813,PRR7,ENSG00000131188.12,+,15.308730125427246
22874,chr8,27614700,CLU,ENSG00000120885.22,-,15.315902709960938
15790,chr5,78985310,ARSB,ENSG00000113273.17,-,15.361723899841309
34582,chr13,45418373,SLC25A30,ENSG00000174032.17,-,15.365970611572266
48313,chr19,55157732,TNNI3,ENSG00000129991.13,-,15.443710327148438
11123,chr3,75785549,ZNF717,ENSG00000227124.11,-,15.45522689819336
49694,chr20,51802509,SALL4,ENSG00000101115.13,-,15.473434448242188
48239,chr19,53132892,ZNF415,ENSG00000170954.12,-,15.47630500793457
27062,chr10,70382625,LRRC20,ENSG00000172731.15,-,15.487290382385254
16961,chr6,31897784,C2,ENSG00000166278.16,+,15.493644714355469
12083,chr4,6269848,WFS1,ENSG00000109501.15,+,15.49925422668457
25553,chr9,137028237,ABCA2,ENSG00000107331.18,-,15.501579284667969
37049,chr15,59438185,FAM81A,ENSG00000157470.12,+,15.516825675964355
24820,chr9,34376898,MYORG,ENSG00000164976.9,-,15.524430274963379
4958,chr1,225653123,ENAH,ENSG00000154380.19,-,15.536449432373047
51466,chr22,50783636,RABL2B,ENSG00000079974.19,-,15.545886993408203
2857,chr1,1307930,ACAP3,ENSG00000131584.19,-,15.546131134033203
43895,chr17,82698687,RAB40B,ENSG00000141542.11,-,15.551586151123047
23335,chr8,102655725,KLF10,ENSG00000155090.15,-,15.600709915161133
33962,chr12,133130273,ZNF891,ENSG00000214029.6,-,15.641376495361328
33287,chr12,55842936,MMP19,ENSG00000123342.16,-,15.652335166931152
9461,chr3,62319021,C3orf14,ENSG00000114405.11,+,15.65837287902832
41093,chr17,27631147,LGALS9,ENSG00000168961.17,+,15.66489315032959
3832,chr1,92961462,DIPK1A,ENSG00000154511.12,-,15.689602851867676
29603,chr11,6320501,CAVIN3,ENSG00000170955.10,-,15.691570281982422
12077,chr4,4859664,MSX1,ENSG00000163132.8,+,15.692801475524902
51947,chrX,54808370,MAGED2,ENSG00000102316.17,+,15.697906494140625
36362,chr14,73760303,MIDEAS,ENSG00000156030.14,-,15.699199676513672
37608,chr15,39782841,FSIP1,ENSG00000150667.8,-,15.70492935180664
16664,chr6,18155421,KDM1B,ENSG00000165097.16,+,15.744195938110352
34028,chr13,28138544,PAN3,ENSG00000152520.14,+,15.765730857849121
10435,chr3,9952408,PRRT3,ENSG00000163704.13,-,15.772054672241211
2440,chr1,206470475,IKBKE,ENSG00000263528.8,+,15.777132034301758
45511,chr19,20077999,ZNF90,ENSG00000213988.11,+,15.7801513671875
19220,chr7,5282942,SLC29A4,ENSG00000164638.11,+,15.787553787231445
8390,chr2,207769906,FZD5,ENSG00000163251.4,-,15.805780410766602
5821,chr2,96536751,ARID5A,ENSG00000196843.17,+,15.835607528686523
15905,chr5,108382098,FBXL17,ENSG00000145743.18,-,15.846381187438965
6888,chr2,233354493,DGKD,ENSG00000077044.11,+,15.878377914428711
40474,chr16,71884204,ZNF821,ENSG00000102984.15,-,15.88980484008789
34742,chr13,99086625,DOCK9,ENSG00000088387.22,-,15.88996696472168
7767,chr2,101151382,TBC1D8,ENSG00000204634.13,-,15.902351379394531
46559,chr19,54850475,KIR3DL2,ENSG00000240403.5,+,15.917672157287598
45985,chr19,41376756,ENSG00000255730,ENSG00000255730.5,+,15.923624038696289
26401,chr10,102644494,TRIM8,ENSG00000171206.16,+,15.937942504882812
53185,chrX,72131915,RTL5,ENSG00000242732.6,-,15.947210311889648
41942,chr17,75047224,KCTD2,ENSG00000180901.11,+,15.950644493103027
26849,chr10,31031925,ZNF438,ENSG00000183621.15,-,15.951053619384766
32970,chr12,32896798,PKP2,ENSG00000057294.18,-,15.954736709594727
45179,chr19,10836574,C19orf38,ENSG00000214212.9,+,15.956563949584961
51164,chr22,31292534,PIK3IP1,ENSG00000100100.13,-,15.965455055236816
16875,chr6,30884518,DDR1,ENSG00000204580.14,+,15.970637321472168
21199,chr7,100889715,UFSP1,ENSG00000176125.7,-,15.972249031066895
52200,chrX,103356488,TCEAL9,ENSG00000185222.10,+,16.01991081237793
22184,chr8,66775217,SGK3,ENSG00000104205.16,+,16.020967483520508
45219,chr19,11766999,ZNF441,ENSG00000197044.11,+,16.024150848388672
50704,chr22,37051741,KCTD17,ENSG00000100379.18,+,16.07149314880371
6122,chr2,138501769,SPOPL,ENSG00000144228.9,+,16.103412628173828
18414,chr6,43369647,ZNF318,ENSG00000171467.16,-,16.116790771484375
45639,chr19,34926902,ZNF30,ENSG00000168661.15,+,16.14017677307129
39008,chr16,30395419,ZNF48,ENSG00000180035.13,+,16.151851654052734
22276,chr8,85245457,CA13,ENSG00000185015.8,+,16.168481826782227
11038,chr3,59050025,CFAP20DC,ENSG00000163689.21,-,16.177030563354492
7170,chr2,25982497,KIF3C,ENSG00000084731.15,-,16.18118667602539
13350,chr4,57110385,IGFBP7,ENSG00000163453.11,-,16.181713104248047
19668,chr7,75092572,GTF2IRD2B,ENSG00000174428.19,+,16.184341430664062
11211,chr3,112641143,CCDC80,ENSG00000091986.16,-,16.208816528320312
14865,chr5,138439056,REEP2,ENSG00000132563.17,+,16.20941925048828
17905,chr6,3457022,SLC22A23,ENSG00000137266.15,-,16.227951049804688
48040,chr19,49362441,TEAD2,ENSG00000074219.14,-,16.250028610229492
26895,chr10,37857636,ZNF248,ENSG00000198105.16,-,16.25200653076172
14791,chr5,132410910,ENSG00000283782,ENSG00000283782.2,+,16.257978439331055
6962,chr2,240568483,RNPEPL1,ENSG00000142327.13,+,16.258148193359375
39232,chr16,58025753,MMP15,ENSG00000102996.5,+,16.258176803588867
37669,chr15,42491105,ZNF106,ENSG00000103994.18,-,16.265029907226562
36946,chr15,45635028,SQOR,ENSG00000137767.14,+,16.27210235595703
47134,chr19,11505698,ENSG00000267477,ENSG00000267477.1,-,16.27375030517578
23083,chr8,66667231,VCPIP1,ENSG00000175073.8,-,16.2778377532959
52235,chrX,106168304,PWWP3B,ENSG00000157502.13,+,16.327085494995117
37581,chr15,34367196,LPCAT4,ENSG00000176454.15,-,16.3273868560791
9622,chr3,101779236,NXPE3,ENSG00000144815.18,+,16.340978622436523
24339,chr9,128420856,CERCAM,ENSG00000167123.20,+,16.35735511779785
46303,chr19,49474227,FLT3LG,ENSG00000090554.13,+,16.3576602935791
22940,chr8,38382272,NSD3,ENSG00000147548.17,-,16.357807159423828
30478,chr11,73142046,FCHSD2,ENSG00000137478.15,-,16.363304138183594
27188,chr10,88991339,ACTA2,ENSG00000107796.13,-,16.374479293823242
26842,chr10,30349278,MTPAP,ENSG00000107951.15,-,16.399185180664062
45209,chr19,11355497,PLPPR2,ENSG00000105520.11,+,16.40281867980957
45564,chr19,29665458,PLEKHF1,ENSG00000166289.6,+,16.404150009155273
41204,chr17,35243071,SLFN5,ENSG00000166750.10,+,16.405960083007812
45433,chr19,18153157,ENSG00000268173,ENSG00000268173.3,+,16.409326553344727
38708,chr16,11668454,SNN,ENSG00000184602.6,+,16.416515350341797
24196,chr9,121268167,GSN,ENSG00000148180.22,+,16.4228458404541
48404,chr19,57727624,ZNF671,ENSG00000083814.13,-,16.430713653564453
10730,chr3,47164113,SETD2,ENSG00000181555.22,-,16.431995391845703
49483,chr20,34872856,GGT7,ENSG00000131067.17,-,16.442256927490234
17349,chr6,72622063,KCNQ5,ENSG00000185760.18,+,16.452789306640625
18999,chr6,145735498,EPM2A,ENSG00000112425.16,-,16.464305877685547
3071,chr1,16237183,CPLANE2,ENSG00000132881.12,-,16.468734741210938
49752,chr20,62065881,TAF4,ENSG00000130699.20,-,16.48858642578125
32416,chr12,120534696,ENSG00000288623,ENSG00000288623.1,+,16.498104095458984
26951,chr10,48493649,ARHGAP22,ENSG00000128805.15,-,16.51583480834961
52911,chrX,41923517,CASK,ENSG00000147044.23,-,16.528024673461914
25507,chr9,135499869,PIERCE1,ENSG00000160345.13,-,16.546781539916992
27595,chr11,308407,ENSG00000288681,ENSG00000288681.1,+,16.548301696777344
45115,chr19,8832376,MBD3L1,ENSG00000170948.4,+,16.553546905517578
25987,chr10,69630246,FAM241B,ENSG00000171224.9,+,16.568279266357422
47571,chr19,36489435,ZNF566,ENSG00000186017.16,-,16.598920822143555
35512,chr14,77320995,GSTZ1,ENSG00000100577.19,+,16.618253707885742
43306,chr17,49230766,PHOSPHO1,ENSG00000173868.12,-,16.63688850402832
51291,chr22,38700667,JOSD1,ENSG00000100221.11,-,16.637481689453125
34225,chr13,73059004,KLF5,ENSG00000102554.14,+,16.6406307220459
16105,chr5,138033031,FAM13B,ENSG00000031003.11,-,16.65182113647461
37074,chr15,63121860,LACTB,ENSG00000103642.12,+,16.689085006713867
1738,chr1,153728049,INTS3,ENSG00000143624.14,+,16.69541358947754
3697,chr1,64966552,JAK1,ENSG00000162434.14,-,16.70049476623535
37695,chr15,43493127,TP53BP1,ENSG00000067369.14,-,16.709190368652344
40818,chr17,7281735,SLC2A4,ENSG00000181856.15,+,16.71261215209961
52862,chrX,30889254,TAB3,ENSG00000157625.16,-,16.74812889099121
5497,chr2,48440765,PPP1R21,ENSG00000162869.16,+,16.780567169189453
6961,chr2,240560356,DUSP28,ENSG00000188542.10,+,16.803434371948242
28415,chr11,62771395,TAF6L,ENSG00000162227.8,+,16.821962356567383
10108,chr3,156826299,LEKR1,ENSG00000197980.14,+,16.828720092773438
9776,chr3,122680838,PARP14,ENSG00000173193.15,+,16.884014129638672
113,chr1,6625180,THAP3,ENSG00000041988.16,+,16.88425636291504
33545,chr12,89524796,GALNT4,ENSG00000257594.4,-,16.894643783569336
38351,chr16,589356,RAB40C,ENSG00000197562.10,+,16.952640533447266
52933,chrX,47483222,ZNF41,ENSG00000147124.13,-,16.967042922973633
28212,chr11,57460527,RTN4RL2,ENSG00000186907.8,+,16.98259735107422
13066,chr4,826092,CPLX1,ENSG00000168993.15,-,16.999431610107422
50231,chr21,36060261,SETD4,ENSG00000185917.14,-,17.00687599182129
40263,chr16,56425545,AMFR,ENSG00000159461.15,-,17.01032257080078
31322,chr12,12725930,APOLD1,ENSG00000178878.13,+,17.0295467376709
10330,chr3,186930525,ST6GAL1,ENSG00000073849.16,+,17.03667449951172
53328,chrX,104076194,TMSB15C,ENSG00000269226.8,-,17.0596981048584
43574,chr17,69327133,ABCA5,ENSG00000154265.16,-,17.05986213684082
2346,chr1,200738892,CAMSAP2,ENSG00000118200.15,+,17.064645767211914
48413,chr19,57888969,ZNF814,ENSG00000204514.11,-,17.09244155883789
47740,chr19,41843727,LYPD4,ENSG00000273111.6,-,17.10311508178711
16735,chr6,26402249,BTN3A1,ENSG00000026950.17,+,17.140432357788086
47157,chr19,12052967,ENSG00000257355,ENSG00000257355.1,-,17.17047882080078
1480,chr1,113390514,MAGI3,ENSG00000081026.19,+,17.17200469970703
26244,chr10,92689954,HHEX,ENSG00000152804.11,+,17.17605972290039
49179,chr20,62642502,SLCO4A1,ENSG00000101187.16,+,17.176559448242188
576,chr1,28553084,TRNAU1AP,ENSG00000180098.9,+,17.22781753540039
14164,chr5,14143341,TRIO,ENSG00000038382.23,+,17.230667114257812
13697,chr4,103019705,SLC9B1,ENSG00000164037.17,-,17.235942840576172
2154,chr1,171841471,DNM3,ENSG00000197959.15,+,17.25655746459961
42781,chr17,29622899,CORO6,ENSG00000167549.19,-,17.26666831970215
33101,chr12,49069979,RHEBL1,ENSG00000167550.11,-,17.268259048461914
44317,chr18,70289044,SOCS6,ENSG00000170677.6,+,17.30112075805664
32229,chr12,106302817,TCP11L2,ENSG00000166046.11,+,17.323293685913086
35957,chr14,23057520,CDH24,ENSG00000139880.21,-,17.323486328125
30963,chr11,123061331,HSPA8,ENSG00000109971.14,-,17.33041763305664
40829,chr17,7352161,KCTD11,ENSG00000213859.8,+,17.332225799560547
33215,chr12,53625979,ATF7-NPFF,ENSG00000267281.3,-,17.355804443359375
25438,chr9,131531179,UCK1,ENSG00000130717.13,-,17.35725212097168
38283,chr15,99251223,TTC23,ENSG00000103852.13,-,17.366209030151367
3438,chr1,39575786,PABPC4,ENSG00000090621.15,-,17.382644653320312
23444,chr8,124728473,MTSS1,ENSG00000170873.19,-,17.386672973632812
18374,chr6,41895361,USP49,ENSG00000164663.15,-,17.398164749145508
31921,chr12,57755102,MARCHF9,ENSG00000139266.6,+,17.40707015991211
24874,chr9,35115862,ATOSB,ENSG00000005238.20,-,17.412273406982422
16933,chr6,31623873,ENSG00000289282,ENSG00000289282.1,+,17.41305923461914
46293,chr19,49335426,CD37,ENSG00000104894.12,+,17.427104949951172
14137,chr5,1201594,SLC6A19,ENSG00000174358.16,+,17.427648544311523
50990,chr22,19291685,CLTCL1,ENSG00000070371.16,-,17.436603546142578
39167,chr16,56657958,MT1F,ENSG00000198417.7,+,17.4713077545166
49916,chr21,36156823,DOP1B,ENSG00000142197.13,+,17.501436233520508
2555,chr1,215567303,KCTD3,ENSG00000136636.13,+,17.507713317871094
15391,chr5,179550553,RUFY1,ENSG00000176783.15,+,17.52151870727539
26628,chr10,132332192,LRRC27,ENSG00000148814.18,+,17.53805923461914
3178,chr1,23868290,FUCA1,ENSG00000179163.12,-,17.559978485107422
46438,chr19,52369916,ZNF880,ENSG00000221923.9,+,17.56626319885254
19567,chr7,63998848,ZNF722,ENSG00000241149.4,+,17.583003997802734
42468,chr17,7263213,CLDN7,ENSG00000181885.18,-,17.59673309326172
40093,chr16,28539008,NUPR1,ENSG00000176046.9,-,17.624330520629883
42176,chr17,82359246,TEX19,ENSG00000182459.5,+,17.651756286621094
36501,chr14,93115918,ITPK1,ENSG00000100605.17,-,17.663259506225586
45284,chr19,13795459,ZSWIM4,ENSG00000132003.10,+,17.66518211364746
45434,chr19,18153162,PIK3R2,ENSG00000105647.19,+,17.66862678527832
52697,chrX,2500976,DHRSX,ENSG00000169084.15,-,17.672447204589844
6396,chr2,188291668,GULP1,ENSG00000144366.17,+,17.702051162719727
40097,chr16,28610044,SULT1A1,ENSG00000196502.14,-,17.738449096679688
667,chr1,33256491,ZNF362,ENSG00000160094.15,+,17.740562438964844
22443,chr8,119873721,DEPTOR,ENSG00000155792.10,+,17.75678825378418
7166,chr2,25673561,DTNB,ENSG00000138101.20,-,17.767181396484375
7449,chr2,61017193,PUS10,ENSG00000162927.14,-,17.77044677734375
47874,chr19,45405069,PPP1R13L,ENSG00000104881.16,-,17.800060272216797
19761,chr7,87934250,ADAM22,ENSG00000008277.15,+,17.871469497680664
18768,chr6,109455742,MICAL1,ENSG00000135596.18,-,17.87409782409668
9196,chr3,44729595,ZNF501,ENSG00000186446.12,+,17.887632369995117
31543,chr12,47079620,PCED1B,ENSG00000179715.13,+,17.898212432861328
38984,chr16,30053126,ENSG00000285043,ENSG00000285043.3,+,17.90397071838379
37254,chr15,75201881,C15orf39,ENSG00000167173.19,+,17.918289184570312
52698,chrX,2500967,ZBED1,ENSG00000214717.12,-,17.924942016601562
22941,chr8,38468641,FGFR1,ENSG00000077782.23,-,17.934648513793945
46037,chr19,42325608,MEGF8,ENSG00000105429.13,+,17.94074249267578
