,Chromosome,Start,gene_name,gene_id,Strand,GM12878
16362,chr5,159330487,IL12B,ENSG00000113302.6,-,46.42760467529297
43327,chr17,50130160,SAMD14,ENSG00000167100.15,-,46.57227325439453
25410,chr9,129110737,CRAT,ENSG00000095321.18,-,46.60704040527344
16600,chr6,10528355,GCNT2,ENSG00000111846.20,+,46.618106842041016
44056,chr18,24014419,TTC39C,ENSG00000168234.13,+,46.637298583984375
51871,chrX,49163931,MAGIX,ENSG00000269313.6,+,46.65653991699219
21849,chr8,22580474,PDLIM2,ENSG00000120913.24,+,46.68360900878906
45374,chr19,17281876,ANKLE1,ENSG00000160117.16,+,46.735477447509766
30388,chr11,67629930,NUDT8,ENSG00000167799.10,-,46.7499885559082
40859,chr17,7549098,TNFSF12-TNFSF13,ENSG00000248871.1,+,46.75572967529297
981,chr1,52726466,ZYG11B,ENSG00000162378.13,+,46.806373596191406
21008,chr7,87600884,ABCB1,ENSG00000085563.15,-,46.851261138916016
23809,chr9,35673927,CA9,ENSG00000107159.14,+,46.863502502441406
16372,chr5,160400054,FAM200C,ENSG00000221886.4,-,46.95681381225586
7608,chr2,75560938,EVA1A,ENSG00000115363.14,-,46.992923736572266
18866,chr6,128520599,PTPRK,ENSG00000152894.15,-,47.008323669433594
49976,chr21,41168159,BACE2,ENSG00000182240.16,+,47.01128387451172
43035,chr17,41865423,KLHL11,ENSG00000178502.6,-,47.04231643676758
46771,chr19,633537,POLRMT,ENSG00000099821.14,-,47.062164306640625
7990,chr2,156332762,NR4A2,ENSG00000153234.16,-,47.08643341064453
51173,chr22,31630824,PISD,ENSG00000241878.12,-,47.087867736816406
35477,chr14,75605461,FLVCR2,ENSG00000119686.10,+,47.1880989074707
49752,chr20,62065881,TAF4,ENSG00000130699.20,-,47.20061492919922
23258,chr8,95269201,CFAP418,ENSG00000156172.6,-,47.21125030517578
2510,chr1,210328901,HHAT,ENSG00000054392.13,+,47.233097076416016
43657,chr17,75393803,GRB2,ENSG00000177885.15,-,47.33898162841797
7911,chr2,135530731,ZRANB3,ENSG00000121988.18,-,47.341426849365234
24295,chr9,127612221,STXBP1,ENSG00000136854.25,+,47.378360748291016
31011,chr11,125496277,FEZ1,ENSG00000149557.14,-,47.4228401184082
28563,chr11,65525076,SCYL1,ENSG00000142186.18,+,47.4486083984375
16933,chr6,31623873,ENSG00000289282,ENSG00000289282.1,+,47.466644287109375
8033,chr2,160407889,RBMS1,ENSG00000153250.21,-,47.50767517089844
30909,chr11,118225021,JAML,ENSG00000160593.20,-,47.5188102722168
25364,chr9,127854658,ENG,ENSG00000106991.14,-,47.5334358215332
14610,chr5,95646776,RFESD,ENSG00000175449.15,+,47.577205657958984
27488,chr10,121928075,ATE1,ENSG00000107669.19,-,47.59098815917969
53687,chrX,154751057,GAB3,ENSG00000160219.12,-,47.60244369506836
51466,chr22,50783636,RABL2B,ENSG00000079974.19,-,47.62073516845703
48749,chr20,32762423,DNMT3B,ENSG00000088305.19,+,47.628597259521484
13733,chr4,109703445,CASP6,ENSG00000138794.10,-,47.67665481567383
34226,chr13,75549790,UCHL3,ENSG00000118939.19,+,47.71843719482422
38500,chr16,2475050,TBC1D24,ENSG00000162065.14,+,47.720802307128906
29295,chr11,124115403,VWA5A,ENSG00000110002.16,+,47.80671691894531
19527,chr7,48089264,UPP1,ENSG00000183696.14,+,47.82124328613281
26948,chr10,48251757,FRMPD2,ENSG00000170324.21,-,47.833656311035156
20079,chr7,116499739,CAV2,ENSG00000105971.15,+,47.87154769897461
53418,chrX,120311433,TMEM255A,ENSG00000125355.16,-,47.9085693359375
47484,chr19,29715224,C19orf12,ENSG00000131943.20,-,47.916099548339844
8406,chr2,210225447,ACADL,ENSG00000115361.8,-,47.921852111816406
46697,chr19,57633198,ZNF211,ENSG00000121417.14,+,47.977569580078125
23039,chr8,56211273,PLAG1,ENSG00000181690.8,-,47.979637145996094
53292,chrX,101386191,BTK,ENSG00000010671.18,-,47.9884033203125
39032,chr16,30923571,FBXL19,ENSG00000099364.18,+,48.001068115234375
25571,chr9,137302271,NRARP,ENSG00000198435.4,-,48.07883834838867
44304,chr18,63907957,SERPINB10,ENSG00000242550.7,+,48.193763732910156
45769,chr19,36115438,TBCB,ENSG00000105254.12,+,48.20970916748047
19668,chr7,75092572,GTF2IRD2B,ENSG00000174428.19,+,48.21612548828125
534,chr1,27234667,WDTC1,ENSG00000142784.16,+,48.2464599609375
2749,chr1,241532377,KMO,ENSG00000117009.12,+,48.30532455444336
17280,chr6,53065601,ENSG00000288646,ENSG00000288646.1,+,48.31816101074219
46624,chr19,56141286,ZNF444,ENSG00000167685.15,+,48.33193588256836
34748,chr13,100588789,GGACT,ENSG00000134864.11,-,48.346466064453125
14339,chr5,61332257,ZSWIM6,ENSG00000130449.6,+,48.410545349121094
40064,chr16,25257845,ZKSCAN2,ENSG00000155592.16,-,48.42023468017578
22565,chr8,143597830,TIGD5,ENSG00000179886.6,+,48.429080963134766
41349,chr17,41930616,ODAD4,ENSG00000204815.10,+,48.43367385864258
45003,chr19,5904871,VMAC,ENSG00000187650.4,+,48.45171356201172
48250,chr19,53193358,ZNF665,ENSG00000197497.11,-,48.45374298095703
24874,chr9,35115862,ATOSB,ENSG00000005238.20,-,48.45435333251953
11819,chr3,185552588,LIPH,ENSG00000163898.10,-,48.477569580078125
49315,chr20,2800627,CPXM1,ENSG00000088882.8,-,48.504005432128906
3818,chr1,91886151,TGFBR3,ENSG00000069702.11,-,48.51325988769531
35974,chr14,23302859,PPP1R3E,ENSG00000235194.9,-,48.52409362792969
5259,chr2,24123468,FAM228B,ENSG00000219626.9,+,48.52703857421875
43387,chr17,58328760,TSPOAP1,ENSG00000005379.17,-,48.53230667114258
34057,chr13,32031773,FRY,ENSG00000073910.23,+,48.54195022583008
26596,chr10,125896563,FANK1,ENSG00000203780.12,+,48.562557220458984
40949,chr17,14301080,HS3ST3B1,ENSG00000125430.9,+,48.585182189941406
47563,chr19,36054285,THAP8,ENSG00000161277.11,-,48.60527038574219
47568,chr19,36379201,ZFP14,ENSG00000142065.14,-,48.62384796142578
26842,chr10,30349278,MTPAP,ENSG00000107951.15,-,48.65631103515625
25583,chr9,137590512,ZMYND19,ENSG00000165724.6,-,48.67687225341797
25297,chr9,122093308,TTLL11,ENSG00000175764.17,-,48.74052047729492
8500,chr2,219543809,CHPF,ENSG00000123989.15,-,48.760841369628906
10921,chr3,51500015,DCAF1,ENSG00000145041.17,-,48.76439666748047
53248,chrX,78327611,CYSLTR1,ENSG00000173198.6,-,48.8055419921875
45044,chr19,7516102,ZNF358,ENSG00000198816.7,+,48.817420959472656
19984,chr7,102433529,ORAI2,ENSG00000160991.17,+,48.86476135253906
49469,chr20,33443763,SNTA1,ENSG00000101400.6,-,48.864994049072266
15181,chr5,157743711,LSM11,ENSG00000155858.6,+,48.871212005615234
32983,chr12,40106081,SLC2A13,ENSG00000151229.13,-,48.87776184082031
45233,chr19,11965039,ZNF763,ENSG00000197054.12,+,48.90532684326172
29896,chr11,33869816,LMO2,ENSG00000135363.12,-,48.94951248168945
11965,chr4,53294,ZNF595,ENSG00000272602.6,+,49.01060104370117
52423,chrX,135421943,SMIM10L2A,ENSG00000178947.9,+,49.027923583984375
47849,chr19,44401608,ENSG00000267173,ENSG00000267173.1,-,49.048519134521484
6563,chr2,205682506,NRP2,ENSG00000118257.17,+,49.05237579345703
42759,chr17,28726233,TLCD1,ENSG00000160606.11,-,49.13903045654297
13832,chr4,128288203,PGRMC2,ENSG00000164040.18,-,49.18562316894531
36638,chr14,105168776,JAG2,ENSG00000184916.9,-,49.210391998291016
38845,chr16,23302301,SCNN1B,ENSG00000168447.11,+,49.24717330932617
50990,chr22,19291685,CLTCL1,ENSG00000070371.16,-,49.251548767089844
12906,chr4,155666847,GUCY1A1,ENSG00000164116.17,+,49.273048400878906
2455,chr1,206770772,IL19,ENSG00000142224.18,+,49.289634704589844
16357,chr5,159099761,EBF1,ENSG00000164330.18,-,49.29102325439453
20109,chr7,120273174,KCND2,ENSG00000184408.10,+,49.310821533203125
29548,chr11,4608231,TRIM68,ENSG00000167333.13,-,49.33963394165039
34277,chr13,97434168,RAP2A,ENSG00000125249.7,+,49.35000991821289
6593,chr2,209424057,MAP2,ENSG00000078018.22,+,49.37534713745117
43993,chr18,12407895,PRELID3A,ENSG00000141391.14,+,49.39665222167969
21515,chr7,141702166,DENND11,ENSG00000257093.7,-,49.40331268310547
37608,chr15,39782841,FSIP1,ENSG00000150667.8,-,49.40974426269531
2227,chr1,179954809,CEP350,ENSG00000135837.17,+,49.4334831237793
32564,chr12,133037579,ZNF84,ENSG00000198040.11,+,49.43745422363281
47607,chr19,37719761,ZNF607,ENSG00000198182.13,-,49.47038269042969
40172,chr16,30762062,CFAP119,ENSG00000196118.12,-,49.50080871582031
42535,chr17,8376704,KRBA2,ENSG00000184619.8,-,49.58087158203125
8761,chr3,9649504,MTMR14,ENSG00000163719.20,+,49.58420181274414
36412,chr14,77028708,IRF2BPL,ENSG00000119669.5,-,49.61348342895508
33855,chr12,121580459,KDM2B,ENSG00000089094.20,-,49.6215934753418
23679,chr9,4662293,PLPP6,ENSG00000205808.7,+,49.63534164428711
1351,chr1,107056673,PRMT6,ENSG00000198890.9,+,49.73506164550781
6103,chr2,134254071,MGAT5,ENSG00000152127.9,+,49.777339935302734
50744,chr22,38201993,MAFF,ENSG00000185022.12,+,49.79207992553711
26760,chr10,14838037,CDNF,ENSG00000185267.10,-,49.799842834472656
49529,chr20,36746090,NDRG3,ENSG00000101079.21,-,49.83218765258789
35817,chr14,104924878,PLD4,ENSG00000166428.14,+,49.89307403564453
39502,chr16,77722544,NUDT7,ENSG00000140876.11,+,49.97383499145508
34319,chr13,108269895,TNFSF13B,ENSG00000102524.12,+,49.98221969604492
2628,chr1,226870599,PSEN2,ENSG00000143801.18,+,49.99993896484375
3377,chr1,35718884,C1orf216,ENSG00000142686.8,-,50.04640197753906
38910,chr16,28880052,ATP2A1,ENSG00000196296.14,+,50.07625198364258
28762,chr11,72080858,LRTOMT,ENSG00000284922.2,+,50.083072662353516
29463,chr11,1309619,TOLLIP,ENSG00000078902.16,-,50.10801696777344
48584,chr20,9514589,LAMP5,ENSG00000125869.10,+,50.125728607177734
34788,chr13,110561722,RAB20,ENSG00000139832.5,-,50.125919342041016
18522,chr6,62286225,KHDRBS2,ENSG00000112232.10,-,50.17415237426758
3697,chr1,64966552,JAK1,ENSG00000162434.14,-,50.20692443847656
32379,chr12,113422410,SDSL,ENSG00000139410.15,+,50.22498321533203
6531,chr2,202376326,BMPR2,ENSG00000204217.16,+,50.23749542236328
26163,chr10,87095195,SHLD2,ENSG00000122376.12,+,50.243587493896484
4997,chr1,229342517,CCSAP,ENSG00000154429.11,-,50.276817321777344
7492,chr2,68467294,FBXO48,ENSG00000204923.4,-,50.30821228027344
19568,chr7,64045433,ZNF727,ENSG00000214652.6,+,50.464508056640625
47085,chr19,10231331,S1PR2,ENSG00000267534.4,-,50.53570556640625
43128,chr17,43661922,MEOX1,ENSG00000005102.14,-,50.547630310058594
17320,chr6,65301475,ZC3H11C,ENSG00000214558.5,+,50.56632995605469
21671,chr8,1763887,KBTBD11-OT1,ENSG00000283239.1,+,50.63787078857422
15391,chr5,179550553,RUFY1,ENSG00000176783.15,+,50.66035842895508
24422,chr9,130444961,ASS1,ENSG00000130707.18,+,50.66785430908203
52824,chrX,19991061,BCLAF3,ENSG00000173681.17,-,50.773651123046875
22172,chr8,66430184,ENSG00000285655,ENSG00000285655.1,+,50.815399169921875
19143,chr6,169724500,PHF10,ENSG00000130024.15,-,50.85852813720703
51228,chr22,36776153,IFT27,ENSG00000100360.15,-,50.87065505981445
53040,chrX,52707161,SSX2,ENSG00000241476.9,-,50.96202087402344
49483,chr20,34872856,GGT7,ENSG00000131067.17,-,50.98467254638672
36456,chr14,89417233,FOXN3,ENSG00000053254.16,-,51.05612564086914
1051,chr1,61742479,PATJ,ENSG00000132849.22,+,51.07600021362305
28292,chr11,59755375,STX3,ENSG00000166900.17,+,51.10255432128906
46398,chr19,51225079,CD33,ENSG00000105383.15,+,51.127296447753906
41839,chr17,65137369,RGS9,ENSG00000108370.17,+,51.18163299560547
45929,chr19,40191425,MAP3K10,ENSG00000130758.8,+,51.209293365478516
14012,chr4,169270956,SH3RF1,ENSG00000154447.15,-,51.21112823486328
23152,chr8,79767857,HEY1,ENSG00000164683.19,-,51.23316955566406
5115,chr1,247331743,ZNF496,ENSG00000162714.13,-,51.26493453979492
7867,chr2,127858117,POLR2D,ENSG00000144231.11,-,51.27935791015625
41548,chr17,47253826,ITGB3,ENSG00000259207.10,+,51.29447937011719
49136,chr20,58981255,NELFCD,ENSG00000101158.15,+,51.29933547973633
47571,chr19,36489435,ZNF566,ENSG00000186017.16,-,51.313411712646484
48799,chr20,34704338,TP53INP2,ENSG00000078804.13,+,51.335906982421875
22148,chr8,60678739,CHD7,ENSG00000171316.14,+,51.35256576538086
53806,chrY,2500976,DHRSX,ENSG00000292338.1,-,51.37977600097656
33691,chr12,108857590,SSH1,ENSG00000084112.15,-,51.38576889038086
31225,chr12,6927958,ATN1,ENSG00000111676.15,+,51.407596588134766
15678,chr5,59768636,PDE4D,ENSG00000113448.21,-,51.415489196777344
6698,chr2,219206874,ZFAND2B,ENSG00000158552.13,+,51.535438537597656
47496,chr19,33064888,RHPN2,ENSG00000131941.8,-,51.554161071777344
27074,chr10,72088551,SPOCK2,ENSG00000107742.14,-,51.566619873046875
22553,chr8,143246938,ZFP41,ENSG00000181638.20,+,51.571250915527344
21665,chr8,1763759,CLN8,ENSG00000182372.10,+,51.57880783081055
24070,chr9,99821854,NR4A3,ENSG00000119508.18,+,51.623046875
49458,chr20,32483471,NOL4L,ENSG00000197183.15,-,51.644439697265625
51498,chrX,1591624,AKAP17A,ENSG00000197976.12,+,51.7022705078125
46728,chr19,58183453,ZNF274,ENSG00000171606.18,+,51.70948028564453
29273,chr11,122655721,UBASH3B,ENSG00000154127.10,+,51.7342529296875
20962,chr7,77416349,GSAP,ENSG00000186088.16,-,51.73883819580078
44197,chr18,48539030,CTIF,ENSG00000134030.14,+,51.75114822387695
15972,chr5,126595219,ALDH7A1,ENSG00000164904.18,-,51.788673400878906
23083,chr8,66667231,VCPIP1,ENSG00000175073.8,-,51.82355499267578
51234,chr22,37019467,TST,ENSG00000128311.14,-,51.84832000732422
26713,chr10,6580301,PRKCQ,ENSG00000065675.16,-,51.84901428222656
14734,chr5,122845517,SNX24,ENSG00000064652.11,+,51.85879135131836
3654,chr1,54764523,PARS2,ENSG00000162396.6,-,51.8826904296875
25414,chr9,129178261,IER5L,ENSG00000188483.8,-,51.896392822265625
1738,chr1,153728049,INTS3,ENSG00000143624.14,+,51.924407958984375
6385,chr2,184598528,ZNF804A,ENSG00000170396.9,+,51.96086883544922
7259,chr2,38076151,CYP1B1,ENSG00000138061.12,-,52.01183319091797
40994,chr17,18225634,LLGL1,ENSG00000131899.12,+,52.018760681152344
18413,chr6,43308797,CRIP3,ENSG00000146215.14,-,52.046836853027344
46336,chr19,49767000,AP2A1,ENSG00000196961.13,+,52.05104064941406
38582,chr16,3263799,ENSG00000290183,ENSG00000290183.1,+,52.08952331542969
47947,chr19,47231199,BBC3,ENSG00000105327.18,-,52.105133056640625
38986,chr16,30053150,ENSG00000285043,ENSG00000285043.3,+,52.145721435546875
5662,chr2,72916259,EMX1,ENSG00000135638.14,+,52.248844146728516
11399,chr3,129121781,RAB43,ENSG00000172780.17,-,52.34778594970703
8981,chr3,29280981,RBMS3,ENSG00000144642.22,+,52.369239807128906
4113,chr1,147670524,ACP6,ENSG00000162836.12,-,52.39373016357422
28680,chr11,67403914,TBC1D10C,ENSG00000175463.12,+,52.43107604980469
37581,chr15,34367196,LPCAT4,ENSG00000176454.15,-,52.434226989746094
52285,chrX,111511644,SERTM2,ENSG00000260802.2,+,52.45038604736328
48590,chr20,10218866,SNAP25,ENSG00000132639.15,+,52.477333068847656
45180,chr19,10848414,C19orf38,ENSG00000214212.9,+,52.504150390625
25380,chr9,128067320,NAIF1,ENSG00000171169.9,-,52.508060455322266
50725,chr22,37805228,H1-0,ENSG00000189060.6,+,52.512969970703125
43846,chr17,81927735,MAFG,ENSG00000197063.11,-,52.53274917602539
49730,chr20,57710015,PMEPA1,ENSG00000124225.16,-,52.5465087890625
29962,chr11,46617227,HARBI1,ENSG00000180423.4,-,52.57611083984375
5497,chr2,48440765,PPP1R21,ENSG00000162869.16,+,52.57743835449219
44908,chr19,2841474,ZNF555,ENSG00000186300.12,+,52.59097671508789
45624,chr19,34428380,UBA2,ENSG00000126261.13,+,52.60610580444336
17361,chr6,73696202,CD109,ENSG00000156535.15,+,52.61707305908203
49383,chr20,14337608,FLRT3,ENSG00000125848.10,-,52.628692626953125
44915,chr19,3094361,GNA11,ENSG00000088256.9,+,52.64234161376953
27072,chr10,71773520,VSIR,ENSG00000107738.20,-,52.68970489501953
49962,chr21,39445864,SH3BGR,ENSG00000185437.16,+,52.703983306884766
38283,chr15,99251223,TTC23,ENSG00000103852.13,-,52.729408264160156
35416,chr14,73569212,ACOT2,ENSG00000119673.16,+,52.810455322265625
47365,chr19,18204042,RAB3A,ENSG00000105649.10,-,52.851593017578125
47924,chr19,46625037,PTGIR,ENSG00000160013.9,-,52.8735466003418
36567,chr14,99480790,SETD3,ENSG00000183576.13,-,52.913822174072266
35843,chr14,105491393,TEDC1,ENSG00000185347.19,+,52.93610763549805
25357,chr9,127715663,PTRH1,ENSG00000187024.15,-,52.960296630859375
43899,chr17,83051770,B3GNTL1,ENSG00000175711.9,-,52.98700714111328
46820,chr19,1812276,ATP8B3,ENSG00000130270.16,-,53.01377487182617
22095,chr8,48008430,UBE2V2,ENSG00000169139.12,+,53.0333251953125
2008,chr1,161226059,TOMM40L,ENSG00000158882.15,+,53.03827667236328
6888,chr2,233354493,DGKD,ENSG00000077044.11,+,53.07081985473633
2272,chr1,184387028,C1orf21,ENSG00000116667.15,+,53.093563079833984
21004,chr7,87475680,ABCB4,ENSG00000005471.19,-,53.106300354003906
20113,chr7,120951115,ING3,ENSG00000071243.16,+,53.11048126220703
53185,chrX,72131915,RTL5,ENSG00000242732.6,-,53.12374496459961
21844,chr8,22565677,SORBS3,ENSG00000120896.14,+,53.12724685668945
36481,chr14,91836440,TC2N,ENSG00000165929.13,-,53.14299011230469
43918,chr18,2847005,EMILIN2,ENSG00000132205.11,+,53.297401428222656
11906,chr3,196318240,DYNLT2B,ENSG00000213123.11,-,53.341796875
51023,chr22,20495795,KLHL22,ENSG00000099910.17,-,53.37036895751953
36996,chr15,51751596,TMOD2,ENSG00000128872.10,+,53.39626693725586
32808,chr12,12696183,GPR19,ENSG00000183150.8,-,53.42350387573242
35221,chr14,58200148,ACTR10,ENSG00000131966.14,+,53.43240737915039
21560,chr7,149126324,ZNF425,ENSG00000204947.9,-,53.43778991699219
13234,chr4,25862988,SEL1L3,ENSG00000091490.11,-,53.4383544921875
4918,chr1,219613105,ZC3H11B,ENSG00000215817.9,-,53.489139556884766
26589,chr10,124461833,LHPP,ENSG00000107902.14,+,53.539405822753906
1215,chr1,84506385,SPATA1,ENSG00000122432.19,+,53.6671257019043
41914,chr17,74432087,GPRC5C,ENSG00000170412.18,+,53.678592681884766
32424,chr12,120725825,ACADS,ENSG00000122971.9,+,53.69544982910156
27888,chr11,14643803,PDE3B,ENSG00000152270.9,+,53.740779876708984
39872,chr16,4734249,ANKS3,ENSG00000168096.15,-,53.742759704589844
26486,chr10,112950246,TCF7L2,ENSG00000148737.18,+,53.908843994140625
17506,chr6,111087502,SLC16A10,ENSG00000112394.18,+,53.92303466796875
1912,chr1,158289922,CD1C,ENSG00000158481.13,+,53.92805099487305
16954,chr6,31740004,MSH5,ENSG00000204410.16,+,53.98753356933594
17547,chr6,117482656,DCBLD1,ENSG00000164465.19,+,54.02193832397461
49039,chr20,49982979,SNAI1,ENSG00000124216.4,+,54.151512145996094
51291,chr22,38700667,JOSD1,ENSG00000100221.11,-,54.162811279296875
46659,chr19,57351306,ZNF304,ENSG00000131845.15,+,54.20466232299805
39652,chr16,89721006,ZNF276,ENSG00000158805.12,+,54.24658203125
19775,chr7,90245173,CFAP69,ENSG00000105792.19,+,54.32196807861328
22638,chr8,144518004,LRRC14,ENSG00000160959.8,+,54.35000228881836
35048,chr14,31026642,AP4S1,ENSG00000100478.16,+,54.36406707763672
18177,chr6,32130288,FKBPL,ENSG00000204315.4,-,54.37004089355469
40263,chr16,56425545,AMFR,ENSG00000159461.15,-,54.38850402832031
28531,chr11,65041209,SAC3D1,ENSG00000168061.17,+,54.400474548339844
526,chr1,26788176,PIGV,ENSG00000060642.12,+,54.46635818481445
14747,chr5,126423408,GRAMD2B,ENSG00000155324.10,+,54.504241943359375
3061,chr1,15807649,UQCRHL,ENSG00000233954.7,-,54.51725387573242
44342,chr18,79395929,NFATC1,ENSG00000131196.18,+,54.55443572998047
15017,chr5,141475946,PCDHGC3,ENSG00000240184.7,+,54.58960723876953
32504,chr12,123671112,TCTN2,ENSG00000168778.13,+,54.666717529296875
19851,chr7,99438921,CPSF4,ENSG00000160917.15,+,54.724029541015625
47511,chr19,34773229,ZNF599,ENSG00000153896.19,-,54.73429870605469
50240,chr21,37072900,PIGP,ENSG00000185808.14,-,54.73518753051758
34473,chr13,30307551,KATNAL1,ENSG00000102781.14,-,54.799591064453125
7459,chr2,61854060,FAM161A,ENSG00000170264.13,-,54.8150520324707
46649,chr19,57231008,AURKC,ENSG00000105146.14,+,54.88568115234375
16137,chr5,139404060,SPATA24,ENSG00000170469.11,-,54.9508056640625
2049,chr1,162631372,DDR2,ENSG00000162733.19,+,54.96864700317383
53807,chrY,2500967,ZBED1,ENSG00000292345.1,-,54.98033905029297
24150,chr9,112750759,SNX30,ENSG00000148158.17,+,55.05701446533203
40227,chr16,48610180,N4BP1,ENSG00000102921.8,-,55.06669616699219
22443,chr8,119873721,DEPTOR,ENSG00000155792.10,+,55.07346725463867
19074,chr6,158999781,RSPH3,ENSG00000130363.13,-,55.08144760131836
21885,chr8,25184722,DOCK5,ENSG00000147459.18,+,55.086692810058594
47851,chr19,44401576,ZNF285,ENSG00000267508.6,-,55.09528732299805
48246,chr19,53159053,ZNF347,ENSG00000197937.13,-,55.0982666015625
51046,chr22,22508742,ZNF280B,ENSG00000275004.4,-,55.13408660888672
5246,chr2,20447073,RHOB,ENSG00000143878.10,+,55.13722229003906
46601,chr19,55605646,ZNF865,ENSG00000261221.5,+,55.16525650024414
22212,chr8,70669338,XKR9,ENSG00000221947.8,+,55.17411422729492
42640,chr17,16653850,ZNF624,ENSG00000197566.10,-,55.176841735839844
10711,chr3,46208313,CCR1,ENSG00000163823.4,-,55.18605041503906
37179,chr15,70892825,LRRC49,ENSG00000137821.12,+,55.18928146362305
26782,chr10,17617374,HACD1,ENSG00000165996.14,-,55.22332763671875
27509,chr10,124791727,ENSG00000258539,ENSG00000258539.1,-,55.2357177734375
15545,chr5,35230487,PRLR,ENSG00000113494.17,-,55.250919342041016
50224,chr21,34615113,RCAN1,ENSG00000159200.18,-,55.25161361694336
27146,chr10,77637806,KCNMA1,ENSG00000156113.25,-,55.280818939208984
43559,chr17,67993649,C17orf58,ENSG00000186665.10,-,55.32675552368164
11123,chr3,75785549,ZNF717,ENSG00000227124.11,-,55.33437728881836
21641,chr7,157010663,MNX1,ENSG00000130675.15,-,55.36140441894531
18374,chr6,41895361,USP49,ENSG00000164663.15,-,55.38463592529297
12642,chr4,107931548,CYP2U1,ENSG00000155016.18,+,55.40187072753906
40314,chr16,58684707,SLC38A7,ENSG00000103042.9,-,55.427825927734375
19885,chr7,100049773,ZSCAN21,ENSG00000166529.16,+,55.4908332824707
46842,chr19,2256417,JSRP1,ENSG00000167476.10,-,55.53560256958008
38534,chr16,2964215,KREMEN2,ENSG00000131650.15,+,55.546688079833984
18454,chr6,47309905,TNFRSF21,ENSG00000146072.6,-,55.551422119140625
5552,chr2,61065870,SANBR,ENSG00000162929.14,+,55.578189849853516
32308,chr12,111405922,SH2B3,ENSG00000111252.11,+,55.58678436279297
53254,chrX,81201913,HMGN5,ENSG00000198157.11,-,55.61283874511719
9707,chr3,113947900,ZDHHC23,ENSG00000184307.17,+,55.62126159667969
33791,chr12,116277693,MED13L,ENSG00000123066.9,-,55.63482666015625
22261,chr8,80486225,ZBTB10,ENSG00000205189.13,+,55.641258239746094
47076,chr19,10010504,COL5A3,ENSG00000080573.7,-,55.6507568359375
18100,chr6,30113090,TRIM31,ENSG00000204616.11,-,55.66162872314453
2889,chr1,1692724,SLC35E2B,ENSG00000189339.12,-,55.66990661621094
21399,chr7,128409901,IMPDH1,ENSG00000106348.19,-,55.67582321166992
44730,chr18,76495242,ZNF516,ENSG00000101493.11,-,55.70189666748047
12088,chr4,6575188,MAN2B2,ENSG00000013288.9,+,55.71131896972656
36066,chr14,33951074,EGLN3,ENSG00000129521.15,-,55.73851013183594
49759,chr20,62407285,CABLES2,ENSG00000149679.12,-,55.762367248535156
46125,chr19,44891253,TOMM40,ENSG00000130204.13,+,55.76279067993164
17738,chr6,150143043,PPP1R14C,ENSG00000198729.5,+,55.77277374267578
14549,chr5,79236130,JMY,ENSG00000152409.9,+,55.806678771972656
