,Chromosome,Start,gene_name,gene_id,Strand,PC-3
5636,chr2,70900575,VAX2,ENSG00000116035.4,+,15.32236099243164
27111,chr10,73591339,USP54,ENSG00000166348.20,-,15.323202133178711
53110,chrX,57910458,ZXDA,ENSG00000198205.7,-,15.326815605163574
38984,chr16,30053126,ENSG00000285043,ENSG00000285043.3,+,15.33512020111084
1019,chr1,55039455,PCSK9,ENSG00000169174.12,+,15.337059020996094
32633,chr12,6375224,SCNN1A,ENSG00000111319.13,-,15.347387313842773
28623,chr11,66466904,PELI3,ENSG00000174516.15,+,15.354573249816895
50175,chr21,31344302,TIAM1,ENSG00000156299.15,-,15.3583345413208
28778,chr11,72192139,FOLR1,ENSG00000110195.14,+,15.367182731628418
30891,chr11,117876658,FXYD6,ENSG00000137726.17,-,15.370149612426758
48719,chr20,31547378,MCTS2,ENSG00000101898.7,+,15.37113094329834
14894,chr5,140107814,PURA,ENSG00000185129.8,+,15.385910987854004
41738,chr17,59331654,YPEL2,ENSG00000175155.11,+,15.38758659362793
12526,chr4,85475149,ARHGAP24,ENSG00000138639.18,+,15.38839340209961
50274,chr21,41879344,PRDM15,ENSG00000141956.14,-,15.398115158081055
17354,chr6,73394827,DDX43,ENSG00000080007.8,+,15.401031494140625
13032,chr4,185396840,ANKRD37,ENSG00000186352.9,+,15.404153823852539
49539,chr20,37095997,RBL1,ENSG00000080839.12,-,15.411275863647461
33099,chr12,49060794,KMT2D,ENSG00000167548.18,-,15.416135787963867
43941,chr18,6729715,ARHGAP28,ENSG00000088756.13,+,15.433303833007812
5611,chr2,68467584,APLF,ENSG00000169621.11,+,15.444747924804688
34154,chr13,49444373,SETDB2,ENSG00000136169.17,+,15.454034805297852
36269,chr14,64503838,ZBTB25,ENSG00000089775.12,-,15.45757007598877
19852,chr7,99438942,CPSF4,ENSG00000160917.15,+,15.466560363769531
36842,chr15,42273657,GANC,ENSG00000214013.10,+,15.47160816192627
39309,chr16,67279531,PLEKHG4,ENSG00000196155.13,+,15.472596168518066
3007,chr1,10796646,CASZ1,ENSG00000130940.15,-,15.473762512207031
13210,chr4,18021860,LCORL,ENSG00000178177.17,-,15.475828170776367
48180,chr19,52008230,ZNF615,ENSG00000197619.15,-,15.48144245147705
19567,chr7,63998848,ZNF722,ENSG00000241149.4,+,15.506730079650879
25223,chr9,113012192,ZNF883,ENSG00000228623.9,-,15.510564804077148
32246,chr12,107318433,ABTB3,ENSG00000151136.15,+,15.512189865112305
37368,chr15,84601008,ZSCAN2,ENSG00000176371.14,+,15.51984977722168
44286,chr18,62325286,TNFRSF11A,ENSG00000141655.18,+,15.525540351867676
33667,chr12,106138954,NUAK1,ENSG00000074590.14,-,15.534703254699707
10155,chr3,160755601,PPM1L,ENSG00000163590.14,+,15.540260314941406
45832,chr19,37469355,ZNF570,ENSG00000171827.11,+,15.541231155395508
28073,chr11,44066269,ACCS,ENSG00000110455.14,+,15.5559720993042
44908,chr19,2841474,ZNF555,ENSG00000186300.12,+,15.55897331237793
7232,chr2,31414742,XDH,ENSG00000158125.10,-,15.576614379882812
39817,chr16,3036926,BICDL2,ENSG00000162069.16,-,15.579941749572754
49362,chr20,6054012,LRRN4,ENSG00000125872.9,-,15.598045349121094
22134,chr8,57994522,FAM110B,ENSG00000169122.12,+,15.602538108825684
24409,chr9,129665646,PRRX2,ENSG00000167157.11,+,15.607230186462402
3969,chr1,111739395,INKA2,ENSG00000197852.12,-,15.620976448059082
26919,chr10,45594906,MARCHF8,ENSG00000165406.16,-,15.62138557434082
19336,chr7,24573414,PALS2,ENSG00000105926.16,+,15.622417449951172
43703,chr17,76240493,RNF157,ENSG00000141576.16,-,15.631921768188477
7292,chr2,40452069,SLC8A1,ENSG00000183023.19,-,15.644271850585938
49867,chr21,32412705,EVA1C,ENSG00000166979.13,+,15.650153160095215
11353,chr3,125375267,ZNF148,ENSG00000163848.21,-,15.674055099487305
18809,chr6,116060891,FRK,ENSG00000111816.8,-,15.677799224853516
52360,chrX,123961705,STAG2,ENSG00000101972.20,+,15.681559562683105
25330,chr9,124771311,NR6A1,ENSG00000148200.17,-,15.693516731262207
46715,chr19,57849858,ZNF587,ENSG00000198466.12,+,15.694854736328125
17364,chr6,75601926,SENP6,ENSG00000112701.18,+,15.700014114379883
44963,chr19,4402639,CHAF1A,ENSG00000167670.16,+,15.70022964477539
23248,chr8,94262319,GEM,ENSG00000164949.8,-,15.705666542053223
18546,chr6,73263196,ENSG00000243501,ENSG00000243501.5,-,15.70632266998291
18548,chr6,73263196,KHDC1,ENSG00000135314.14,-,15.70632266998291
42118,chr17,81395456,BAHCC1,ENSG00000266074.11,+,15.709918975830078
51917,chrX,52184911,MAGED4,ENSG00000154545.17,+,15.712307929992676
34473,chr13,30307551,KATNAL1,ENSG00000102781.14,-,15.714683532714844
1193,chr1,81800933,ADGRL2,ENSG00000117114.21,+,15.714847564697266
46754,chr19,58467055,ZNF324,ENSG00000083812.13,+,15.720073699951172
53506,chrX,133985617,GPC3,ENSG00000147257.16,-,15.720953941345215
25110,chr9,96418370,ZNF367,ENSG00000165244.7,-,15.734848022460938
46753,chr19,58451646,ZNF324B,ENSG00000249471.8,+,15.735782623291016
42268,chr17,1628834,SLC43A2,ENSG00000167703.15,-,15.74103832244873
52824,chrX,19991061,BCLAF3,ENSG00000173681.17,-,15.751413345336914
13074,chr4,1113564,RNF212,ENSG00000178222.14,-,15.758769989013672
50264,chr21,39445777,LCA5L,ENSG00000157578.14,-,15.769330978393555
12657,chr4,109433771,SEC24B,ENSG00000138802.11,+,15.778044700622559
22855,chr8,26513872,PNMA2,ENSG00000240694.9,-,15.778255462646484
21018,chr7,88306888,STEAP4,ENSG00000127954.13,-,15.783604621887207
49788,chr20,63537370,PTK6,ENSG00000101213.7,-,15.799677848815918
270,chr1,14924129,KAZN,ENSG00000189337.17,+,15.799983978271484
36516,chr14,94129604,IFI27L2,ENSG00000119632.4,-,15.813140869140625
23995,chr9,88991467,S1PR3,ENSG00000213694.7,+,15.825031280517578
6736,chr2,222424542,SGPP2,ENSG00000163082.10,+,15.825825691223145
23635,chr9,504694,KANK1,ENSG00000107104.21,+,15.82678508758545
50931,chr22,50481555,ADM2,ENSG00000128165.9,+,15.827579498291016
17242,chr6,46652914,SLC25A27,ENSG00000153291.16,+,15.835899353027344
42597,chr17,13601929,HS3ST3A1,ENSG00000153976.3,-,15.851672172546387
6531,chr2,202376326,BMPR2,ENSG00000204217.16,+,15.854429244995117
53563,chrX,139933053,ATP11C,ENSG00000101974.15,-,15.854438781738281
759,chr1,40531636,ZNF684,ENSG00000117010.17,+,15.858663558959961
1860,chr1,156153584,SEMA4A,ENSG00000196189.14,+,15.862127304077148
15914,chr5,111757194,NREP,ENSG00000134986.14,-,15.867816925048828
32113,chr12,93677398,CRADD,ENSG00000169372.13,+,15.876626968383789
49759,chr20,62407285,CABLES2,ENSG00000149679.12,-,15.883270263671875
50909,chr22,49853843,ZBED4,ENSG00000100426.7,+,15.884812355041504
42207,chr17,352807,RPH3AL,ENSG00000181031.16,-,15.888997077941895
40061,chr16,23713226,ERN2,ENSG00000134398.15,-,15.890451431274414
10330,chr3,186930525,ST6GAL1,ENSG00000073849.16,+,15.891615867614746
37413,chr15,89690810,WDR93,ENSG00000140527.15,+,15.892301559448242
24992,chr9,83538401,FRMD3,ENSG00000172159.16,-,15.894268035888672
51166,chr22,31346346,PATZ1,ENSG00000100105.18,-,15.900125503540039
45130,chr19,9363012,ZNF177,ENSG00000188629.14,+,15.9003267288208
44910,chr19,2900927,ZNF57,ENSG00000171970.14,+,15.910969734191895
16373,chr5,160400036,FAM200C,ENSG00000221886.4,-,15.919306755065918
16553,chr6,1609914,FOXC1,ENSG00000054598.9,+,15.923249244689941
51174,chr22,31630831,PISD,ENSG00000241878.12,-,15.939098358154297
36456,chr14,89417233,FOXN3,ENSG00000053254.16,-,15.953962326049805
20231,chr7,134986512,AGBL3,ENSG00000146856.14,+,15.97859001159668
25583,chr9,137590512,ZMYND19,ENSG00000165724.6,-,15.987258911132812
27888,chr11,14643803,PDE3B,ENSG00000152270.9,+,15.990970611572266
41881,chr17,69414696,MAP2K6,ENSG00000108984.16,+,16.006885528564453
21054,chr7,93148354,SAMD9L,ENSG00000177409.12,-,16.009334564208984
1568,chr1,147541500,BCL9,ENSG00000116128.12,+,16.03047752380371
21782,chr8,17577215,PDGFRL,ENSG00000104213.13,+,16.035648345947266
2275,chr1,185157079,SWT1,ENSG00000116668.13,+,16.047027587890625
19885,chr7,100049773,ZSCAN21,ENSG00000166529.16,+,16.0474910736084
45885,chr19,39084367,ACP7,ENSG00000183760.11,+,16.06926918029785
38885,chr16,28292524,SBK1,ENSG00000188322.8,+,16.06948471069336
24923,chr9,38620596,ANKRD18A,ENSG00000180071.21,-,16.08686637878418
51130,chr22,30289505,CASTOR1,ENSG00000239282.8,-,16.088422775268555
981,chr1,52726466,ZYG11B,ENSG00000162378.13,+,16.102872848510742
18768,chr6,109455742,MICAL1,ENSG00000135596.18,-,16.108858108520508
8361,chr2,206086174,INO80D,ENSG00000114933.16,-,16.11199188232422
47840,chr19,43935282,ZNF45,ENSG00000124459.12,-,16.11522102355957
53274,chrX,100732123,SYTL4,ENSG00000102362.16,-,16.12436866760254
35296,chr14,64704423,PLEKHG3,ENSG00000126822.18,+,16.134029388427734
48566,chr20,9068804,PLCB4,ENSG00000101333.19,+,16.137575149536133
19004,chr6,145814795,FBXO30,ENSG00000118496.5,-,16.14291763305664
34742,chr13,99086625,DOCK9,ENSG00000088387.22,-,16.144758224487305
48431,chr19,58098231,ZSCAN18,ENSG00000121413.13,-,16.155452728271484
36426,chr14,77498816,ISM2,ENSG00000100593.18,-,16.159992218017578
43846,chr17,81927735,MAFG,ENSG00000197063.11,-,16.175518035888672
16781,chr6,28349946,ZKSCAN3,ENSG00000189298.14,+,16.188106536865234
47338,chr19,17075452,HAUS8,ENSG00000131351.15,-,16.188703536987305
36633,chr14,105021060,CDCA4,ENSG00000170779.11,-,16.194202423095703
27441,chr10,116742564,HSPA12A,ENSG00000165868.16,-,16.218151092529297
1645,chr1,150549407,ADAMTSL4,ENSG00000143382.16,+,16.223838806152344
22029,chr8,40153481,TCIM,ENSG00000176907.5,+,16.239641189575195
46319,chr19,49581315,PRRG2,ENSG00000126460.11,+,16.256912231445312
17839,chr6,163414642,QKI,ENSG00000112531.17,+,16.266395568847656
2008,chr1,161226059,TOMM40L,ENSG00000158882.15,+,16.270082473754883
34214,chr13,60397219,TDRD3,ENSG00000083544.16,+,16.270734786987305
1397,chr1,109619836,AMPD2,ENSG00000116337.20,+,16.27642822265625
21671,chr8,1763887,KBTBD11-OT1,ENSG00000283239.1,+,16.279298782348633
41087,chr17,27456447,KSR1,ENSG00000141068.16,+,16.27979850769043
6400,chr2,188291945,GULP1,ENSG00000144366.17,+,16.281991958618164
22689,chr8,8893630,MFHAS1,ENSG00000147324.11,-,16.291839599609375
52224,chrX,103962640,TMSB15B,ENSG00000158427.15,+,16.297178268432617
10163,chr3,167735720,SERPINI1,ENSG00000163536.13,+,16.305286407470703
2704,chr1,233904675,SLC35F3,ENSG00000183780.13,+,16.30792999267578
20505,chr7,1504389,INTS1,ENSG00000164880.16,-,16.32259750366211
36502,chr14,93115871,ITPK1,ENSG00000100605.17,-,16.331256866455078
37905,chr15,63833948,HERC1,ENSG00000103657.14,-,16.331308364868164
4818,chr1,205211566,DSTYK,ENSG00000133059.18,-,16.331581115722656
40165,chr16,30571714,ZNF688,ENSG00000229809.9,-,16.337902069091797
27620,chr11,695804,TMEM80,ENSG00000177042.16,+,16.348134994506836
50304,chr21,44240926,ICOSLG,ENSG00000160223.18,-,16.350547790527344
30735,chr11,102780628,MMP10,ENSG00000166670.10,-,16.35374641418457
25742,chr10,23439074,OTUD1,ENSG00000165312.7,+,16.3546085357666
1832,chr1,155563234,MSTO1,ENSG00000125459.18,+,16.357133865356445
48550,chr20,5750400,SHLD1,ENSG00000171984.15,+,16.358196258544922
37739,chr15,45522755,SLC30A4,ENSG00000104154.7,-,16.362045288085938
12185,chr4,24795572,SOD3,ENSG00000109610.6,+,16.362579345703125
47365,chr19,18204042,RAB3A,ENSG00000105649.10,-,16.38675880432129
28282,chr11,59172131,DTX4,ENSG00000110042.8,+,16.387540817260742
30189,chr11,62754184,ZBTB3,ENSG00000185670.9,-,16.39032554626465
8102,chr2,172102900,DLX2,ENSG00000115844.11,-,16.392160415649414
38300,chr15,101489707,PCSK6,ENSG00000140479.18,-,16.396759033203125
32929,chr12,26937981,INTS13,ENSG00000064102.15,-,16.396831512451172
43362,chr17,56833920,C17orf67,ENSG00000214226.9,-,16.397619247436523
33324,chr12,56488170,ENSG00000285528,ENSG00000285528.1,-,16.41022491455078
22889,chr8,28386073,ZNF395,ENSG00000186918.14,-,16.412092208862305
26075,chr10,75431623,LRMDA,ENSG00000148655.16,+,16.43570327758789
48174,chr19,51887936,ZNF577,ENSG00000161551.15,-,16.436918258666992
2286,chr1,192809038,RGS2,ENSG00000116741.8,+,16.44500732421875
43719,chr17,76585860,ST6GALNAC2,ENSG00000070731.11,-,16.4478759765625
47173,chr19,12441021,ZNF443,ENSG00000180855.16,-,16.46090316772461
41772,chr17,61399842,TBX2,ENSG00000121068.14,+,16.46125602722168
34690,chr13,75482114,TBC1D4,ENSG00000136111.14,-,16.470054626464844
11233,chr3,114056526,CCDC191,ENSG00000163617.11,-,16.477611541748047
18583,chr6,79078254,PHIP,ENSG00000146247.15,-,16.477998733520508
42509,chr17,8156360,PER1,ENSG00000179094.16,-,16.479339599609375
17262,chr6,52362150,PAQR8,ENSG00000170915.9,+,16.48255157470703
5567,chr2,63050829,OTX1,ENSG00000115507.10,+,16.485225677490234
11040,chr3,59049991,CFAP20DC,ENSG00000163689.21,-,16.490795135498047
1572,chr1,147928419,GPR89B,ENSG00000188092.15,+,16.491016387939453
25539,chr9,136545997,NOTCH1,ENSG00000148400.13,-,16.498395919799805
16705,chr6,26087404,HFE,ENSG00000010704.19,+,16.512577056884766
18338,chr6,39934462,MOCS1,ENSG00000124615.20,-,16.516006469726562
52865,chrX,31072041,FTHL17,ENSG00000132446.7,-,16.521839141845703
37698,chr15,43590203,PPIP5K1,ENSG00000168781.24,-,16.52184295654297
46117,chr19,44777868,CBLC,ENSG00000142273.13,+,16.52487564086914
40196,chr16,31202756,PYCARD,ENSG00000103490.14,-,16.5253849029541
48177,chr19,51986840,ZNF350,ENSG00000256683.7,-,16.52825927734375
46690,chr19,57599884,ZNF530,ENSG00000183647.11,+,16.530534744262695
3807,chr1,89065208,GBP1,ENSG00000117228.11,-,16.531097412109375
51012,chr22,19987093,ARVCF,ENSG00000099889.14,-,16.540630340576172
47563,chr19,36054285,THAP8,ENSG00000161277.11,-,16.541980743408203
17727,chr6,148747029,UST,ENSG00000111962.8,+,16.54976463317871
47163,chr19,12294853,ZNF44,ENSG00000197857.16,-,16.55380630493164
34695,chr13,76886405,KCTD12,ENSG00000178695.6,-,16.565227508544922
27119,chr10,73811598,NDST2,ENSG00000166507.19,-,16.57617950439453
4516,chr1,161132667,DEDD,ENSG00000158796.17,-,16.576618194580078
21873,chr8,24294068,ADAM28,ENSG00000042980.14,+,16.577346801757812
18115,chr6,30932170,SFTA2,ENSG00000196260.5,-,16.581497192382812
46820,chr19,1812276,ATP8B3,ENSG00000130270.16,-,16.586881637573242
13107,chr4,2418636,ZFYVE28,ENSG00000159733.14,-,16.591236114501953
8113,chr2,174487037,GPR155,ENSG00000163328.14,-,16.591943740844727
47568,chr19,36379201,ZFP14,ENSG00000142065.14,-,16.602916717529297
35634,chr14,94110814,IFI27,ENSG00000165949.13,+,16.606374740600586
33443,chr12,68933171,CPM,ENSG00000135678.12,-,16.61351203918457
31934,chr12,59596066,SLC16A7,ENSG00000118596.12,+,16.615121841430664
46025,chr19,42076165,ZNF574,ENSG00000105732.13,+,16.619895935058594
27132,chr10,75401764,ZNF503,ENSG00000165655.17,-,16.6348876953125
17744,chr6,150599884,PLEKHG1,ENSG00000120278.17,+,16.65492057800293
14253,chr5,40841307,CARD6,ENSG00000132357.14,+,16.657020568847656
17295,chr6,56955106,BEND6,ENSG00000151917.18,+,16.658668518066406
4069,chr1,143971986,FAM72C,ENSG00000263513.6,-,16.65889549255371
43292,chr17,48722518,PRAC1,ENSG00000159182.5,-,16.664321899414062
47127,chr19,11384314,EPOR,ENSG00000187266.14,-,16.66512680053711
110,chr1,6579993,ZBTB48,ENSG00000204859.13,+,16.671998977661133
33144,chr12,51083596,CSRNP2,ENSG00000110925.7,-,16.673198699951172
15301,chr5,173056367,CREBRF,ENSG00000164463.12,+,16.68399429321289
18070,chr6,28252269,ZKSCAN4,ENSG00000187626.9,-,16.72003746032715
6998,chr2,241558744,BOK,ENSG00000176720.6,+,16.730480194091797
36023,chr14,24335071,ADCY4,ENSG00000129467.14,-,16.742984771728516
3238,chr1,27155125,SLC9A1,ENSG00000090020.11,-,16.746349334716797
52396,chrX,134237181,CCDC160,ENSG00000203952.10,+,16.750797271728516
33069,chr12,48350891,ZNF641,ENSG00000167528.13,-,16.75204849243164
53328,chrX,104076194,TMSB15C,ENSG00000269226.8,-,16.753192901611328
7464,chr2,63588477,WDPCP,ENSG00000143951.16,-,16.755306243896484
6963,chr2,240586733,CAPN10,ENSG00000142330.20,+,16.756343841552734
50610,chr22,30635780,SLC35E4,ENSG00000100036.13,+,16.77588653564453
30762,chr11,105045335,CARD16,ENSG00000204397.10,-,16.777395248413086
3994,chr1,113812289,RSBN1,ENSG00000081019.14,-,16.78660011291504
676,chr1,34755046,GJB5,ENSG00000189280.3,+,16.787410736083984
4354,chr1,155273482,CLK2,ENSG00000176444.19,-,16.793354034423828
52808,chrX,18984114,PHKA2,ENSG00000044446.12,-,16.794757843017578
50412,chr22,20021068,TANGO2,ENSG00000183597.16,+,16.809717178344727
50869,chr22,44702203,PRR5,ENSG00000186654.21,+,16.816593170166016
20262,chr7,139778247,TBXAS1,ENSG00000059377.19,+,16.820711135864258
9456,chr3,58492095,KCTD6,ENSG00000168301.13,+,16.82292938232422
3329,chr1,32702770,SYNC,ENSG00000162520.15,-,16.82303237915039
33545,chr12,89524796,GALNT4,ENSG00000257594.4,-,16.823179244995117
45218,chr19,11597482,ZNF627,ENSG00000198551.10,+,16.82492446899414
43917,chr18,2655725,SMCHD1,ENSG00000101596.17,+,16.83195686340332
7261,chr2,38076076,CYP1B1,ENSG00000138061.12,-,16.856231689453125
24139,chr9,111525188,ZNF483,ENSG00000173258.13,+,16.858978271484375
5886,chr2,102337257,IL1RL1,ENSG00000115602.17,+,16.868980407714844
46470,chr19,53467732,ZNF813,ENSG00000198346.11,+,16.869014739990234
33390,chr12,57633202,B4GALNT1,ENSG00000135454.14,-,16.872299194335938
34807,chr13,113490691,DCUN1D2,ENSG00000150401.15,-,16.874250411987305
42188,chr17,82735614,FN3K,ENSG00000167363.14,+,16.87504005432129
35252,chr14,60091922,PCNX4,ENSG00000126773.13,+,16.876758575439453
15933,chr5,113294938,MCC,ENSG00000171444.19,-,16.877599716186523
25111,chr9,96619843,CDC14B,ENSG00000081377.17,-,16.88729476928711
27318,chr10,101031133,PDZD7,ENSG00000186862.20,-,16.89440155029297
36169,chr14,51095076,TRIM9,ENSG00000100505.14,-,16.903284072875977
11279,chr3,121660898,HCLS1,ENSG00000180353.11,-,16.90374183654785
1329,chr1,100352501,CDC14A,ENSG00000079335.20,+,16.911197662353516
33104,chr12,49110850,LMBR1L,ENSG00000139636.16,-,16.917341232299805
24155,chr9,113349540,BSPRY,ENSG00000119411.11,+,16.924419403076172
4209,chr1,151372700,SELENBP1,ENSG00000143416.21,-,16.932437896728516
8500,chr2,219543809,CHPF,ENSG00000123989.15,-,16.93628692626953
51121,chr22,29767007,ZMAT5,ENSG00000100319.13,-,16.94052505493164
31239,chr12,7130370,CLSTN3,ENSG00000139182.15,+,16.943811416625977
34065,chr13,34942269,NBEA,ENSG00000172915.20,+,16.947996139526367
50609,chr22,30607203,TCN2,ENSG00000185339.10,+,16.954063415527344
5259,chr2,24123468,FAM228B,ENSG00000219626.9,+,16.967227935791016
31137,chr12,4273761,CCND2,ENSG00000118971.9,+,16.971052169799805
32402,chr12,119989235,BICDL1,ENSG00000135127.12,+,16.974525451660156
44290,chr18,62715540,PHLPP1,ENSG00000081913.14,+,16.9782657623291
12465,chr4,74933115,PARM1,ENSG00000169116.11,+,16.984712600708008
10489,chr3,13880071,WNT7A,ENSG00000154764.6,-,16.985042572021484
3856,chr1,99766635,FRRS1,ENSG00000156869.14,-,16.991764068603516
8632,chr2,239400949,HDAC4,ENSG00000068024.18,-,17.00684356689453
21795,chr8,19313692,SH2D4A,ENSG00000104611.12,+,17.007919311523438
53135,chrX,64976450,ZC4H2,ENSG00000126970.17,-,17.014083862304688
7171,chr2,25982749,KIF3C,ENSG00000084731.15,-,17.016101837158203
30519,chr11,75351705,ARRB1,ENSG00000137486.17,-,17.028274536132812
1173,chr1,77888514,NEXN,ENSG00000162614.19,+,17.030269622802734
15486,chr5,14871778,ANKH,ENSG00000154122.14,-,17.038389205932617
50847,chr22,43110749,BIK,ENSG00000100290.3,+,17.041536331176758
3305,chr1,31798839,SPOCD1,ENSG00000134668.13,-,17.047100067138672
24253,chr9,125261842,GAPVD1,ENSG00000165219.23,+,17.047822952270508
26892,chr10,35642296,FZD8,ENSG00000177283.8,-,17.04813003540039
15027,chr5,141636996,RELL2,ENSG00000164620.9,+,17.05834197998047
16461,chr5,177554563,FAM193B,ENSG00000146067.17,-,17.072484970092773
